#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	77.09264
k__Bacteria|p__Proteobacteria	19.85286
k__Bacteria|p__Actinobacteria	3.0545
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	64.95938
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	19.85286
k__Bacteria|p__Firmicutes|c__Bacilli	10.8353
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.0545
k__Bacteria|p__Firmicutes|c__Negativicutes	0.66275
k__Bacteria|p__Firmicutes|c__Clostridia	0.63519
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	64.95938
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	19.85286
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10.7748
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.64512
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.66275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.63519
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.40938
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.06051
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	64.95938
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	19.85286
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	9.41447
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.64512
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.32479
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.66275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.56168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.24467
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.16471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.07351
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.06051
