#SampleID	Metaphlan2_Analysis
k__Viruses	82.26169
k__Bacteria	17.73831
k__Viruses|p__Viruses_noname	82.26169
k__Bacteria|p__Firmicutes	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Staphylococcus_phage_PVL	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	17.73831
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Staphylococcus_phage_PVL|t__PRJNA14392	82.26169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__Staphylococcus_aureus_unclassified	17.73831
