#SampleID	Metaphlan2_Analysis
k__Bacteria	99.24604
k__Eukaryota	0.75396
k__Bacteria|p__Proteobacteria	63.92564
k__Bacteria|p__Actinobacteria	19.61021
k__Bacteria|p__Firmicutes	15.71019
k__Eukaryota|p__Ascomycota	0.75396
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	63.92564
k__Bacteria|p__Actinobacteria|c__Actinobacteria	19.61021
k__Bacteria|p__Firmicutes|c__Bacilli	15.71019
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.75396
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	45.74311
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	19.61021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	18.18253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	15.67664
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.75396
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.03355
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	45.74311
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	19.61021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	18.18253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	8.89637
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	6.78027
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales_noname	0.46917
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	0.1788
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	0.10599
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.03355
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	45.74311
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	19.61021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	18.18253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	8.89637
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	6.78027
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales_noname|g__Candida	0.46917
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae|g__Clavispora	0.1788
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomycetaceae_unclassified	0.10599
