#SampleID	Metaphlan2_Analysis
k__Bacteria	93.58675
k__Eukaryota	5.05562
k__Viruses	1.35764
k__Bacteria|p__Firmicutes	69.2062
k__Bacteria|p__Proteobacteria	16.89004
k__Eukaryota|p__Ascomycota	5.05562
k__Bacteria|p__Bacteroidetes	4.85652
k__Bacteria|p__Actinobacteria	2.63399
k__Viruses|p__Viruses_noname	1.35764
k__Bacteria|p__Firmicutes|c__Bacilli	67.17712
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	16.69864
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	5.05562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4.85652
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.63399
k__Bacteria|p__Firmicutes|c__Negativicutes	2.02908
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.35764
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.1914
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	57.63341
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	14.49251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	9.54371
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	5.05562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4.85652
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2.63399
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2.20613
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.02908
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	1.35764
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.1914
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	56.68003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	14.49251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	9.54371
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales_noname	5.05562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	4.85652
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2.63399
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2.20613
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.02908
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	1.35764
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.95339
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.1914
