#SampleID	Metaphlan2_Analysis
k__Bacteria	99.93851
k__Viruses	0.06149
k__Bacteria|p__Actinobacteria	46.2166
k__Bacteria|p__Firmicutes	30.99206
k__Bacteria|p__Proteobacteria	12.30977
k__Bacteria|p__Bacteroidetes	9.10766
k__Bacteria|p__Fusobacteria	1.2857
k__Viruses|p__Viruses_noname	0.06149
k__Bacteria|p__Candidatus_Saccharibacteria	0.02672
k__Bacteria|p__Actinobacteria|c__Actinobacteria	46.2166
k__Bacteria|p__Firmicutes|c__Bacilli	24.23736
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8.61214
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	7.4581
k__Bacteria|p__Firmicutes|c__Negativicutes	5.43487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.72146
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.2857
k__Bacteria|p__Firmicutes|c__Clostridia	1.2522
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.49552
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.13022
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.06763
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.06149
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.02672
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	46.17432
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	21.61616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8.61214
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	7.45063
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.43487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.24756
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.6212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1.46173
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.2857
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.2522
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.49552
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.13022
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.06763
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.06149
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.04227
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.02672
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.01216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	28.2262
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	20.30903
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	17.91801
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	7.45063
