#SampleID	Metaphlan2_Analysis
k__Bacteria	99.93746
k__Viruses	0.06254
k__Bacteria|p__Firmicutes	42.58047
k__Bacteria|p__Actinobacteria	41.95576
k__Bacteria|p__Bacteroidetes	9.92936
k__Bacteria|p__Proteobacteria	4.8892
k__Bacteria|p__Fusobacteria	0.58266
k__Viruses|p__Viruses_noname	0.06254
k__Bacteria|p__Actinobacteria|c__Actinobacteria	41.95576
k__Bacteria|p__Firmicutes|c__Bacilli	33.85345
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.82526
k__Bacteria|p__Firmicutes|c__Negativicutes	7.67754
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.43717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.36118
k__Bacteria|p__Firmicutes|c__Clostridia	0.76853
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.58266
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.28095
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.1041
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.09085
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.06254
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	41.30794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	31.45115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	9.82526
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7.67754
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.4023
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2.36347
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2.3423
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.76853
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.64782
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.58266
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.28095
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.1041
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.09085
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.06254
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.04153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.03217
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01888
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	31.34888
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	28.83471
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	9.95906
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	7.67754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.34405
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.4812
