#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	36.34644
k__Bacteria|p__Firmicutes	23.88735
k__Bacteria|p__Proteobacteria	23.58196
k__Bacteria|p__Fusobacteria	15.38491
k__Bacteria|p__Actinobacteria	0.79933
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	27.95946
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	15.82868
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	15.38491
k__Bacteria|p__Firmicutes|c__Negativicutes	14.39263
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	8.38698
k__Bacteria|p__Firmicutes|c__Bacilli	8.2795
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4.06436
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3.68893
k__Bacteria|p__Firmicutes|c__Clostridia	1.16156
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.79933
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.05366
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	27.95946
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	15.70115
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	15.38491
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	14.39263
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	8.38698
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	7.2029
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3.8446
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3.68893
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.16156
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.07661
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.79933
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.12752
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.05366
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	21.51184
