sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W106_D5	6294609	5862930	0.931420839642	13.1945238985	566527	529138
W52_D1	6294609	5536565	0.879572504027	104.831941104	6070586	3991584
W129_D5	6294609	5431264	0.862843744544	40.4528664046	2277542	1510189
W53_D1	6294609	5510317	0.875402586563	73.5578537496	4214768	2785399
W127_D5	6294609	5904737	0.938062554799	47.00888236	2082396	1910900
W128_D5	6294609	5902885	0.937768334777	51.7742024451	2294151	2107749
W54_D5	6294609	5903998	0.937945152749	56.1991082992	2463672	2287102
W54_D1	6294609	5470149	0.869021252948	53.2544179327	3007945	2003771
W52_D5	6294609	5902505	0.937707965658	54.2971646784	2381641	2205934
W53_D5	6294609	5903823	0.937917351181	56.2159438045	2469868	2286345
