sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
ASM_38	2986312	2490264	0.833892774767	47.4625975399	960431	807852
ASM_1	2986312	2595625	0.869174084958	55.2019047436	1143196	978844
ASM_36	2986312	2537823	0.849818438261	92.0100432536	1857933	1601131
ASM_29	2986312	2586030	0.865961091808	27.2353483912	569127	481583
ASM_37	2986312	2535335	0.848985303612	86.7650693104	1748098	1507132
ASM_47	2986312	2542630	0.851428116017	82.67705958	1678597	1440217
ASM_35	2986312	2802398	0.938414338488	21.528869561	444367	411887
ASM_22	2986312	2755755	0.922795407848	25.2362245555	558594	475411
ASM_28	2986312	2541058	0.850901714221	11.6887115524	242591	203230
ASM_30	2986312	2550007	0.853898387041	62.9150523901	1294271	1099756
ASM_41	2986312	2542260	0.851304217376	98.3314212551	1998524	1714495
ASM_18	2986312	2557647	0.856456726558	78.6987180014	1606379	1376591
ASM_5	2986312	2511597	0.841036368604	18.9231162483	371408	324415
ASM_24	2986312	2556455	0.856057572015	76.6035564874	1551591	1338381
ASM_54	2986312	2545286	0.852317507347	71.9682302892	1454075	1256755
ASM_52	2986312	2574518	0.862106169751	35.7820108463	737274	633453
ASM_19	2986312	2555596	0.85576992625	103.091496465	2114963	1802506
ASM_20	2986312	2532314	0.847973687947	69.0676661741	1402069	1200971
ASM_56	2986312	2538241	0.84995841024	80.5489242353	1621212	1405762
ASM_46	2986312	2828771	0.94724563274	77.5416479453	1733138	1503186
ASM_55	2986312	2475583	0.828976677588	8.63894121102	172265	146313
ASM_4	2986312	2540724	0.850789870583	110.365464332	2225422	1920187
ASM_43	2986312	2538936	0.850191138769	90.1080397458	1810968	1564909
ASM_51	2986312	2593874	0.868587743009	50.8236228899	1062708	907860
ASM_11	2986312	2493864	0.835098275063	45.3210588067	922369	772475
ASM_45	2986312	2566476	0.859413216034	21.2008466083	431770	371566
ASM_15	2986312	2535188	0.848936079017	89.3890539873	1791240	1549900
ASM_50	2986312	2557429	0.856383726818	20.6649494473	439115	378432
ASM_23	2986312	2759130	0.923925564375	27.8313432133	615534	523990
ASM_34	2986312	2828642	0.947202435646	92.0306387305	1941108	1782261
ASM_17	2986312	2553952	0.855219414448	16.0307292385	333760	280050
ASM_42	2986312	2534973	0.84886408386	73.9784837945	1481422	1284664
ASM_40	2986312	2524378	0.845316229517	28.2240829226	560351	486516
ASM_33	2986312	2586633	0.866163013108	31.6411941702	658990	560119
