sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W144_D1_Virome	6601216	6048281	0.916237402321	9.522309066	431027	392437
W16_D1	6601216	5897216	0.893352982238	61.6742705371	2662060	2518831
W38_D5	6601216	5957207	0.902440853322	63.9570993588	2809937	2620415
W15_D5	6601216	5891234	0.892446785562	46.9054997646	2040434	1908654
W48_D1	6601216	5638140	0.854106273753	84.9690342915	5189813	3310401
W6_D1	6601216	5988349	0.907158468985	10.4780202356	448589	433894
W119_D1_Virome	6601216	5919300	0.896698426472	6.60727670502	298084	266331
W143_D1_Virome	6601216	5819443	0.881571365033	5.29003686435	243294	222373
W25_D1	6601216	5991505	0.907636562718	59.5670373304	2594015	2471187
W101_D5	6601216	5978056	0.905599210812	32.8916045618	1440920	1350518
W25_D5	6601216	5988957	0.907250573228	46.0883828353	2066625	1909767
W3_D1	6601216	5909200	0.895168405336	9.898762269	419739	404211
W102_D1	6601216	5985548	0.906734153223	73.9959841605	3268972	3051863
W114_D5	6601216	5949332	0.901247891298	37.4804048589	1655163	1534646
W18_D1	6601216	5894938	0.893007894303	36.5452871599	1556346	1494237
W35_D1	6601216	5646692	0.855401792639	70.9610733151	4391309	2769037
W36_D5	6601216	5958162	0.902585523637	60.7708315081	2711870	2498158
W140_D1_Virome	6601216	6118346	0.926851355871	12.8291355213	582058	535714
W51_D1	6601216	5631549	0.853107821347	86.7680868976	5374638	3370522
W34_D5	6601216	5964003	0.903470360612	58.4834690727	2595724	2406140
W89_D5	6601216	5894149	0.89288837087	66.8696437772	2913130	2718454
W4_D1	6601216	5858179	0.887439374806	6.59245543709	276020	267079
W145_D1_Virome	6601216	5785062	0.876363082196	5.63287670901	244005	221798
W14_D1	6601216	5897375	0.89337706871	47.3105612243	2044705	1932156
W101_D1	6601216	5983089	0.906361646097	54.0945011849	2408853	2230235
W39_D1	6601216	5671301	0.859129742157	78.0198703966	4934341	3091628
W47_D1	6601216	5675275	0.859731752453	83.2301245314	5147034	3274531
W37_D5	6601216	5956997	0.902409041001	61.6409430792	2708767	2530799
W40_D1	6601216	6013338	0.910943983654	12.5151892343	550363	520491
W34_D1	6601216	6014309	0.911091077765	68.3778447366	2981748	2854048
W13_D5	6601216	5902816	0.894201310789	66.7331473656	2919063	2717439
W31_D5	6601216	6007035	0.909989159573	62.9233109179	2801423	2606339
