sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W144_D1_Virome	2808298	2755220	0.981099584161	18.0539989547	375552	337497
W84_D5	2808298	2680070	0.954339603561	123.707906883	2499984	2265668
ASM_32	2808298	2603747	0.927161932245	113.079031104	2226311	2004093
W116_D1	2808298	2550574	0.908227688087	45.1516046976	866247	786913
W68_D5	2808298	2717615	0.967708911234	39.057981355	769595	722906
W83_D1	2808298	2666964	0.949672719918	58.8204820163	1184364	1069648
W29_D5	2808298	2732702	0.973081204345	88.4232678865	1772934	1654471
W66_D5	2808298	2699111	0.961119866909	26.8088607693	526516	493847
W8_D5	2808298	2681213	0.954746611649	109.148510021	2198675	2000034
W86_D1	2808298	2666753	0.949597585441	83.9257017804	1699962	1529513
W119_D1_Virome	2808298	2737325	0.974727397164	12.1310779685	255185	225291
ASM_10	2808298	2608358	0.928803852013	97.9655465239	1934979	1741962
W143_D1_Virome	2808298	2730783	0.972397872306	10.4121242882	222979	199652
W143_D5	2808298	2695165	0.959714745372	118.595094549	2328767	2185671
W141_D1	2808298	2720817	0.968849103621	224.641659472	4376800	4190718
W25_D1	2808298	2702674	0.962388606907	7.44337459864	143812	138210
Wound_prelim_Virome_2	2808298	2639881	0.940028800362	14.590220544	313069	261369
W141_D1_Hoffman	2808298	2704623	0.963082621574	106.183099456	2066684	1981196
W147_D5_Virome	2808298	2646421	0.942357613045	20.0318048413	416755	359355
W66_D1	2808298	2687998	0.957162665785	14.4079634732	279135	264068
ASM_48	2808298	2591477	0.922792737808	20.2202523889	398746	356381
W75_D1	2808298	2689652	0.95775163462	106.122785773	2108939	1950237
W145_D1	2808298	2679140	0.954008442124	23.7557283307	466977	433987
W150_D1	2808298	2709205	0.964714214802	212.589138142	4222449	3938379
W28_D1	2808298	2742545	0.976586174259	152.549221617	3027299	2864604
W52_D1	2808298	2750908	0.979564134575	83.4915060773	1663965	1573978
W149_D1	2808298	2705156	0.963272416246	219.607801916	4428747	4063423
W140_D1_Virome	2808298	2758835	0.982386840713	19.6634535954	405925	368415
W139_D5_Hoffman	2808298	2696838	0.960310479871	93.4041436675	1808099	1718728
W42_D5	2808298	2553168	0.909151379234	17.4927846503	336422	305397
W144_D1_Hoffman	2808298	2687671	0.957046225151	29.2376637617	560408	536560
Wound_prelim_Virome_3	2808298	2660261	0.947285864962	32.9575413841	658460	596374
W105_D5	2808298	2727090	0.971082840924	35.674453355	695405	661801
W150_D5_Virome	2808298	2585702	0.920736332113	10.5613875845	215280	185024
W9_D5	2808298	2676501	0.953068727037	105.806744328	2125752	1937084
W145_D1_Virome	2808298	2740932	0.976011805015	13.9769676884	291855	259633
W74_D1	2808298	2664073	0.948643270764	19.2497484115	376724	349690
W143_D1	2808298	2743533	0.976937988775	71.518550351	1414933	1343890
W146_D5_Virome	2808298	2519314	0.897096390768	6.69175577161	132996	114281
W22_D1	2808298	2613158	0.930513072331	134.775206857	2589275	2415363
W85_D1	2808298	2659346	0.946960044839	34.5570343235	682936	625312
W40_D1	2808298	2575753	0.917193616917	151.21843787	2859548	2670010
W146_D1	2808298	2682056	0.955046793467	121.995168259	2385610	2239462
W20_D1	2808298	2601826	0.92647788803	10.7650284838	207012	192334
W53_D1	2808298	2746349	0.977940731361	41.2603471008	819642	776051
ASM_14	2808298	2609597	0.929245044507	94.5070353775	1876574	1679148
W69_D5	2808298	2700001	0.961436784843	34.562234977	670290	636025
Wound_prelim_Virome_1	2808298	2667605	0.949900972048	98.269405328	2042640	1778175
W144_D5	2808298	2704657	0.963094728551	132.323050945	2605119	2446872
W146_D5_hoffman	2808298	2671727	0.951368764996	75.2235677522	1512212	1374711
W139_D1	2808298	2694520	0.959485068892	149.970561362	2912171	2754947
W87_D1	2808298	2671292	0.951213866904	98.6133140817	1993907	1803078
W10_D5	2808298	2679727	0.954217465525	116.524659788	2363340	2138703
W104_D5	2808298	2729930	0.972094129612	67.5973391259	1319908	1257800
SP8892_full	2808298	2641274	0.940524830342	14.8738669294	296437	268210
W27_D1	2808298	2706859	0.963878833372	7.14275143256	139275	133039
W70_D1	2808298	2736082	0.974284780319	93.308616847	1889198	1748738
W147_D5_Hoffman	2808298	2681105	0.954708154192	164.338752865	3281027	3009894
W150_D1_Hoffman	2808298	2679588	0.954167969354	78.5548345492	1541077	1445542
W145_D1_Hoffman	2808298	2692162	0.958645414411	76.6137858717	1531103	1413415
W28_D5	2808298	2731729	0.972734731143	102.282055797	2042925	1912870
W142_D1	2808298	2745973	0.977806842436	112.809929304	2214118	2119349
ASM_2	2808298	2667648	0.949916283813	37.632421144	728611	684699
W149_D1_Hoffman	2808298	2709696	0.964889053797	68.3701588665	1411957	1266657
W142_D5	2808298	2687982	0.957156968384	60.5401844209	1191742	1114281
W150_D1_Virome	2808298	2746648	0.978047201543	14.8824585458	304781	277386
W84_D1	2808298	2668509	0.950222875208	122.358155434	2462664	2229223
W8_D1	2808298	2675078	0.95256201443	72.7798748298	1431301	1331274
