ASM_1, 904 contigs, total 5203303 bp, min 201 bp, max 436365 bp, avg 5756 bp, N50 193608 bp
ASM_10, 5824 contigs, total 5732753 bp, min 204 bp, max 449764 bp, avg 984 bp, N50 17175 bp
ASM_11, 624 contigs, total 3347992 bp, min 203 bp, max 188748 bp, avg 5365 bp, N50 98063 bp
ASM_12, 6582 contigs, total 8196915 bp, min 201 bp, max 591657 bp, avg 1245 bp, N50 19214 bp
ASM_13, 1022 contigs, total 5023201 bp, min 201 bp, max 84390 bp, avg 4915 bp, N50 21046 bp
ASM_14, 4720 contigs, total 5144025 bp, min 201 bp, max 449764 bp, avg 1090 bp, N50 55276 bp
ASM_15, 251 contigs, total 2965430 bp, min 201 bp, max 280559 bp, avg 11814 bp, N50 131840 bp
ASM_16, 2272 contigs, total 6146120 bp, min 201 bp, max 130082 bp, avg 2705 bp, N50 6230 bp
ASM_17, 245 contigs, total 6233966 bp, min 205 bp, max 666277 bp, avg 25445 bp, N50 111320 bp
ASM_18, 1939 contigs, total 4471724 bp, min 206 bp, max 280699 bp, avg 2306 bp, N50 94173 bp
ASM_19, 1928 contigs, total 4457289 bp, min 205 bp, max 280698 bp, avg 2312 bp, N50 115651 bp
ASM_2, 2905 contigs, total 9149427 bp, min 202 bp, max 1036308 bp, avg 3150 bp, N50 255086 bp
ASM_20, 89 contigs, total 2901271 bp, min 209 bp, max 298425 bp, avg 32599 bp, N50 188404 bp
ASM_21, 1990 contigs, total 1127966 bp, min 204 bp, max 3528 bp, avg 567 bp, N50 595 bp
ASM_22, 446 contigs, total 4980865 bp, min 203 bp, max 360852 bp, avg 11168 bp, N50 134656 bp
ASM_23, 499 contigs, total 5015800 bp, min 200 bp, max 360852 bp, avg 10052 bp, N50 136013 bp
ASM_24, 1960 contigs, total 4342140 bp, min 201 bp, max 256651 bp, avg 2215 bp, N50 89727 bp
ASM_25, 13 contigs, total 4984 bp, min 214 bp, max 572 bp, avg 383 bp, N50 372 bp
ASM_26, 58 contigs, total 25661 bp, min 204 bp, max 2357 bp, avg 442 bp, N50 401 bp
ASM_27, 4378 contigs, total 3531069 bp, min 202 bp, max 11676 bp, avg 807 bp, N50 982 bp
ASM_28, 692 contigs, total 6358438 bp, min 201 bp, max 681647 bp, avg 9188 bp, N50 46440 bp
ASM_29, 236 contigs, total 6379877 bp, min 201 bp, max 692857 bp, avg 27033 bp, N50 157067 bp
ASM_3, 444 contigs, total 4905326 bp, min 204 bp, max 159876 bp, avg 11048 bp, N50 35443 bp
ASM_30, 1957 contigs, total 4024973 bp, min 207 bp, max 220444 bp, avg 2057 bp, N50 84965 bp
ASM_31, 80 contigs, total 36343 bp, min 201 bp, max 3011 bp, avg 454 bp, N50 414 bp
ASM_32, 112 contigs, total 2989927 bp, min 202 bp, max 583620 bp, avg 26696 bp, N50 143889 bp
ASM_33, 509 contigs, total 8255152 bp, min 205 bp, max 436149 bp, avg 16218 bp, N50 54296 bp
ASM_34, 2173 contigs, total 5956411 bp, min 203 bp, max 416947 bp, avg 2741 bp, N50 36349 bp
ASM_35, 1784 contigs, total 3940726 bp, min 202 bp, max 417048 bp, avg 2209 bp, N50 82293 bp
ASM_36, 93 contigs, total 2901879 bp, min 202 bp, max 579082 bp, avg 31203 bp, N50 149828 bp
ASM_37, 237 contigs, total 2959971 bp, min 204 bp, max 298310 bp, avg 12489 bp, N50 163797 bp
ASM_38, 603 contigs, total 3343577 bp, min 202 bp, max 188851 bp, avg 5545 bp, N50 84615 bp
ASM_39, 2675 contigs, total 7669434 bp, min 201 bp, max 666277 bp, avg 2867 bp, N50 85465 bp
ASM_4, 148 contigs, total 2925649 bp, min 201 bp, max 298433 bp, avg 19768 bp, N50 149828 bp
ASM_40, 1825 contigs, total 4454073 bp, min 201 bp, max 348067 bp, avg 2441 bp, N50 79153 bp
ASM_41, 373 contigs, total 4865211 bp, min 200 bp, max 280575 bp, avg 13043 bp, N50 68772 bp
ASM_42, 139 contigs, total 2919768 bp, min 201 bp, max 388019 bp, avg 21006 bp, N50 163545 bp
ASM_43, 145 contigs, total 2925505 bp, min 201 bp, max 298433 bp, avg 20176 bp, N50 149828 bp
ASM_44, 2876 contigs, total 9090083 bp, min 200 bp, max 1120455 bp, avg 3161 bp, N50 255086 bp
