site_id	W20_D1	W21_D1	W19_D1
1	0	0	0.167
2	0.2	0.5	0.167
3	0	0.4	0
4	0.2	0.4	0.167
5	0.25	0	0
62	0.0312	0	0
103	0.0435	0	0
304	0.0435	0	0
408	0	0	0.04
729	0.0357	0	0
838	0	0.0323	0
1035	0	0.0408	0
1053	0	0.0417	0
1098	0	0	0.0476
1535	0.0299	0	0
1538	0.0303	0	0
1549	0	0	0.0333
1561	0.0147	0	0.0345
1686	0.0333	0	0
1689	0.0351	0	0
1747	0.0465	0	0
1806	0.0339	0	0
1890	0.0328	0	0
1895	0	0	0.029
1896	0	0	0.0294
1898	0.0323	0	0
2018	0.0851	0	0
2043	0	0	0.0339
2109	0.0556	0	0
2122	0	0	0.0303
2666	0	0.0444	0
2724	0.0526	0	0
2725	0.0517	0	0
2726	0.0517	0	0
2775	0	0	0.0857
2776	0	0	0.0811
2924	0	0	0.0517
2926	0	0	0.0462
3061	0	0.0345	0
3166	0	0.0213	0.0179
3258	0.0392	0	0
3281	0	0	0.0667
3348	0.0227	0.0175	0
3352	0	0.0185	0.0204
3354	0	0.0179	0.0208
3356	0.0217	0	0.02
3507	0.0169	0	0.0204
3508	0.0172	0	0.0217
3687	0	0	0.0465
3731	0	0	0.0513
3851	0.0417	0	0
4060	0	0	0.0357
4381	0	0.0455	0
4512	0	0	0.0333
4520	0	0	0.0448
4575	0	0	0.0656
4576	0	0	0.05
4577	0	0	0.0517
4606	0	0	0.0294
4653	0	0	0.0282
4681	0.0294	0	0
4697	0	0	0.04
4726	0	0	0.0638
4727	0	0	0.0652
4728	0	0	0.0652
4899	0.0476	0	0
4982	0	0.0156	0.0208
5087	0.037	0	0
5092	0	0	0.029
5093	0	0	0.0274
5095	0	0	0.0278
5122	0.0172	0.0185	0
5126	0	0.0172	0.0128
5159	0	0.05	0
5165	0	0.0244	0.0164
5167	0	0.0465	0
5188	0.0377	0	0
5209	0	0	0.0312
5221	0	0	0.0317
5242	0	0	0.0339
5243	0	0	0.0308
5244	0	0	0.0328
5619	0	0	0.1
5669	0.429	0.667	0.167
5752	0	0	1
5759	0	0	0.125
5760	0	0	0.125
5761	0	0	0.125
5762	0.2	0	0.111
5805	0	0	0.0385
5827	0.0333	0	0
5836	0	0	0.0278
5975	0	0	0.0339
5997	0	0	0.0333
6133	0	0.0357	0
6151	0.0217	0	0.0189
6206	0.0377	0	0
6429	0.0526	0	0
6450	0	0	0.05
6586	0.02	0.0204	0
6647	0	0	0.0606
6648	0	0	0.0606
6679	0.0417	0	0
6797	0	0	0.0444
6798	0	0	0.0435
7055	0	0.04	0
7138	0	0	0.0513
7170	0	0	0.0465
7261	0	0.0417	0
7265	0	0.0385	0
7480	0	0.0294	0
7490	0	0	0.0294
7498	0	0	0.0323
7506	0	0.0286	0
7516	0	0	0.0625
7517	0	0	0.0303
7523	0	0	0.027
7526	0	0.0294	0
7533	0	0.0294	0
7546	0	0.0323	0
7547	0	0.0323	0
7574	0	0.0323	0
7690	0	0.0364	0.0222
7897	0	0.04	0
8313	0.0217	0.0238	0
8864	0	0	0.0303
8898	0	0.0408	0
9038	0	0	0.0364
9188	0	0	0.0513
9189	0	0	0.05
9255	0.0169	0	0.027
9390	0.0488	0	0
9472	0	0	0.0328
9473	0	0	0.0333
9481	0.0417	0	0
9521	0.0357	0	0
9537	0.037	0	0
9539	0.0377	0	0
9580	0.0227	0	0.0172
9688	0	0.0465	0
9768	0	0.0328	0
9879	0	0.0154	0.0189
10002	0	0.06	0
10003	0	0.0408	0
10069	0.0526	0	0
10194	0	0.0333	0
10254	0	0.0351	0
10263	0	0.0364	0
10431	0.0185	0.0263	0
10615	0.0357	0	0
10720	0.0638	0	0.0208
10760	0	0.0385	0
10765	0	0	0.0333
10767	0	0	0.0339
10837	0.0345	0	0
10914	0	0	0.0488
10917	0	0	0.05
11177	0	0.0357	0
11179	0	0.0364	0
11309	0	0	0.0364
11313	0	0	0.037
11315	0	0	0.0364
11363	0.0465	0	0
11428	0	0.0333	0
11525	0.0513	0	0
11527	0.0513	0	0
11528	0.0541	0	0
11675	0.0645	0	0
11676	0.0645	0	0
11677	0.0645	0	0
11696	0	0.0417	0
11753	0	0.0345	0
11924	0	0	0.0357
11930	0.0789	0	0.0185
11977	0	0.0357	0.0185
12185	0	0	0.0303
12268	0	0.0476	0
12384	0.0357	0	0
12385	0.037	0	0
12469	0	0	0.0426
12579	0.0426	0	0
12597	0.0233	0	0.025
12601	0.02	0	0.0217
12610	0	0	0.0377
12650	0	0	0.0444
12701	0	0	0.0517
12712	0	0	0.0351
12748	0.0244	0	0.0189
12749	0.0244	0	0.0204
12751	0.0244	0	0.0222
12767	0	0	0.0588
12827	0	0.0625	0
12843	0	0	0.0256
12884	0	0	0.0741
12947	0	0.0714	0
12949	0	0	0.0556
13004	0.0192	0	0.02
13081	0	0	0.0455
13153	0.0192	0	0.0233
13154	0.0189	0	0.0238
13155	0.0185	0	0.025
13253	0	0	0.075
13534	0	0.0308	0
13714	0	0.0476	0
13735	0	0.0222	0.0204
13807	0.0755	0	0
13869	0.0333	0	0
13940	0	0.0351	0
14109	0	0.0286	0
14203	0	0.0357	0
14216	0	0.037	0
14318	0	0	0.0377
14343	0.0339	0	0
14560	0	0.0769	0
14659	0	0	0.0377
15174	0.0192	0	0.0328
15208	0	0.0263	0.0179
15216	0	0.0312	0.0185
15218	0	0.0294	0.0164
15230	0	0	0.0426
15480	0.0476	0	0
15512	0.0465	0	0
15706	0	0.04	0
15726	0	0	0.0714
15732	0	0	0.0278
15734	0	0	0.0278
15756	0	0	0.0256
15764	0	0	0.0244
15818	0	0.0476	0
15832	0	0.0526	0
15858	0.0513	0	0
15869	0	0	0.04
15876	0	0	0.04
15888	0	0	0.0465
15957	0	0	0.0444
16277	0	0	0.0465
16639	0.0294	0	0
