site_id	ZYMO_Standard
96	0.333
97	0.333
98	0.333
177	0.111
178	0.111
246	0.0833
258	0.0769
270	0.0833
325	0.125
326	0.125
1032	0.143
1082	0.167
1423	0.143
1461	0.167
1476	0.143
1730	0.0714
1798	0.1
2019	0.25
2290	0.222
2586	0.111
2587	0.1
2588	0.1
2589	0.1
2634	0.0909
2635	0.1
2710	0.0833
2735	0.0833
2738	0.1
2908	0.0833
2989	0.1
3087	0.143
3802	0.167
3803	0.167
3889	0.0556
3950	0.133
3953	0.154
4256	0.0909
4288	0.143
4293	0.125
4297	0.111
4299	0.111
4301	0.111
5332	0.0667
5338	0.0769
5400	0.0556
5515	0.111
5570	0.111
5596	0.1
5833	0.4
5912	0.125
6100	0.0909
6150	0.0909
6152	0.0909
6155	0.0909
6238	0.1
6246	0.111
6492	0.111
6879	0.111
6880	0.111
6882	0.1
7025	0.0833
7027	0.0769
7032	0.0769
7041	0.0769
7128	0.0909
7290	0.143
7368	0.111
7371	0.111
7435	0.125
7437	0.125
7438	0.143
7516	0.25
7517	0.25
7518	0.25
7569	0.105
7581	0.105
7691	0.0625
7832	0.125
7982	0.111
8767	0.1
8769	0.1
8806	0.111
8914	0.0909
8915	0.0909
9129	0.0769
9138	0.111
9184	0.118
9503	0.25
9694	0.0714
9699	0.0714
9748	0.0769
10131	0.143
10239	0.0667
10317	0.0714
10319	0.0714
10320	0.0714
10322	0.0833
10453	0.2
10454	0.2
10469	0.2
10470	0.2
10603	0.2
10604	0.167
10795	0.111
10859	0.0769
10931	0.0769
10986	0.0667
11589	0.111
12042	0.0769
12074	0.1
12135	0.125
12378	0.0909
12640	0.2
12705	0.125
12986	0.25
13132	0.143
13133	0.125
13134	0.125
13136	0.125
13185	0.1
13186	0.0909
13272	0.0667
13334	0.0769
13335	0.0769
14948	0.111
14960	0.111
14976	0.1
15037	0.0667
15092	0.1
15095	0.1
15779	0.125
16861	0.0667
17247	0.167
17249	0.143
17253	0.143
17257	0.167
17397	0.25
17399	0.25
17400	0.25
17484	0.125
17486	0.125
17487	0.125
17638	0.125
17653	0.25
18442	0.1
18554	0.118
18555	0.118
18577	0.0769
18590	0.0769
18612	0.0833
18633	0.125
18665	0.0667
18700	0.143
18702	0.143
18706	0.0909
18716	0.0909
18753	0.0714
18787	0.0909
18849	0.0833
18871	0.0769
18941	0.1
19157	0.111
19225	0.0769
19565	0.333
19715	0.0833
19902	0.143
19952	0.111
19965	0.222
20100	0.125
20101	0.125
21582	0.0625
21695	0.25
21916	0.333
21917	0.333
21919	0.5
21921	0.5
21922	0.5
21923	0.4
21925	0.333
22038	0.0769
22067	0.0909
22070	0.182
22246	0.143
22249	0.0909
22306	0.1
22471	0.125
22574	0.1
22693	0.0625
22699	0.0625
22724	0.0714
22784	0.0714
22785	0.0667
22934	0.1
22935	0.1
23300	0.0769
23577	0.2
23674	0.125
23676	0.111
23677	0.1
23682	0.1
23762	0.111
23824	0.2
23825	0.2
23827	0.333
24504	0.2
24544	0.25
25275	0.125
25280	0.125
25282	0.125
25344	0.0909
25506	0.125
25586	0.2
25757	0.0714
26047	0.2
26050	0.25
26999	0.25
27060	0.5
27289	0.5
27290	0.5
27662	0.111
27761	0.0833
27800	0.111
27947	0.2
27955	0.2
27988	0.2
28011	0.167
28015	0.167
28017	0.167
28024	0.2
28167	0.2
28168	0.2
28185	0.4
28189	0.4
28192	0.4
28194	0.4
28197	0.4
28306	0.167
28321	0.0769
28322	0.0769
28324	0.0769
28335	0.182
28339	0.182
28340	0.182
28342	0.182
28343	0.182
28429	0.167
28431	0.167
28433	0.167
28435	0.167
28440	0.125
28506	0.143
29231	0.0909
29268	0.0909
29308	0.0833
29310	0.0833
29312	0.0667
29458	0.0625
29459	0.0667
29460	0.0625
30122	0.333
30258	0.125
30271	0.0833
30273	0.0833
30275	0.0833
30403	0.0667
30406	0.0667
30409	0.0667
30888	0.0833
30928	0.0714
31132	0.111
31984	0.1
32356	0.0833
32465	0.105
32466	0.0556
32468	0.0556
32470	0.0625
32471	0.0625
32472	0.0625
32506	0.0526
32507	0.0556
32613	0.0833
32616	0.0833
32618	0.0833
32619	0.0833
32620	0.0909
32621	0.0909
32622	0.1
32831	0.3
32838	0.3
33185	0.1
33186	0.0833
33188	0.0909
33191	0.0833
33334	0.1
33335	0.1
33340	0.111
33882	0.143
33887	0.125
33894	0.125
33895	0.125
34061	0.2
34065	0.2
34066	0.167
34212	0.143
34475	0.25
34476	0.25
34486	0.143
34498	0.1
34514	0.2
34518	0.0909
34539	0.0909
34556	0.125
34621	0.167
34703	0.0909
34704	0.1
34736	0.0833
34739	0.0909
34740	0.0833
34742	0.0833
34744	0.0833
34798	0.0769
34853	0.1
34854	0.111
34886	0.125
35048	0.125
35197	0.143
35227	0.143
35271	0.125
35461	0.0833
35564	0.0833
35599	0.0556
35610	0.0588
35611	0.0625
35637	0.0526
35958	0.111
35996	0.0909
36006	0.0833
36391	0.111
36584	0.2
36798	0.111
36799	0.111
36800	0.111
36826	0.0909
36898	0.1
36903	0.1
36908	0.1
36910	0.111
36911	0.111
36912	0.111
36913	0.111
36946	0.111
36947	0.125
36950	0.125
36977	0.2
37056	0.25
37058	0.25
37276	0.0833
37277	0.0769
37278	0.0833
37427	0.111
37428	0.111
37607	0.1
37608	0.0909
37610	0.0909
37695	0.0833
37756	0.111
37758	0.125
38312	0.0833
38341	0.0833
38931	0.0833
39024	0.0714
39411	0.333
39413	0.333
39555	0.2
39651	0.125
39655	0.125
39656	0.125
39748	0.1
39801	0.0909
39804	0.0909
39806	0.1
39977	0.111
40046	0.0769
40047	0.0769
40053	0.0769
40058	0.0833
40059	0.0833
40378	0.2
40542	0.25
40543	0.25
40692	0.167
40693	0.154
40757	0.0909
41504	0.125
42222	0.0909
42252	0.0769
42256	0.0833
42257	0.0769
42426	0.1
43148	0.25
43149	0.25
43151	0.25
43152	0.25
43153	0.25
43275	0.0909
43276	0.0909
43297	0.1
43300	0.2
43301	0.111
43302	0.111
43371	0.143
43418	0.143
43419	0.125
43421	0.143
43424	0.125
43426	0.143
43569	0.5
43574	0.5
43576	0.5
43661	0.2
43791	0.167
43838	0.125
43983	0.0909
43985	0.1
43987	0.0909
43989	0.0909
44095	0.1
44392	0.167
44506	0.111
44654	0.143
44656	0.143
44708	0.167
44709	0.167
45053	0.143
45055	0.143
45056	0.143
45206	0.1
45480	0.333
45676	0.167
45904	0.25
46021	0.1
46074	0.0909
46188	0.167
46364	0.2
46476	0.0833
47206	0.2
47220	0.2
47356	0.167
47415	0.125
48126	0.222
48186	0.0769
48187	0.0769
48188	0.0769
48190	0.0769
48215	0.0769
48291	0.1
48335	0.167
48338	0.167
48339	0.167
48807	0.0833
48835	0.0909
48978	0.2
49144	0.0588
49150	0.0556
49155	0.0625
49220	0.0588
49258	0.0588
49285	0.0526
49339	0.0833
49342	0.0833
49344	0.0833
49641	0.111
49642	0.111
49643	0.1
49954	0.2
49956	0.25
49957	0.2
50104	0.2
50106	0.167
50107	0.167
50738	0.0667
50817	0.0714
50839	0.0714
50849	0.0714
51335	0.1
51337	0.1
51338	0.0833
51340	0.154
51343	0.167
51485	0.0714
51486	0.0714
51487	0.0769
51670	0.0556
51832	0.125
51849	0.0769
51876	0.0769
51928	0.111
52429	0.1
52910	0.111
53200	0.2
53731	0.125
53920	0.1
53945	0.125
53949	0.143
54001	0.111
54089	0.125
54094	0.143
54642	0.0909
54690	0.0833
55274	0.111
55492	0.0833
55493	0.0833
55494	0.0909
56196	0.111
56197	0.111
56198	0.111
56200	0.125
56202	0.111
56205	0.125
56294	0.1
56298	0.1
56348	0.0909
56349	0.0909
56350	0.0909
56351	0.1
56441	0.25
56442	0.333
56445	0.25
56603	0.0833
56775	0.222
57044	0.0714
57047	0.0667
57049	0.0667
57050	0.0769
57054	0.0625
57059	0.0667
57089	0.0833
57398	0.0769
57399	0.0769
57400	0.0714
57404	0.0833
57454	0.0909
57461	0.0909
57545	0.143
57548	0.143
57549	0.143
57550	0.143
57607	0.0714
57686	0.0625
57687	0.0625
57738	0.0833
57754	0.0714
57769	0.0909
57836	0.0769
57857	0.0833
57904	0.1
57994	0.182
58136	0.143
58144	0.2
58360	0.0588
58380	0.0714
58484	0.125
58930	0.143
59383	0.2
59633	0.0909
59782	0.2
59783	0.2
59784	0.2
59872	0.25
59984	0.143
60036	0.111
60146	0.143
60361	0.111
61140	0.333
61577	0.0769
61588	0.0769
61786	0.143
61798	0.125
61870	0.2
61919	0.167
62005	0.125
62106	0.111
62127	0.1
62438	0.111
62439	0.0909
62441	0.1
62443	0.1
62444	0.111
62507	0.0588
62521	0.0556
62536	0.0526
62588	0.0667
62593	0.0714
62843	0.125
62934	0.167
63118	0.333
63367	0.0588
63663	0.0556
63747	0.0625
63846	0.0909
63870	0.2
63873	0.143
63875	0.25
63880	0.25
63934	0.143
64016	0.125
64018	0.143
64098	0.125
64222	0.0909
64225	0.111
64331	0.143
64370	0.0909
64372	0.0909
64870	0.167
64872	0.167
65013	0.167
65014	0.2
65017	0.25
65192	0.1
65408	0.0909
65409	0.0909
65410	0.0909
65558	0.0909
65560	0.0909
65712	0.0526
65732	0.0556
65874	0.0714
65898	0.0667
65980	0.0833
65981	0.0833
65982	0.0909
66126	0.125
66128	0.143
66129	0.143
66130	0.143
66131	0.143
66133	0.167
66683	0.0526
66850	0.0769
66851	0.0769
66853	0.0769
66873	0.0769
66884	0.0833
67088	0.0833
67113	0.0667
67116	0.0769
67119	0.0714
67372	0.0667
67412	0.111
67514	0.0667
67824	0.0769
67827	0.0769
67829	0.0909
67830	0.0769
67832	0.0769
67970	0.167
67973	0.167
67983	0.2
68316	0.0909
68317	0.0833
68384	0.133
68860	0.0909
69960	0.0588
69964	0.0588
70019	0.0714
70037	0.0714
70060	0.154
70061	0.154
70063	0.154
70065	0.182
70111	0.0714
70113	0.0667
70377	0.0769
70407	0.0833
70564	0.0714
70575	0.133
70592	0.125
70627	0.0556
70638	0.0526
70652	0.0556
70663	0.111
70696	0.118
70704	0.0667
70779	0.0833
70830	0.111
71441	0.0625
71444	0.0625
71551	0.0714
71562	0.0714
71590	0.143
71592	0.2
71628	0.125
71631	0.111
71633	0.125
71638	0.143
71779	0.0909
71780	0.0833
71781	0.0909
72251	0.1
73237	0.1
73239	0.1
73240	0.1
73387	0.0909
73389	0.0833
73390	0.0833
73413	0.111
73752	0.0769
73824	0.133
73830	0.143
74090	0.0625
74093	0.0625
74095	0.0714
74096	0.0714
74098	0.0714
74099	0.0769
75200	0.143
75211	0.125
75212	0.111
75225	0.0909
75342	0.0588
75355	0.0526
75359	0.0526
75360	0.0526
75361	0.0526
75436	0.0667
75491	0.0588
75599	0.0625
75885	0.0909
76408	0.0909
76419	0.0833
76442	0.0714
76529	0.0769
76860	0.125
76874	0.111
76875	0.364
76876	0.364
76877	0.364
77024	0.0526
77025	0.188
77027	0.2
77104	0.125
77193	0.2
77301	0.1
77472	0.0625
77846	0.0909
78167	0.0526
78501	0.1
78870	0.143
79117	0.1
79298	0.1
79299	0.1
79306	0.1
79341	0.0769
79342	0.0769
79397	0.0833
79443	0.0909
79445	0.0833
79451	0.0909
79491	0.125
79549	0.125
79614	0.2
79622	0.2
79666	0.333
79814	0.5
80047	0.125
80292	0.0769
80348	0.0625
80979	0.25
80981	0.25
81018	0.143
81104	0.0769
81131	0.0769
81191	0.0769
81194	0.154
81290	0.0667
81340	0.0714
81342	0.0667
