site_id	ZYMO_Standard
506	7
716	3
745	8
1406	12
1422	16
1501	9
1544	14
1545	14
1557	14
1826	5
1828	4
2488	14
2530	15
2564	13
2627	5
2696	6
2697	6
2698	7
2844	11
2996	10
3329	9
3360	11
3597	17
3709	14
3777	2
4095	4
4215	3
4529	8
4530	7
4656	15
4679	14
4715	10
4716	10
4718	11
4865	12
5136	10
5171	10
5232	8
5740	14
5920	11
6392	6
6964	9
7371	9
7419	11
7424	12
7425	12
7991	8
8133	5
8571	8
8584	8
8746	7
8769	6
8858	11
8883	12
8949	16
10508	6
10736	10
11234	8
11235	8
11236	8
11374	14
11575	12
11688	13
11833	16
12261	4
12298	9
12704	11
12899	11
13049	6
13079	5
13080	5
13081	5
13082	5
13227	14
13230	13
13232	14
13240	14
13277	18
13337	14
13548	7
13588	8
13664	6
14232	7
16406	17
16826	12
16858	13
17159	11
17301	9
17376	8
17377	8
17378	8
17379	8
17515	17
17527	14
17528	15
17529	15
17721	10
18126	9
18786	10
18807	10
18808	10
18809	9
18812	10
18958	7
18961	7
19155	6
19194	9
19259	6
19299	7
20009	10
20559	8
20722	11
20724	11
20726	9
20729	8
21028	6
21048	9
21051	10
21369	12
21526	9
21527	9
21528	9
21529	9
21675	5
21676	6
21677	5
21712	7
22155	13
22163	13
22495	10
22881	12
23227	14
23262	7
23297	6
23299	6
23300	6
23301	6
23341	5
23491	12
23494	13
23637	7
23639	7
23642	7
23644	5
23676	5
24043	5
24087	7
25248	14
25359	9
25360	10
25361	10
25433	13
25492	16
25510	15
25596	7
26485	15
26558	15
26813	13
26838	11
27256	10
27339	18
27925	17
28142	12
28678	10
28679	10
28824	9
28825	9
28826	9
28827	9
29863	12
29994	8
29995	8
30327	9
30362	14
30407	15
31209	6
31228	5
31345	9
31346	9
31347	9
31482	8
31483	8
31485	8
31491	14
31495	11
31496	11
31498	11
31631	17
31632	17
31633	17
31634	17
31690	12
31808	7
31914	9
31915	10
32065	11
46411	17
46437	14
46600	11
47233	16
47254	14
47299	6
47300	6
47301	6
47303	7
47304	7
47579	6
48409	10
48427	14
48679	10
48721	8
49282	15
49285	14
49288	16
50120	8
50238	11
50318	10
50367	12
50421	8
50502	8
51565	9
51641	8
52786	11
52845	10
52910	9
53161	11
53219	7
53310	10
53311	10
53884	14
53943	10
54109	11
54145	16
54258	12
54259	13
54266	14
54293	11
54294	11
54295	12
54296	12
54624	12
54721	9
54902	10
54903	10
54904	10
55097	9
55247	15
55279	12
55382	7
55820	9
56297	17
56302	17
56835	11
56836	11
56837	11
56888	10
56985	7
57457	8
57468	7
57592	15
57619	17
57689	10
57781	11
57811	9
57883	8
57941	10
57943	10
57959	12
57961	12
57962	12
57965	12
58033	14
58034	15
58084	9
58087	9
58089	9
58091	10
58092	9
58093	10
58110	9
58111	8
58112	9
58122	9
58123	9
58225	10
58226	9
58232	12
58305	10
58376	6
58378	4
58380	4
58579	5
58580	5
58611	6
58900	4
59052	8
59054	8
59058	7
59200	18
59202	16
59297	11
59327	9
59328	9
59329	9
59598	9
59745	3
59748	3
60221	6
60748	7
60890	7
60931	9
61340	6
61341	6
61345	6
61349	7
61635	13
61866	9
61867	9
61936	10
62019	9
62539	9
62554	10
62573	9
62715	18
62716	18
62893	14
62901	14
62916	13
63025	13
63095	7
63320	10
63355	8
66745	10
67134	10
67445	8
67449	9
67450	9
67453	11
67454	10
67953	10
68403	10
68720	18
69905	4
70048	5
70302	14
70742	10
70776	9
70782	8
70802	7
70850	7
70938	13
70984	16
70992	16
71001	15
71012	18
71134	11
71952	18
72090	17
72095	17
72096	16
72098	16
72100	17
72102	16
72103	17
72234	17
72236	16
72238	15
72245	16
72247	14
72358	6
72750	11
72878	9
72879	10
73510	13
73512	13
73655	14
73743	12
73805	14
73806	14
74033	13
74035	14
74092	7
74322	12
74369	12
74370	12
74372	12
74373	12
74375	11
74445	10
74517	9
74521	9
74523	9
75116	10
75276	9
75759	16
76570	9
76575	8
76576	10
76609	11
76629	6
77133	5
78317	4
79334	13
79496	17
79888	15
79890	15
80030	17
80032	18
80035	18
80037	18
80038	18
80715	12
81190	14
81372	12
81494	8
81495	9
81701	15
82161	6
82307	5
83198	15
83240	11
83641	11
83642	11
83644	11
83645	11
83791	13
83793	13
83904	16
83905	16
83906	16
84360	17
84361	17
84363	18
84366	17
84367	18
84368	18
84370	17
84551	6
84624	12
84665	14
84885	17
84922	12
84941	13
84969	14
84983	13
85030	18
85032	18
85033	18
85557	8
85662	13
85663	13
85667	12
85702	12
85707	11
85737	10
85758	11
85782	11
85814	10
85815	10
85817	10
86157	11
86203	8
86238	12
86306	12
86854	11
86856	11
86894	11
87002	10
87004	10
87005	10
87093	11
87094	11
87095	11
87138	13
87243	13
87244	14
87245	14
87246	14
87397	15
87398	15
87548	6
87934	10
87992	13
88432	16
88438	15
88439	15
88444	15
88447	13
88448	17
88490	15
88544	13
88588	8
88659	15
88688	16
90655	12
90704	13
90761	13
90783	14
90792	13
92593	8
92595	9
92596	9
92597	9
92687	8
92688	8
92689	8
92690	7
92692	8
92878	7
92881	8
92883	8
92884	7
93026	6
93027	6
93524	7
93587	11
93603	10
93768	8
93904	9
93907	8
95515	11
95596	17
95597	17
95598	17
95746	13
95785	13
96305	5
96551	7
96840	13
97054	11
97065	13
97529	10
97630	7
97673	12
97758	16
97812	14
97868	10
97994	9
97998	9
98248	11
98399	13
98954	9
98955	9
98958	12
99092	8
99190	9
99903	9
99905	10
99925	13
100054	15
100055	14
100079	14
100119	15
100619	8
100820	12
100821	12
100826	13
100974	13
100977	12
100986	11
101143	9
101161	11
101162	10
101391	11
101397	12
101527	6
102294	8
102311	11
102459	10
102461	10
102462	10
102683	8
103298	10
104319	10
104708	9
104733	9
105291	18
105316	17
105317	17
105724	8
106140	10
106142	10
106143	9
106239	12
106293	10
106294	10
106297	8
106302	9
106307	8
106311	9
106480	18
106481	18
106629	15
106879	15
106900	11
107509	6
107859	9
108402	18
108563	11
108572	9
108943	16
108957	13
109009	13
109140	18
109160	16
109196	16
109284	10
109549	13
110012	9
110673	17
110934	9
110935	9
110938	9
110941	9
111082	6
111087	6
111342	8
111393	11
111443	10
111536	12
111537	14
111540	15
111541	14
111542	15
111547	15
111608	15
111614	14
111686	12
111687	14
112024	13
112562	8
112564	10
112705	6
112706	7
112708	8
112709	7
113145	7
113295	9
113466	16
113616	11
113618	10
113621	11
113659	13
113723	11
113724	13
113725	13
113728	13
113766	15
113769	16
113871	15
113874	14
113911	10
114019	7
114142	13
114188	12
114223	15
114224	15
114581	8
114605	6
115000	6
115068	9
115113	12
115257	9
115544	3
115604	9
115687	9
116525	9
116526	9
116527	9
116543	9
116650	15
116655	15
116656	15
116658	15
116659	15
116674	13
116677	13
116693	11
116694	11
116695	11
117525	15
117613	17
117634	15
117891	13
117892	12
117988	11
118041	4
118042	4
118739	16
119199	18
119200	18
120192	11
120673	8
121350	8
121407	6
121473	9
121493	8
121945	5
122419	10
122420	10
122566	8
122634	7
124318	17
124319	17
124350	12
124473	16
124526	18
124622	15
124623	14
124674	16
124676	18
124741	18
125186	4
125449	5
125450	5
125451	5
125599	9
125600	9
125601	10
126101	10
126103	9
126106	8
126107	8
126197	15
126200	15
126347	18
126485	17
126660	18
126695	7
126723	8
127002	18
127139	12
127141	12
127285	12
127286	11
127288	12
127289	12
127290	12
127298	11
127548	17
127582	17
127600	11
127701	9
127716	12
127733	12
127744	13
127755	13
127785	15
127792	16
127835	13
128624	10
128625	10
128668	9
128986	7
129051	7
129190	14
129881	10
130017	9
130092	12
130234	16
130457	12
130494	16
130989	3
131321	15
131488	10
131550	4
131564	5
131595	6
131625	11
131626	10
131775	7
131776	7
132171	7
132172	7
132173	7
132175	7
132178	7
132323	17
132329	17
132400	14
132507	10
132657	8
132716	9
132989	5
133139	12
133297	9
133894	12
133895	11
134041	6
134656	11
134657	11
134658	11
134661	12
134693	12
134807	6
134809	5
135289	10
135417	6
135470	5
135485	5
135494	5
135537	9
135611	11
135622	12
135718	10
135781	11
137107	11
137108	11
