site_id	ASM_52	ASM_2	ASM_50	ASM_44
60	9	5	4	10
89	13	8	7	15
138	17	14	10	27
161	19	16	9	33
194	24	25	13	37
212	25	25	12	36
299	43	38	30	45
352	52	40	42	51
361	52	38	44	52
363	50	38	46	51
394	44	21	38	44
457	24	15	21	22
460	23	15	19	21
461	24	15	19	22
462	24	14	19	22
473	22	11	17	21
475	16	11	16	21
477	16	9	13	21
481	16	7	14	20
728	11	13	6	16
740	13	13	11	20
742	14	16	11	20
807	22	29	17	31
959	29	38	27	44
961	30	38	26	44
983	22	42	23	50
1131	19	26	15	40
1191	11	25	19	45
1310	17	39	19	40
1361	29	40	12	39
1386	26	41	10	37
1526	42	52	22	35
1554	40	51	27	36
1722	32	40	23	46
1966	21	23	23	28
1987	27	27	23	32
2090	30	31	25	40
2092	26	31	19	35
2347	28	17	27	32
2364	28	16	25	31
2366	27	15	24	33
2368	28	14	20	32
2369	29	15	23	29
2370	27	15	24	31
2376	27	16	24	29
2470	34	26	20	40
2558	27	43	21	29
2559	26	43	21	27
2560	27	44	20	28
2737	23	32	14	25
2739	24	32	17	27
2746	24	33	17	31
2752	25	31	12	26
2793	34	34	19	27
2811	30	33	15	25
2826	39	36	17	34
2828	36	36	17	35
2866	32	24	14	29
2978	27	34	18	34
2980	28	35	21	34
3086	22	23	21	32
3112	24	19	22	35
3115	26	17	22	32
3413	24	19	19	38
3415	24	21	21	42
3430	22	19	14	38
3463	22	23	13	40
3488	23	16	12	41
3502	23	16	11	38
3504	20	17	10	38
3508	19	15	10	40
3533	21	17	9	39
3548	25	15	10	38
3552	24	14	9	42
3553	25	15	10	42
3555	27	15	10	42
3558	29	17	11	43
3560	26	15	11	41
3561	27	16	10	43
3563	28	18	10	42
3564	28	17	10	42
3659	32	16	13	35
3663	30	17	15	37
3702	26	20	12	34
3708	20	18	12	34
3709	21	19	10	34
3710	21	19	10	33
3712	21	20	9	32
3742	15	26	13	37
3763	15	28	14	33
3777	13	30	15	32
3779	13	29	15	32
3781	12	28	13	31
3782	12	27	12	34
3793	15	29	15	35
3795	16	33	13	37
3847	19	38	19	39
3977	22	26	17	42
3978	23	25	16	44
3979	23	24	18	44
4047	18	25	14	40
4053	16	26	11	39
4070	17	27	11	40
4099	10	20	19	39
4120	16	23	19	40
4126	13	23	22	36
4131	16	26	24	36
4134	16	27	25	39
4142	16	26	22	36
4173	14	28	26	32
4194	16	26	32	39
4333	36	30	45	56
4346	40	26	47	51
4380	38	28	40	48
4556	25	31	35	39
4587	32	37	38	41
4733	10	15	12	38
4736	11	15	12	40
4737	9	15	12	37
4739	10	15	12	35
4762	4	9	6	22
4766	4	9	5	20
6005	1	1	3	2
6006	1	1	3	1
6008	2	2	4	3
6137	16	20	16	32
6146	17	22	17	36
6147	18	21	14	35
6148	18	23	13	36
6200	24	16	16	40
6216	20	19	16	38
6223	22	16	17	40
6269	24	23	24	35
6298	20	25	20	28
6304	22	24	20	22
6305	21	24	18	22
6306	21	24	15	22
6337	26	24	25	22
6338	26	24	25	21
6339	25	24	19	21
6482	56	40	25	38
6483	54	40	24	37
6484	54	40	26	37
6515	52	40	29	34
6629	45	41	32	32
6749	31	24	20	25
