site_id	W20_D1	W21_D1	W19_D1
1	8	3	6
2	10	4	6
3	10	5	6
4	10	5	6
5	8	5	6
62	32	23	24
103	46	30	38
304	46	49	61
408	60	51	50
729	56	60	57
838	44	62	48
1035	49	49	48
1053	55	48	50
1098	50	46	42
1535	67	49	59
1538	66	53	61
1549	74	51	60
1561	68	51	58
1686	60	48	47
1689	57	49	45
1747	43	48	45
1806	59	49	65
1890	61	46	67
1895	62	47	69
1896	62	50	68
1898	62	50	72
2018	47	45	53
2043	44	38	59
2109	36	35	65
2122	36	37	66
2666	55	45	42
2724	57	44	40
2725	58	41	39
2726	58	42	39
2775	57	39	35
2776	55	36	37
2924	45	43	58
2926	46	46	65
3061	55	58	52
3166	50	47	56
3258	51	54	41
3281	56	58	45
3348	44	57	39
3352	44	54	49
3354	46	56	48
3356	46	60	50
3507	59	42	49
3508	58	40	46
3687	44	36	43
3731	51	38	39
3851	48	68	50
4060	49	57	56
4381	48	44	57
4512	42	44	60
4520	43	47	67
4575	50	50	61
4576	54	56	60
4577	53	52	58
4606	58	51	68
4653	65	58	71
4681	68	57	60
4697	58	55	50
4726	53	45	47
4727	52	42	46
4728	52	47	46
4899	42	33	44
4982	50	64	48
5087	54	61	65
5092	56	64	69
5093	57	65	73
5095	55	59	72
5122	58	54	75
5126	57	58	78
5159	51	40	62
5165	52	41	61
5167	56	43	68
5188	53	50	68
5209	51	43	64
5221	52	48	63
5242	41	47	59
5243	45	48	65
5244	44	47	61
5619	17	16	20
5669	7	6	6
5752	2	1	1
5759	4	2	8
5760	4	2	8
5761	4	2	8
5762	5	2	9
5805	22	24	26
5827	30	35	34
5836	29	35	36
5975	51	67	59
5997	45	47	60
6133	49	56	55
6151	46	56	53
6206	53	46	52
6429	38	59	34
6450	39	59	40
6586	50	49	37
6647	44	48	33
6648	44	45	33
6679	48	35	30
6797	56	47	45
6798	58	50	46
7055	31	50	37
7138	32	38	39
7170	38	48	43
7261	34	48	44
7265	34	52	48
7480	26	34	40
7490	26	31	34
7498	26	32	31
7506	20	35	32
7516	22	31	32
7517	24	33	33
7523	23	33	37
7526	24	34	38
7533	25	34	38
7546	24	31	30
7547	24	31	31
7574	24	31	28
7690	44	55	45
7897	54	50	46
8313	46	42	56
8864	67	51	66
8898	62	49	64
9038	56	35	55
9188	53	37	39
9189	55	38	40
9255	59	50	37
9390	41	31	45
9472	53	41	61
9473	46	40	60
9481	48	41	67
9521	56	47	67
9537	54	44	65
9539	53	46	64
9580	44	48	58
9688	49	43	42
9768	56	61	57
9879	52	65	53
10002	46	50	50
10003	45	49	50
10069	38	51	57
10194	51	60	51
10254	49	57	60
10263	50	55	61
10431	54	38	65
10615	56	59	56
10720	47	50	48
10760	50	52	48
10765	58	54	60
10767	52	55	59
10837	58	64	62
10914	31	63	41
10917	34	64	40
11177	39	56	46
11179	39	55	46
11309	45	39	55
11313	47	42	54
11315	47	39	55
11363	43	45	42
11428	36	60	60
11525	39	55	47
11527	39	54	45
11528	37	53	48
11675	31	44	57
11676	31	43	56
11677	31	48	57
11696	31	48	52
11753	36	58	56
11924	37	41	56
11930	38	45	54
11977	39	56	54
12185	53	43	66
12268	47	42	44
12384	56	42	35
12385	54	42	34
12469	62	54	47
12579	47	41	41
12597	43	36	40
12601	50	39	46
12610	58	43	53
12650	47	43	45
12701	48	48	58
12712	47	46	57
12748	41	47	53
12749	41	48	49
12751	41	47	45
12767	32	42	51
12827	33	32	44
12843	28	24	39
12884	38	29	54
12947	39	28	52
12949	37	26	54
13004	52	33	50
13081	50	38	44
13153	52	42	43
13154	53	40	42
13155	54	39	40
13253	48	40	40
13534	52	65	56
13714	43	42	46
13735	48	45	49
13807	53	55	40
13869	60	59	56
13940	54	57	57
14109	33	70	58
14203	37	56	65
14216	35	54	62
14318	44	42	53
14343	59	52	61
14560	57	52	66
14659	39	47	53
15174	52	45	61
15208	59	38	56
15216	59	32	54
15218	64	34	61
15230	65	34	47
15480	42	32	46
15512	43	39	35
15706	41	25	34
15726	40	24	28
15732	41	23	36
15734	39	24	36
15756	44	16	39
15764	39	20	41
15818	33	21	44
15832	39	19	41
15858	39	22	39
15869	40	27	50
15876	38	26	50
15888	36	27	43
15957	37	36	45
