site_id	SPIT_TGnew_Virome_1
300	0.333
555	0.25
575	0.286
587	0.333
591	0.333
595	0.333
632	0.125
653	0.154
656	0.154
682	0.0714
799	0.0714
824	0.1
825	0.2
827	0.111
862	0.286
865	0.429
931	0.25
976	0.182
994	0.182
1237	0.444
1378	0.125
1381	0.125
1384	0.143
1447	0.25
1450	0.25
1528	0.5
1585	0.167
1591	0.167
1606	0.167
1682	0.286
1683	0.286
1759	0.2
1762	0.2
1777	0.2
1779	0.2
1795	0.333
1816	0.333
1852	0.286
1900	0.375
1933	0.375
1960	0.333
1963	0.333
2005	0.375
2020	0.375
2054	0.375
2100	0.2
2167	0.333
2175	0.125
2186	0.286
2188	0.286
2200	0.375
2215	0.375
2221	0.375
2233	0.5
2266	0.333
2285	0.0714
2289	0.0833
2291	0.0833
2318	0.231
2350	0.273
2435	0.167
2436	0.167
2437	0.333
2439	0.111
2452	0.333
2497	0.25
2506	0.25
2545	0.333
2557	0.333
2590	0.333
2914	0.333
2989	0.143
2996	0.143
3017	0.167
3019	0.167
3052	0.2
3058	0.429
3070	0.167
3076	0.5
3097	0.222
3099	0.111
3190	0.143
3207	0.125
3241	0.143
3259	0.2
3339	0.2
3344	0.0909
3489	0.222
3490	0.143
3677	0.333
3834	0.333
3835	0.333
3849	0.25
3852	0.333
3879	0.167
4116	0.167
4173	0.5
4180	0.333
4251	0.25
4276	0.25
4290	0.25
4296	0.25
4320	0.25
4329	0.333
4330	0.333
4344	0.5
4347	0.5
4353	0.5
4365	0.5
4498	0.25
4587	0.333
4611	0.333
4668	0.286
4735	0.333
4750	0.143
4758	0.286
4797	0.167
4887	0.286
4913	0.333
4944	0.5
4960	0.333
4974	0.5
4992	0.4
5058	0.333
5059	0.333
5065	0.333
5178	0.5
5184	0.5
5197	0.167
5205	0.375
5223	0.286
5241	0.385
5395	0.273
5412	0.3
5413	0.3
5439	0.444
5496	0.2
5499	0.4
5529	0.2
5556	0.286
5625	0.111
5638	0.125
5644	0.143
5685	0.333
5721	0.25
5724	0.25
5757	0.333
5958	0.333
5964	0.333
5970	0.333
6210	0.2
6216	0.2
6219	0.2
6264	0.5
6303	0.25
6341	0.25
6344	0.25
6400	0.143
6663	0.143
6678	0.143
6736	0.167
6807	0.4
6825	0.25
6831	0.5
6843	0.5
6844	0.5
6857	0.2
6861	0.2
6897	0.222
6921	0.2
6927	0.2
6954	0.111
6975	0.1
7014	0.25
7059	0.167
7072	0.2
7092	0.2
7150	0.25
7469	0.333
7470	0.333
7482	0.5
7542	0.429
7548	0.1
7549	0.1
7605	0.167
7611	0.0909
7615	0.0909
7620	0.0909
7677	0.111
7698	0.167
7699	0.143
7755	0.286
7759	0.333
7773	0.333
7827	0.333
7828	0.333
8629	0.333
8635	0.333
8636	0.333
8651	0.333
8661	0.333
8662	0.333
8874	0.222
8907	0.125
8957	0.167
8966	0.143
8993	0.25
9032	0.143
9044	0.143
9110	0.143
9140	0.125
9149	0.125
9176	0.25
9185	0.4
9284	0.25
9341	0.125
9344	0.125
9425	0.222
9692	0.25
9779	0.4
9793	0.4
9839	0.333
9857	0.25
9863	0.5
9866	0.5
9872	0.333
9914	0.333
9921	0.333
10201	0.375
10220	0.2
10434	0.125
10436	0.125
10439	0.125
10440	0.125
10441	0.125
10442	0.125
10578	0.167
10635	0.2
10638	0.2
10648	0.2
10653	0.286
10876	0.125
10902	0.333
10908	0.222
10911	0.333
10917	0.333
10926	0.333
10944	0.222
10956	0.125
11021	0.25
11022	0.25
11097	0.4
11184	0.5
11187	0.5
11195	0.5
11199	0.111
11238	0.333
11273	0.125
11334	0.5
11349	0.333
12393	0.25
12395	0.333
12396	0.25
12397	0.25
12423	0.125
12425	0.25
12451	0.0833
12454	0.0833
12505	0.286
12548	0.0769
12613	0.125
12616	0.143
12677	0.2
12721	0.333
12738	0.286
12790	0.167
12952	0.286
13003	0.0909
13426	0.25
13447	0.25
13458	0.5
13460	0.5
13463	0.5
13465	0.5
13642	0.333
13644	0.333
13660	0.429
13741	0.375
13773	0.462
13783	0.0769
13862	0.167
13865	0.167
13870	0.154
13879	0.154
13883	0.214
13928	0.154
13938	0.214
14034	0.167
14075	0.25
14357	0.5
14369	0.5
14399	0.143
14513	0.167
14773	0.444
14780	0.125
14807	0.143
15133	0.2
15136	0.4
15148	0.4
15163	0.4
15181	0.429
15187	0.429
15206	0.429
15219	0.143
15226	0.429
15259	0.333
15268	0.333
15274	0.333
15298	0.2
15349	0.333
15376	0.444
15397	0.417
15409	0.2
15415	0.1
15427	0.1
15432	0.1
16017	0.2
16019	0.25
16167	0.333
16168	0.333
16245	0.25
16329	0.455
16362	0.5
16398	0.286
16413	0.286
16422	0.286
16458	0.333
17057	0.5
17204	0.167
17207	0.167
17330	0.333
17421	0.2
17511	0.0769
17513	0.0833
17583	0.0714
17637	0.375
17640	0.375
17655	0.143
