site_id	SP8704_full
106	7
658	6
868	2
1478	13
1495	14
1961	13
2520	21
2683	10
2723	11
2726	11
2872	13
2874	12
2879	14
3222	15
3334	12
3356	13
3420	12
3444	14
5946	19
6044	7
6598	18
6679	21
6932	16
6949	18
7094	14
7538	18
8651	16
8654	15
8655	16
8685	14
8801	17
8805	17
9200	16
9207	16
9664	10
9698	10
9730	10
9815	7
9816	7
9817	6
9822	5
10672	4
12374	3
12377	4
12452	14
12453	14
12525	16
12526	16
12560	11
12568	9
12569	9
12570	9
12599	10
12602	9
12712	15
12714	15
12715	15
12756	16
12887	16
13989	20
14690	11
15100	16
15380	4
16447	12
16635	14
16849	7
17470	16
17607	15
17608	15
17644	21
17728	20
18234	20
18481	9
18540	13
18628	17
18630	17
18631	17
18744	19
18759	21
19943	8
19947	8
19948	7
20064	17
20065	14
20089	16
20094	15
20098	16
20115	17
20117	17
20119	17
20120	17
20318	11
20411	5
20449	10
20540	13
20541	13
20600	12
20636	9
20684	8
20699	12
20796	12
20850	11
20917	12
20958	14
21176	17
21227	18
21744	14
21824	20
21830	20
22098	7
22428	10
22457	16
22465	19
22482	20
22822	16
22823	15
22824	14
22831	16
22972	11
22974	11
23105	3
23245	13
23256	16
23261	15
23267	18
23268	18
23417	21
23492	15
23748	20
23838	21
23877	18
24017	10
24019	11
24034	11
24233	20
24416	7
24458	7
24460	8
24584	20
24680	14
24766	10
24767	10
24770	10
24845	14
24869	18
24914	21
25019	14
25332	12
25884	11
26255	15
26371	14
26696	17
26780	14
26781	14
26783	14
26786	14
26789	13
26931	8
26932	8
26933	8
26935	8
26936	7
27052	17
27053	17
27054	17
27055	17
27201	13
27202	14
27204	14
27259	13
27294	10
27341	12
27411	11
27442	11
27452	11
27463	13
27488	11
27607	21
27684	16
27757	12
27848	16
27947	21
28014	20
28030	17
28057	12
28058	13
28060	12
28062	13
28064	12
28065	14
28067	11
28298	9
28666	5
28668	4
28669	4
28970	10
29431	13
29442	17
29549	18
29584	19
29592	21
29647	20
29650	20
29651	20
29653	21
29654	21
29856	14
29923	15
30074	21
30210	15
30272	11
30456	14
30565	10
30677	16
30832	6
31226	18
31465	13
31508	17
31510	18
31529	15
32356	17
32357	16
32411	10
32412	10
32561	13
32563	15
32564	15
32565	15
34923	15
34938	14
34947	15
34988	13
35348	18
35350	18
35566	21
36989	5
37062	8
37063	8
37212	11
37214	10
37372	5
37373	5
37520	10
37522	11
37524	10
37527	14
37914	5
39361	8
39796	13
40046	9
40121	13
40266	12
40310	14
40371	16
40414	14
40518	15
40520	14
40521	12
40522	14
40628	16
40675	19
40900	21
41620	13
41972	10
42116	6
42197	7
42346	6
42347	5
42717	10
42718	11
42807	9
42839	10
42867	11
42868	12
42963	18
43045	17
43186	15
43232	11
43423	7
43482	16
43498	14
43526	20
43632	19
43676	15
43677	14
44713	17
44718	19
45116	12
45551	16
45588	14
45593	11
45692	13
45695	12
45696	13
45842	7
45846	7
46096	10
46563	13
46810	7
47189	20
47461	8
47462	8
47478	13
47611	15
47663	14
48422	15
48442	15
48616	12
48910	14
48913	14
48914	15
49010	14
49053	13
49063	10
49064	10
49066	9
49073	8
49112	10
49181	6
49347	3
49348	3
65848	18
65890	20
66315	10
66339	11
66340	11
66342	9
66369	14
66489	8
66490	8
66494	7
66833	6
68440	14
68838	11
69104	10
69329	8
69953	5
70582	9
70718	7
70761	12
70871	16
70979	15
70985	14
70986	13
71137	16
71608	10
71622	9
71849	12
71850	12
71873	11
74581	14
75255	13
75320	12
75321	11
75468	8
75470	8
75471	8
75586	19
75679	16
75692	17
75830	19
76060	7
76215	7
76493	5
76722	7
77117	15
77162	13
77960	15
77970	16
78060	17
78116	14
78177	14
79020	12
81720	11
81722	7
81871	12
82071	11
82074	10
82224	6
82225	6
82335	7
82528	17
82673	12
83152	10
83482	12
83656	2
83658	2
83659	2
83718	9
83739	12
83740	12
83742	12
83803	18
83900	14
84161	10
84234	15
84249	13
84538	11
84738	19
85399	16
85880	13
85881	14
85883	13
86028	18
86030	19
86272	21
86274	21
86363	14
86424	5
86429	5
86462	5
86626	14
88247	16
88289	19
88290	18
