site_id	W66_D5	W66_D1	W64_D5	W65_D5	W64_D1
2	1	1	3	2	4
3	1	1	3	2	4
4	2	1	4	2	4
27	30	3	12	9	12
28	37	3	16	12	16
56	53	4	26	16	17
78	78	5	57	30	26
79	77	5	53	30	25
81	76	5	56	30	26
812	181	7	89	92	52
813	179	6	88	93	48
962	201	12	125	106	45
3179	150	4	103	84	14
3576	20	1	19	22	7
3639	93	4	72	53	9
5580	191	8	135	96	24
5581	195	8	149	104	25
6542	159	11	115	104	23
9684	117	11	76	78	10
9685	119	11	75	78	10
9687	124	11	77	77	10
10348	161	10	123	125	29
10350	173	10	125	133	30
10730	144	13	116	115	28
11427	188	10	139	126	27
12264	38	4	22	23	11
12366	128	13	51	57	15
12715	146	3	100	71	27
12717	160	3	95	75	26
12771	115	1	87	72	24
12773	111	1	81	72	24
13158	103	6	43	61	20
13477	200	5	125	104	33
13478	203	5	126	100	33
13479	203	5	126	104	33
13571	150	2	111	98	22
13572	150	2	115	94	22
13573	150	2	111	99	22
13649	45	1	38	47	8
13692	43	1	22	18	7
13714	67	3	36	24	12
13736	82	3	51	40	13
13739	83	3	50	41	13
15529	83	6	61	48	13
15660	165	13	103	88	33
15661	166	13	103	93	33
15686	145	10	105	97	31
15810	160	6	131	112	30
16174	140	6	107	106	36
16176	138	6	107	107	36
16179	138	6	109	112	35
16183	137	5	98	106	35
17169	127	5	84	57	17
17333	54	4	19	36	7
17342	41	3	18	28	5
17407	19	1	20	14	5
17408	22	1	21	12	5
17409	23	1	22	15	6
17421	28	2	31	29	9
17422	45	2	44	37	12
17423	46	2	43	38	13
17446	73	4	62	53	16
17516	145	6	102	113	26
17517	144	6	104	112	27
17522	149	9	107	115	27
18417	163	11	102	83	35
18418	156	11	100	82	36
18910	181	16	110	124	23
19066	157	10	119	128	30
19068	161	11	125	135	28
19071	159	11	127	133	29
20767	179	6	118	122	32
21532	232	14	121	128	30
21533	232	13	128	127	27
21679	166	8	132	132	25
21682	162	8	130	126	23
21879	158	12	118	87	23
21894	162	14	120	90	22
21895	157	12	121	89	22
22395	140	12	120	117	37
22516	152	4	111	82	34
22517	152	3	108	81	35
22518	146	3	107	85	34
23012	144	5	103	96	19
23015	142	5	100	94	18
23017	139	5	103	89	19
23019	138	5	99	86	20
23020	141	5	102	85	19
23411	175	12	118	147	34
23412	176	12	119	152	34
23414	178	12	114	150	33
23562	192	10	113	116	41
23815	138	6	90	118	35
24052	47	3	41	29	4
24053	51	3	43	30	4
24054	53	3	44	29	4
24173	164	6	139	103	23
24323	155	9	113	95	28
25400	148	15	116	84	35
26262	92	6	49	50	27
27835	125	10	99	98	17
27836	127	9	99	97	17
27837	128	9	105	98	19
27985	160	8	114	111	20
28310	158	6	106	64	35
29496	188	11	136	111	20
31588	147	3	106	96	23
32944	174	9	158	108	25
33449	185	9	135	105	30
33861	183	13	132	109	19
34405	174	9	108	135	21
34997	155	8	114	100	22
35145	94	3	75	78	11
38298	151	4	107	77	21
38438	84	1	51	44	12
38472	38	1	29	19	6
38473	28	1	19	17	5
81541	9	3	14	10	2
81545	14	3	17	12	3
81844	147	8	101	80	19
81950	170	5	119	100	17
82300	159	12	114	103	35
82519	168	3	97	81	19
83396	161	9	131	92	11
83531	139	5	113	85	10
83547	127	5	116	85	10
83587	149	8	116	90	16
83597	151	8	126	89	22
83598	151	8	126	90	22
83600	137	7	120	87	22
84105	158	12	107	78	17
84108	153	12	105	73	16
84528	141	7	131	94	19
84637	150	6	113	82	14
84984	127	6	77	67	12
84986	127	6	81	70	13
85516	102	5	93	66	19
85519	97	5	90	63	19
85546	78	3	71	52	14
85584	50	2	39	29	7
85591	41	1	31	25	2
98947	28	1	11	13	4
98952	32	1	12	17	6
98953	30	1	12	18	6
98987	86	1	49	52	11
98988	86	1	50	52	11
99130	47	4	17	31	11
99134	43	4	15	31	11
99190	27	2	12	11	1
99251	69	6	59	33	6
99255	72	6	63	39	6
99256	70	6	60	35	6
99257	69	5	62	39	7
99258	71	6	63	39	7
99261	72	6	63	38	7
99401	84	1	71	65	10
99402	80	1	71	66	9
99404	81	1	72	63	10
99466	35	1	33	19	5
99468	24	1	19	10	3
99469	25	1	18	11	3
99473	22	1	11	9	2
100651	122	7	94	52	17
100718	30	1	21	15	4
100719	31	1	22	15	4
101696	64	2	24	39	11
101698	61	2	24	41	11
101699	59	2	25	39	11
102057	45	4	19	25	7
102138	10	1	6	8	1
102174	26	2	20	20	4
102326	149	2	96	104	32
102416	146	6	107	90	26
102563	184	7	146	114	40
102963	42	1	28	31	5
102965	37	1	26	29	5
102966	27	1	19	18	3
102997	23	1	16	7	4
104767	23	2	27	31	2
104846	40	1	26	22	3
104847	40	1	27	22	3
105096	134	6	111	90	23
105122	150	6	102	98	32
105512	99	9	57	59	14
105536	75	7	47	42	14
105658	73	6	38	47	13
105659	72	6	39	47	11
105661	72	6	38	48	12
105701	126	9	79	66	19
105702	128	9	78	65	19
105703	127	9	78	65	19
106524	196	7	142	112	31
106525	188	7	145	110	31
106526	181	6	140	106	30
106533	185	8	143	114	31
106653	144	11	118	95	24
106675	143	13	119	91	27
106804	40	1	33	19	7
106806	155	15	122	90	21
106809	122	15	99	77	15
106810	142	15	112	85	16
108176	186	16	110	140	12
108387	59	6	35	25	12
108388	60	6	35	23	13
108444	31	4	15	19	4
108529	102	8	72	63	13
108530	101	8	72	64	13
108905	64	3	30	36	6
108971	45	5	33	21	11
108990	63	7	49	34	11
108991	63	7	49	34	11
109533	148	5	103	102	35
109787	154	12	123	86	17
109790	158	12	123	84	17
109791	153	12	122	85	18
109792	154	10	122	86	18
109795	154	12	120	88	16
110807	135	9	135	83	27
110883	158	5	112	100	25
111158	163	6	130	115	25
112920	183	12	130	105	50
113190	31	1	31	28	15
113203	23	1	24	23	11
113450	35	6	50	31	11
113452	48	7	59	46	17
113469	60	8	76	58	25
113890	28	3	17	25	13
114225	77	2	38	43	15
114397	145	10	86	110	46
114647	179	5	151	130	48
114648	178	6	156	137	47
115305	37	1	24	12	9
116058	47	7	25	39	3
116069	25	6	17	27	2
116072	23	5	13	21	2
116079	20	2	12	17	2
116080	22	2	12	17	2
118214	20	1	10	6	6
118217	19	1	11	6	6
118218	20	1	12	7	6
119157	12	1	13	10	4
119510	122	13	83	54	16
119852	70	4	48	43	6
119853	68	4	50	43	6
119854	72	4	53	44	6
120236	171	5	90	104	22
120663	195	7	136	121	24
121812	73	7	45	33	13
121816	54	6	28	20	10
121820	43	6	22	16	9
121823	40	6	21	16	8
121877	10	1	8	4	3
121895	22	2	23	13	5
121896	20	2	24	14	6
121897	25	2	27	14	6
121898	28	2	26	17	6
121922	41	2	36	32	7
122396	158	6	114	94	51
122458	171	8	125	117	41
122459	165	9	121	114	40
122462	168	8	119	110	41
122606	109	5	85	74	21
122609	109	5	84	70	20
122610	110	5	83	69	21
122611	107	5	84	72	18
122646	63	3	48	44	12
122648	61	3	47	44	11
122650	54	2	47	42	8
122849	19	2	20	13	14
122861	24	2	24	15	14
122992	115	11	91	90	46
123142	146	11	110	96	47
123865	137	12	118	79	35
124015	165	12	137	99	39
124159	222	13	145	113	40
124161	215	13	145	112	42
124164	224	11	146	114	42
124165	221	11	144	110	42
124169	232	12	152	120	43
125209	71	1	52	52	7
131097	17	1	10	16	4
131246	16	2	6	11	3
131556	29	1	17	9	6
131569	40	1	27	13	7
131570	39	1	26	13	7
131571	39	1	28	12	8
131591	53	2	38	21	10
131598	57	2	39	23	10
131705	67	6	38	25	7
132271	9	1	9	10	3
132273	9	1	10	10	3
132288	23	2	11	13	4
132289	23	2	11	13	4
132290	23	2	10	13	4
132304	39	2	26	22	5
132345	94	2	60	52	8
132348	107	4	66	51	9
132350	113	4	68	54	11
132390	161	4	93	83	14
132393	163	5	95	84	16
132394	167	5	97	87	16
132954	74	5	46	55	13
132958	63	5	37	49	11
132991	11	3	10	23	3
133070	15	1	17	12	3
133097	26	4	30	21	8
134168	33	2	37	23	5
134169	32	2	34	20	5
134512	70	2	57	57	10
134537	51	2	43	47	8
134636	28	5	14	18	2
134637	28	5	13	18	2
135954	187	7	139	113	26
136738	70	4	59	47	22
136840	16	1	9	12	4
136912	72	1	53	53	10
137126	185	7	111	133	30
137128	178	7	109	132	30
137129	181	6	108	134	31
137131	179	8	110	133	32
137278	160	7	136	125	35
137280	159	7	134	124	34
138168	164	14	139	100	25
138169	163	14	145	102	27
138171	164	13	145	106	27
138317	206	5	177	148	34
138318	203	5	173	151	32
138319	204	5	170	145	34
138320	204	5	173	144	34
139026	179	6	99	99	45
139316	127	7	90	82	45
139318	132	6	89	88	47
139322	140	7	91	93	49
142130	54	5	63	42	40
142134	44	4	51	37	25
142531	61	2	50	56	22
144376	24	3	19	24	19
144543	14	3	16	23	13
144571	19	3	20	27	17
145322	81	4	45	60	49
146863	199	8	122	120	36
146910	184	8	127	131	41
147061	187	16	154	138	49
147086	158	14	114	112	43
147452	74	1	56	42	11
147453	71	1	55	39	10
147454	68	1	54	37	10
147456	68	1	55	36	9
147457	68	1	53	37	10
147565	31	2	26	13	1
147749	196	8	137	115	27
147898	169	7	116	113	37
147900	170	9	117	115	36
149031	141	11	132	87	25
149175	162	8	112	99	29
149805	191	11	156	129	29
149955	164	10	136	112	39
149956	161	10	137	117	40
151879	148	9	103	101	28
152029	150	11	101	87	19
152753	151	14	90	83	32
152756	152	14	84	85	31
152757	149	14	86	86	31
154078	146	4	93	87	22
154079	146	4	95	87	22
154228	138	7	118	84	36
154231	129	7	116	78	35
158178	183	11	131	108	31
159725	71	7	55	46	12
159729	69	7	50	44	10
159746	40	2	27	25	3
159905	61	5	50	36	8
159907	61	5	49	36	8
160364	135	8	82	89	13
160514	151	5	88	91	27
160716	143	4	109	81	29
160721	139	3	110	79	31
161053	31	1	26	13	1
161059	32	1	22	11	1
161678	24	4	27	29	5
161688	60	4	50	54	10
161689	60	4	50	54	11
161690	60	4	52	57	10
161691	69	4	54	59	13
161692	71	4	54	59	12
161837	38	1	24	24	8
161839	33	1	17	20	6
161840	33	1	16	18	7
161842	23	1	12	14	5
162173	50	1	39	35	30
162174	60	1	45	43	33
162176	65	2	49	43	35
162179	62	3	53	44	35
165110	175	5	96	94	30
165735	150	8	94	99	27
166158	158	10	101	79	17
166524	153	7	120	93	14
167323	110	5	74	85	24
167325	106	5	70	81	23
172244	17	2	10	8	6
172248	24	2	15	13	6
172249	25	2	17	13	6
172250	26	3	16	13	6
172269	58	5	36	25	10
172292	68	6	44	29	14
172294	68	6	45	30	15
172731	177	6	119	118	49
175158	21	1	32	17	15
175159	22	1	34	17	15
175160	18	1	30	16	14
175445	14	1	16	7	12
175502	59	6	61	36	36
178008	15	1	17	11	16
178029	15	1	9	10	9
178047	7	1	4	4	2
178071	24	3	19	11	11
178086	36	3	32	13	21
178093	68	5	60	36	42
180812	114	8	113	79	29
181225	23	4	20	16	3
181677	79	1	47	64	10
181678	77	1	46	65	10
189307	58	1	39	25	11
189319	68	2	40	32	15
189908	150	10	83	98	20
190114	146	7	136	81	19
190327	70	1	33	33	4
190498	15	1	8	4	1
190820	186	12	82	81	16
191000	174	3	143	100	33
191002	169	4	138	102	30
191003	172	4	134	95	29
191151	150	6	119	105	21
191152	159	6	123	109	21
191286	61	4	47	29	10
191834	44	5	22	15	2
191884	49	1	40	28	9
192111	72	6	58	57	16
192118	60	4	59	50	15
192120	60	3	58	46	14
192121	61	3	59	44	13
192124	60	3	59	43	15
192160	55	1	56	31	12
193194	175	13	116	94	26
193300	163	9	98	97	23
193464	34	1	36	19	2
193465	35	1	34	19	2
193467	34	1	36	18	2
193574	48	2	26	16	7
193802	161	5	115	77	15
193860	163	2	117	83	13
194010	89	8	68	51	8
194051	48	2	26	16	2
202815	17	1	9	3	2
202816	16	1	9	4	2
202824	17	1	11	7	2
202831	17	1	15	7	2
202832	18	1	15	8	2
202839	35	1	15	14	2
202850	38	1	25	17	2
203717	197	3	158	90	23
204142	151	9	134	74	24
204145	160	8	131	72	27
204288	177	3	125	112	44
205028	155	6	134	114	23
206363	131	5	129	114	17
206957	157	9	104	96	17
207962	175	12	122	91	18
207963	170	12	122	90	18
208766	40	2	39	26	7
208770	55	5	50	37	9
209262	133	4	116	97	17
209265	134	6	117	97	18
209266	138	5	112	98	17
209411	197	4	138	116	18
209779	27	5	35	27	4
209853	21	2	26	16	1
209855	20	2	26	14	1
209856	22	2	27	17	1
209871	39	2	35	30	3
209872	42	2	34	31	3
209873	43	2	38	34	3
209874	43	2	40	35	3
211452	152	4	114	92	25
211636	15	1	23	27	5
211650	11	1	19	25	4
212549	141	13	102	73	18
212680	27	1	22	12	2
212681	27	1	21	12	2
212764	24	2	21	13	5
212776	35	3	29	18	7
212777	36	3	29	19	7
212778	37	3	31	17	6
212779	37	3	30	18	7
213914	139	3	97	91	26
214767	143	10	125	80	14
214842	166	13	146	97	11
215285	150	13	104	111	21
215347	147	12	91	90	21
215354	146	10	93	90	22
215356	141	8	90	84	21
215358	140	9	94	81	21
215359	143	7	99	86	21
215428	144	10	100	65	19
215429	146	10	97	65	19
215431	148	10	101	64	19
215751	201	15	128	104	31
216369	136	4	99	90	18
216477	141	7	114	90	27
216691	143	12	120	80	28
216693	145	12	115	79	28
216705	125	9	103	70	35
216834	147	6	142	110	37
217573	34	2	20	10	2
217576	39	2	23	23	2
217577	39	2	24	24	2
217579	42	2	25	24	3
217750	129	4	109	91	17
217754	137	4	117	94	20
217900	138	6	123	70	18
217936	135	8	125	76	16
218331	141	11	99	77	21
218332	139	11	95	75	20
218479	91	4	60	52	14
218480	93	4	63	54	14
218481	80	4	54	45	11
218484	78	4	51	43	11
218514	45	2	26	13	6
218516	47	2	26	13	6
218518	44	2	27	11	5
218528	23	1	9	7	4
218530	20	1	9	7	4
218531	21	1	8	7	4
218546	18	1	13	4	3
218548	17	1	12	4	3
218579	28	3	21	15	2
218718	110	7	106	77	24
218722	111	7	114	83	28
219003	132	8	123	72	18
219006	135	8	126	78	18
219108	150	4	103	101	21
219423	41	3	44	29	7
219455	9	1	12	6	1
219472	10	1	7	7	1
219473	10	2	5	8	1
219475	10	2	5	8	1
219476	13	2	5	8	1
219477	13	1	6	8	1
219478	14	1	6	10	1
219489	29	3	10	12	7
219492	31	3	11	12	7
219498	43	3	18	14	9
219663	162	11	110	104	25
219664	163	12	114	105	25
220268	128	4	116	105	28
220269	128	4	111	101	29
220498	145	11	107	84	32
220500	135	11	97	70	29
221170	56	3	48	46	9
221265	42	1	27	21	3
221266	43	1	28	22	3
221859	167	10	118	81	20
221865	163	11	117	84	20
222004	125	11	87	64	25
222005	123	11	83	63	25
222009	128	11	86	61	25
222082	55	4	46	25	7
222084	53	4	41	25	6
222086	50	3	44	25	7
222087	48	3	45	25	7
222089	48	3	41	23	6
222090	48	3	40	22	6
223410	122	9	99	72	32
223412	124	9	99	67	32
223644	144	9	99	109	20
223794	171	5	118	91	29
223806	176	8	129	88	35
223938	187	9	112	93	27
224083	153	11	146	115	25
224087	154	11	147	119	26
224275	121	6	91	78	14
224309	152	5	104	86	15
224461	180	13	88	99	14
224861	155	4	122	89	14
224862	151	4	115	83	13
