site_id	JKid	ZYMO_Standard
46	4	2
49	5	3
50	6	2
52	6	2
54	6	2
55	6	2
64	8	3
73	8	5
141	16	7
198	17	7
199	17	8
200	16	7
203	17	8
255	15	10
290	14	11
291	14	11
292	14	11
293	14	11
321	12	12
330	11	12
363	10	7
436	6	4
504	3	6
516	3	4
612	1	14
621	1	14
693	1	16
702	1	14
705	1	14
735	3	12
753	2	13
769	2	12
795	6	12
811	8	12
815	8	11
860	10	9
902	19	12
911	19	12
961	15	12
962	15	12
963	15	12
983	16	12
1040	11	16
1043	12	16
1160	11	11
1274	13	8
1309	10	7
1319	10	6
1431	9	12
1493	11	15
1539	14	16
1544	16	17
1558	15	14
1590	19	14
1626	19	11
1656	14	9
1662	11	7
1716	16	7
1760	14	10
1815	16	12
1830	18	12
1872	13	9
1907	13	9
1911	12	6
1968	15	10
2124	6	4
2126	7	4
2193	13	6
2199	14	6
2208	11	6
2211	9	6
2259	11	12
2272	13	12
2304	14	10
2322	14	13
2338	12	11
2388	19	12
2393	19	10
2496	15	17
2510	12	14
2513	11	14
2547	15	13
2548	15	14
2549	15	13
2553	15	14
2588	13	7
2660	13	10
2668	14	9
2673	13	9
2702	11	11
2810	8	9
2931	10	12
3023	7	8
3031	7	7
3051	9	7
3063	9	4
3069	9	4
3117	11	5
3126	11	5
3127	10	5
3135	9	3
3210	8	6
3222	8	8
3439	11	13
3447	11	11
3516	9	12
3600	10	10
3616	9	10
3630	9	11
3648	7	11
3674	9	11
3713	11	12
3744	8	11
3771	9	12
3832	11	12
3860	14	16
3863	14	15
3864	15	14
3903	14	15
3944	16	16
3957	16	16
4035	12	17
4059	10	15
4122	12	14
4124	13	14
4140	14	12
4141	14	13
4194	16	10
4197	16	9
4213	16	6
4226	16	6
4227	15	6
4228	15	6
4232	16	6
4266	16	2
4268	17	2
4271	17	2
4273	17	2
4276	16	2
4280	15	2
4290	14	2
4291	15	2
4309	17	2
4345	16	3
4347	16	3
4376	13	5
4377	13	5
4378	14	7
4423	14	11
4457	15	11
4458	12	11
4487	14	11
4526	14	8
4533	11	7
4539	10	6
4548	8	7
4569	5	3
4574	3	1
4576	3	1
4603	3	1
4613	2	1
4664	1	4
4677	1	4
4688	1	6
4701	1	6
4730	2	5
4741	5	5
4778	10	9
4802	9	8
4818	11	8
4839	12	7
4869	17	12
4899	16	14
4947	15	13
4976	14	14
5016	8	9
5020	8	9
5023	7	9
5194	10	6
5212	10	8
5250	12	10
5283	9	10
5322	9	9
5379	10	10
5412	8	9
5421	10	9
5465	16	10
5472	14	10
5559	11	6
5670	14	2
5691	14	3
5798	12	11
5835	7	15
5946	7	16
5964	8	14
5980	9	17
6005	12	15
6008	12	15
6015	12	14
6042	12	16
6051	14	15
6060	13	15
6081	13	16
6098	15	10
6150	12	7
6159	15	9
6161	16	9
6162	16	8
6164	15	8
6183	17	8
6189	16	7
6247	11	8
6308	7	5
6310	7	5
6312	6	5
6313	7	4
6314	7	5
6315	6	5
6628	8	11
6634	8	11
6643	8	12
6679	9	12
6751	13	11
6768	12	11
6774	10	9
6781	10	11
6782	11	10
6783	10	9
6829	9	10
6896	6	10
6900	6	9
6930	7	8
6934	9	7
6979	9	4
7021	7	3
7039	6	4
7209	8	9
7329	11	11
7356	14	10
7450	14	11
7648	6	9
7695	7	11
7725	12	9
7732	10	12
7886	7	12
7903	13	12
7924	14	11
8066	8	9
8072	8	8
8141	14	9
8180	14	10
8255	10	7
8315	8	7
8357	10	10
8360	10	10
8390	18	9
8438	19	7
8447	18	6
8528	7	6
8584	6	8
8617	8	10
8657	10	8
8734	14	9
8736	15	9
8771	16	13
8785	17	12
8929	13	3
8958	14	8
8976	13	8
9077	10	9
9078	10	9
9174	10	4
9314	10	6
9490	13	6
9546	17	5
9567	14	5
9599	16	5
9610	16	4
9649	15	5
9654	17	4
9664	13	2
9696	9	3
9766	16	6
9790	13	7
9823	16	8
9880	15	3
9936	13	6
9979	15	6
10401	15	10
10416	13	9
10446	11	5
10467	12	6
10473	12	8
10474	12	5
10476	12	5
10548	11	4
10572	9	4
10590	5	3
10596	4	6
10599	5	6
10602	5	6
10626	4	8
10665	1	13
10671	1	13
10677	1	13
10680	1	13
10689	1	14
10695	1	15
10698	1	14
11004	1	10
11013	1	10
11016	1	10
11061	5	11
11073	5	11
11150	5	7
11153	4	7
11154	5	8
11156	5	8
11158	5	8
11159	5	8
11305	13	7
11306	14	8
11322	12	6
11324	13	6
11337	11	5
11403	12	4
11443	13	3
11444	13	3
11447	13	3
11453	9	2
11454	8	2
11455	8	2
11457	8	1
11465	6	1
11610	13	8
11932	5	14
11947	6	14
12055	7	10
12058	7	9
12145	7	9
12158	7	12
12160	7	12
12181	7	13
12286	11	8
12307	18	7
12309	18	5
12313	17	4
12314	16	5
12396	20	9
12436	19	8
12437	18	8
12446	16	8
12466	15	9
12501	10	4
12502	10	4
12513	7	3
12557	7	2
12622	7	1
12670	6	5
12712	7	6
12715	8	8
12718	8	9
12730	6	8
12925	13	11
12937	14	12
13021	13	12
13024	13	12
13033	13	11
13039	14	12
13064	12	13
13169	10	5
13316	16	6
13331	18	5
13339	16	5
13357	17	8
13368	16	9
13384	15	11
13411	15	8
13414	16	8
13419	14	9
13471	13	11
13474	11	13
13483	11	14
13534	13	12
13566	12	11
13568	10	11
13577	12	10
13663	10	8
13672	13	10
13707	10	12
13792	10	12
13826	9	11
13936	11	10
13954	12	9
14176	18	17
14325	8	11
14327	8	12
14328	9	12
14338	8	8
14345	9	9
14348	11	9
14452	18	5
14482	17	4
14484	18	4
14696	11	9
14807	14	7
14841	12	5
14950	7	10
14965	6	12
15090	12	9
15136	13	7
15165	15	9
15207	15	9
15211	12	6
15214	12	6
15235	11	6
15239	10	5
15242	10	6
15289	9	4
15356	6	4
15359	8	4
15370	10	6
15372	9	6
15373	10	6
15381	9	6
15421	9	6
15460	11	10
15518	8	12
15519	8	12
15521	8	12
15522	8	12
15523	8	11
15577	4	7
15589	5	7
15640	6	5
15673	8	5
15918	8	7
15929	11	7
15930	11	6
15946	13	6
15964	13	9
16079	16	8
16115	13	6
16116	12	7
16142	20	9
16156	16	8
16204	14	9
16267	12	7
16271	5	6
16279	7	6
16294	6	7
16310	5	7
16536	16	10
16550	17	11
16735	11	7
16738	9	7
16741	9	7
16754	10	7
16758	10	7
16762	10	8
16771	11	8
16772	11	8
16834	18	15
17024	20	14
17068	12	14
17118	3	7
17191	4	8
17231	7	10
17234	7	10
17263	7	5
17287	6	5
17320	7	5
17326	7	5
17338	8	3
17350	7	3
17386	4	2
17425	7	5
17592	8	14
17638	5	16
17666	5	12
17678	6	13
17698	9	14
17700	9	14
17710	11	14
17715	12	17
17728	12	17
17753	12	12
17779	14	11
17832	14	11
17833	14	12
17847	11	7
17852	13	9
17867	10	8
17882	11	8
17911	12	7
17912	11	8
17921	11	8
18059	5	11
18068	3	10
18092	4	11
18095	5	11
18101	5	9
18104	5	11
18170	6	7
18173	5	7
18251	8	10
18333	7	14
18357	8	16
18371	7	17
18435	7	12
18482	4	10
18526	2	4
18528	1	4
18542	2	4
18549	3	4
18552	3	5
18567	3	3
18569	3	3
18576	3	3
18609	5	3
18618	5	3
18634	4	3
18636	5	3
18659	7	6
18682	7	6
18694	5	7
18747	6	6
18766	7	5
18785	11	5
18843	13	5
18880	19	6
18882	19	6
18966	17	16
19023	18	12
19025	18	11
19034	19	11
19083	19	6
19085	18	6
19155	15	7
19171	13	8
19172	14	8
19174	13	7
19193	12	11
19203	10	10
19211	10	9
19218	10	9
19221	10	8
19251	9	10
19257	11	10
19258	11	10
19305	9	11
19326	9	11
19482	17	9
19526	15	6
19539	12	6
19559	10	5
19560	11	5
19561	11	5
19602	10	8
19604	9	9
19608	13	10
19641	14	9
19689	13	10
19710	14	9
19711	14	9
19753	20	4
19759	16	3
19760	16	4
19761	16	4
19764	16	4
19765	15	4
19766	16	4
19839	20	3
19850	17	3
19854	16	3
19856	18	3
19896	14	3
19913	13	4
19915	14	4
19922	15	3
19967	12	5
20042	16	13
20120	15	15
20125	15	15
20130	14	16
20237	16	13
20252	16	15
20327	12	12
20339	12	11
20447	7	5
20471	6	5
20638	8	3
20663	8	8
20759	4	10
20768	5	11
20788	6	9
20789	5	9
20790	6	9
20799	8	9
20802	13	8
20809	12	9
20826	12	9
20827	13	9
20828	13	9
20976	20	9
21038	13	8
21064	12	7
21083	14	7
21154	10	7
21157	10	6
21189	10	10
21220	13	11
21232	11	11
21259	13	12
21316	11	15
21350	9	16
21353	8	16
21354	9	16
21356	10	16
21432	9	11
21497	9	12
21499	9	9
21500	11	10
21502	10	10
21524	8	7
21556	8	7
21557	7	7
21591	18	12
21735	10	15
21840	9	11
21867	12	10
21885	11	15
22109	12	17
22131	14	17
22149	15	16
22260	12	6
22386	10	6
22505	4	10
22506	4	9
22508	3	11
22518	3	13
22521	2	10
22524	2	10
22530	2	12
22536	2	11
22542	2	12
22543	2	12
22545	2	12
22593	1	6
22599	1	7
22605	2	6
22617	3	8
22625	4	8
22632	6	8
22655	7	10
22656	7	10
22717	9	8
22779	7	6
22785	8	6
22788	9	4
22839	9	4
22848	9	3
22851	8	3
22860	7	5
22875	8	6
22881	8	6
22890	8	6
22900	8	5
22935	6	9
22938	4	9
22941	3	9
22980	2	8
22995	3	10
23001	5	9
23028	5	8
23032	5	8
23034	5	8
23061	6	7
23065	6	6
23109	8	3
23127	10	3
23149	10	2
23150	9	2
23213	8	5
23228	7	6
23236	7	6
23244	9	7
23279	9	10
23300	8	11
23305	7	11
23346	6	6
23354	7	9
23410	8	7
23428	8	8
23444	7	9
23465	10	11
23476	10	10
23503	11	9
23515	11	9
23517	11	9
23575	7	11
23605	8	12
23666	8	11
23667	8	13
23695	11	9
23728	10	8
23795	13	9
23815	16	14
23816	15	13
23817	14	14
23818	10	14
23824	12	14
23875	9	14
23926	11	13
23932	10	11
23965	6	10
24031	8	10
24064	10	10
24080	9	7
24083	11	9
24221	14	14
24231	12	14
24232	11	10
24238	9	14
24242	10	14
24244	8	14
24262	9	14
24283	8	17
24299	7	14
24325	6	13
24331	6	13
24359	11	10
24374	11	10
24379	11	10
24385	13	6
24397	11	6
24475	20	5
24631	12	11
24645	10	8
24685	8	7
24688	7	7
24697	6	4
24733	7	3
24760	4	4
24763	4	4
24777	6	6
24781	6	6
24808	7	6
24847	7	6
24901	6	9
24938	5	7
24949	5	7
24954	8	9
24955	8	9
24958	9	9
24982	9	9
25072	19	10
25192	16	7
25195	16	6
25196	20	10
25341	18	9
25342	18	9
25343	18	9
25441	5	2
25495	13	8
25567	14	13
25570	12	11
25626	8	10
25673	13	6
25705	18	8
25713	18	8
25732	18	8
25823	14	14
25863	7	12
25866	5	11
25870	5	12
25878	5	12
25914	4	13
25920	5	14
25953	6	12
25956	6	14
25974	6	11
25977	6	14
26005	8	15
26025	9	15
26032	9	16
26160	16	14
26208	14	10
26217	15	7
26262	17	6
26265	15	6
26316	12	5
26334	12	4
26402	12	6
26404	11	6
26405	12	6
26406	10	6
26471	13	8
26478	12	7
26481	15	7
26547	13	5
26550	13	2
26553	14	1
26595	13	1
26598	13	3
26733	12	15
26856	11	7
26865	12	7
26871	11	7
26893	11	3
26952	9	4
27066	11	7
27084	10	8
27093	11	7
27123	9	13
27147	9	11
27154	11	12
27279	17	9
27294	16	9
27300	13	9
27301	13	9
27302	14	9
27324	13	11
27369	8	10
27443	10	8
27446	10	6
27501	10	9
27507	9	14
27525	10	14
27549	10	13
27575	15	12
27720	20	12
27738	19	13
27910	11	12
27911	11	12
27947	4	12
27961	6	9
28048	14	5
28049	13	5
