sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W42_D5	4005822	3559982	0.888701994247	33.6184494753	910432	819357
W133_D5	4005822	3563699	0.88962989369	75.0566574225	2040290	1833775
W61_D5	4005822	3560723	0.888886975008	46.26919561	1255801	1124923
W59_D1	4005822	3544124	0.884743256191	19.9931613567	529794	487051
W137_D5	4005822	3564467	0.88982161464	82.1574055813	2212965	2003015
W60_D1	4005822	3539787	0.883660582023	8.83040759232	229189	214534
W63_D5	4005822	3564563	0.889845579759	92.5801016843	2493688	2254222
W58_D1	4005822	3513202	0.87702399158	14.5201815893	372797	350658
W138_D5	4005822	3559702	0.888632095984	39.0820231581	1068277	953043
W135_D5	4005822	3565367	0.890046287628	92.740945883	2499788	2261801
W62_D1	4005822	3560503	0.888832054944	48.29134142	1303507	1175467
