site_id	SPIT_TGnew_Virome_1
300	3
555	12
575	7
587	6
591	6
595	6
632	8
653	13
656	13
682	14
799	14
824	10
825	10
827	9
862	7
865	7
931	8
976	11
994	11
1237	9
1378	8
1381	8
1384	7
1447	4
1450	4
1528	2
1585	6
1591	6
1606	6
1682	7
1683	7
1759	5
1762	5
1777	5
1779	5
1795	6
1816	6
1852	7
1900	8
1933	8
1960	9
1963	9
2005	8
2020	8
2054	8
2100	10
2167	9
2175	8
2186	7
2188	7
2200	8
2215	8
2221	8
2233	6
2266	12
2285	14
2289	12
2291	12
2318	13
2350	11
2435	6
2436	6
2437	6
2439	9
2452	9
2497	8
2506	8
2545	6
2557	6
2590	3
2914	3
2989	7
2996	7
3017	6
3019	6
3052	5
3058	7
3070	6
3076	6
3097	9
3099	9
3190	7
3207	8
3241	7
3259	5
3339	10
3344	11
3489	9
3490	7
3677	3
3834	3
3835	3
3849	4
3852	3
3879	6
4116	6
4173	2
4180	3
4251	4
4276	4
4290	4
4296	4
4320	4
4329	3
4330	3
4344	2
4347	2
4353	2
4365	2
4498	4
4587	3
4611	3
4668	7
4735	6
4750	7
4758	7
4797	6
4887	7
4913	6
4944	4
4960	3
4974	4
4992	5
5058	6
5059	6
5065	6
5178	8
5184	8
5197	6
5205	8
5223	7
5241	13
5395	11
5412	10
5413	10
5439	9
5496	5
5499	5
5529	5
5556	7
5625	9
5638	8
5644	7
5685	6
5721	4
5724	4
5757	3
5958	3
5964	3
5970	3
6210	5
6216	5
6219	5
6264	2
6303	4
6341	4
6344	4
6400	7
6663	7
6678	7
6736	6
6807	5
6825	4
6831	4
6843	4
6844	4
6857	10
6861	10
6897	9
6921	10
6927	10
6954	9
6975	10
7014	4
7059	6
7072	5
7092	5
7150	4
7469	3
7470	3
7482	4
7542	7
7548	10
7549	10
7605	12
7611	11
7615	11
7620	11
7677	9
7698	6
7699	7
7755	7
7759	6
7773	6
7827	6
7828	6
8629	3
8635	3
8636	3
8651	6
8661	6
8662	6
8874	9
8907	8
8957	6
8966	7
8993	4
9032	7
9044	7
9110	7
9140	8
9149	8
9176	8
9185	5
9284	4
9341	8
9344	8
9425	9
9692	4
9779	5
9793	5
9839	6
9857	4
9863	6
9866	6
9872	6
9914	3
9921	3
10201	8
10220	5
10434	8
10436	8
10439	8
10440	8
10441	8
10442	8
10578	6
10635	5
10638	5
10648	5
10653	7
10876	8
10902	9
10908	9
10911	9
10917	9
10926	9
10944	9
10956	8
11021	8
11022	8
11097	5
11184	6
11187	6
11195	6
11199	9
11238	9
11273	8
11334	6
11349	3
12393	4
12395	3
12396	4
12397	4
12423	8
12425	8
12451	12
12454	12
12505	14
12548	13
12613	8
12616	7
12677	5
12721	6
12738	7
12790	6
12952	7
13003	11
13426	4
