site_id	ZYMO_Standard
506	0.143
716	0.333
745	0.125
1406	0.0833
1422	0.0625
1501	0.111
1544	0.0714
1545	0.0714
1557	0.0714
1826	0.2
1828	0.25
2488	0.0714
2530	0.133
2564	0.0769
2627	0.2
2696	0.167
2697	0.167
2698	0.143
2844	0.0909
2996	0.1
3329	0.111
3360	0.0909
3597	0.0588
3709	0.0714
3777	0.5
4095	0.25
4215	0.333
4529	0.125
4530	0.143
4656	0.0667
4679	0.0714
4715	0.1
4716	0.1
4718	0.0909
4865	0.0833
5136	0.1
5171	0.1
5232	0.125
5740	0.0714
5920	0.0909
6392	0.167
6964	0.222
7371	0.111
7419	0.0909
7424	0.0833
7425	0.0833
7991	0.125
8133	0.2
8571	0.125
8584	0.125
8746	0.143
8769	0.167
8858	0.0909
8883	0.0833
8949	0.0625
10508	0.167
10736	0.1
11234	0.125
11235	0.125
11236	0.125
11374	0.0714
11575	0.0833
11688	0.0769
11833	0.0625
12261	0.25
12298	0.111
12704	0.0909
12899	0.182
13049	0.333
13079	0.2
13080	0.2
13081	0.2
13082	0.2
13227	0.0714
13230	0.0769
13232	0.0714
13240	0.0714
13277	0.0556
13337	0.0714
13548	0.143
13588	0.125
13664	0.167
14232	0.143
16406	0.118
16826	0.167
16858	0.0769
17159	0.0909
17301	0.111
17376	0.125
17377	0.125
17378	0.125
17379	0.125
17515	0.0588
17527	0.0714
17528	0.0667
17529	0.0667
17721	0.1
18126	0.111
18786	0.1
18807	0.1
18808	0.1
18809	0.111
18812	0.1
18958	0.143
18961	0.143
19155	0.167
19194	0.111
19259	0.167
19299	0.143
20009	0.1
20559	0.125
20722	0.0909
20724	0.0909
20726	0.111
20729	0.125
21028	0.167
21048	0.111
21051	0.1
21369	0.0833
21526	0.111
21527	0.111
21528	0.111
21529	0.111
21675	0.2
21676	0.167
21677	0.2
21712	0.143
22155	0.0769
22163	0.0769
22495	0.1
22881	0.0833
23227	0.143
23262	0.143
23297	0.167
23299	0.167
23300	0.167
23301	0.167
23341	0.2
23491	0.0833
23494	0.0769
23637	0.143
23639	0.143
23642	0.143
23644	0.2
23676	0.4
24043	0.2
24087	0.143
25248	0.143
25359	0.111
25360	0.1
25361	0.1
25433	0.0769
25492	0.125
25510	0.0667
25596	0.143
26485	0.0667
26558	0.0667
26813	0.0769
26838	0.182
27256	0.1
27339	0.111
27925	0.0588
28142	0.0833
28678	0.1
28679	0.1
28824	0.111
28825	0.111
28826	0.111
28827	0.111
29863	0.0833
29994	0.25
29995	0.25
30327	0.111
30362	0.0714
30407	0.0667
31209	0.167
31228	0.2
31345	0.222
31346	0.222
31347	0.222
31482	0.125
31483	0.125
31485	0.125
31491	0.0714
31495	0.182
31496	0.182
31498	0.182
31631	0.0588
31632	0.0588
31633	0.0588
31634	0.0588
31690	0.0833
31808	0.143
31914	0.111
31915	0.1
32065	0.0909
46411	0.235
46437	0.0714
46600	0.0909
47233	0.0625
47254	0.0714
47299	0.167
47300	0.167
47301	0.167
47303	0.143
47304	0.143
47579	0.333
48409	0.1
48427	0.0714
48679	0.1
48721	0.125
49282	0.0667
49285	0.0714
49288	0.0625
50120	0.25
50238	0.0909
50318	0.1
50367	0.0833
50421	0.125
50502	0.125
51565	0.111
51641	0.125
52786	0.182
52845	0.1
52910	0.111
53161	0.0909
53219	0.143
53310	0.1
53311	0.1
53884	0.0714
53943	0.1
54109	0.0909
54145	0.125
54258	0.0833
54259	0.0769
54266	0.0714
54293	0.182
54294	0.182
54295	0.167
54296	0.167
54624	0.0833
54721	0.111
54902	0.1
54903	0.1
54904	0.1
55097	0.111
55247	0.0667
55279	0.0833
55382	0.143
55820	0.111
56297	0.118
56302	0.118
56835	0.0909
56836	0.0909
56837	0.0909
56888	0.1
56985	0.143
57457	0.125
57468	0.143
57592	0.0667
57619	0.0588
57689	0.1
57781	0.0909
57811	0.111
57883	0.125
57941	0.1
57943	0.1
57959	0.0833
57961	0.0833
57962	0.0833
57965	0.0833
58033	0.0714
58034	0.0667
58084	0.111
58087	0.111
58089	0.111
58091	0.1
58092	0.111
58093	0.1
58110	0.111
58111	0.125
58112	0.111
58122	0.111
58123	0.111
58225	0.1
58226	0.111
58232	0.0833
58305	0.1
58376	0.167
58378	0.25
58380	0.25
58579	0.2
58580	0.2
58611	0.167
58900	0.25
59052	0.25
59054	0.25
59058	0.286
59200	0.111
59202	0.125
59297	0.0909
59327	0.111
59328	0.111
59329	0.111
59598	0.111
59745	0.333
59748	0.333
60221	0.167
60748	0.143
60890	0.143
60931	0.111
61340	0.167
61341	0.167
61345	0.167
61349	0.143
61635	0.0769
61866	0.111
61867	0.111
61936	0.1
62019	0.111
62539	0.111
62554	0.1
62573	0.111
62715	0.0556
62716	0.0556
62893	0.0714
62901	0.0714
62916	0.154
63025	0.0769
63095	0.143
63320	0.1
63355	0.125
66745	0.1
67134	0.1
67445	0.125
67449	0.111
67450	0.111
67453	0.0909
67454	0.1
67953	0.1
68403	0.2
68720	0.0556
69905	0.25
70048	0.2
70302	0.0714
70742	0.1
70776	0.111
70782	0.25
70802	0.143
70850	0.143
70938	0.0769
70984	0.0625
70992	0.0625
71001	0.267
71012	0.0556
71134	0.0909
71952	0.0556
72090	0.0588
72095	0.0588
72096	0.0625
72098	0.0625
72100	0.0588
72102	0.0625
72103	0.0588
72234	0.0588
72236	0.0625
72238	0.0667
72245	0.0625
72247	0.0714
72358	0.167
72750	0.0909
72878	0.111
72879	0.1
73510	0.0769
73512	0.0769
73655	0.0714
73743	0.0833
73805	0.0714
73806	0.0714
74033	0.0769
74035	0.0714
74092	0.143
74322	0.0833
74369	0.167
74370	0.167
74372	0.167
74373	0.167
74375	0.182
74445	0.1
74517	0.111
74521	0.222
74523	0.222
75116	0.1
75276	0.111
75759	0.0625
76570	0.111
76575	0.125
76576	0.1
76609	0.0909
76629	0.167
77133	0.2
78317	0.25
79334	0.0769
79496	0.0588
79888	0.0667
79890	0.0667
80030	0.0588
80032	0.0556
80035	0.0556
80037	0.0556
80038	0.0556
80715	0.0833
81190	0.0714
81372	0.0833
81494	0.125
81495	0.111
81701	0.0667
82161	0.167
82307	0.2
83198	0.0667
83240	0.0909
83641	0.0909
83642	0.0909
83644	0.0909
83645	0.0909
83791	0.0769
83793	0.0769
83904	0.0625
83905	0.0625
83906	0.0625
84360	0.0588
84361	0.0588
84363	0.0556
84366	0.0588
84367	0.0556
84368	0.0556
84370	0.0588
84551	0.167
84624	0.0833
84665	0.0714
84885	0.0588
84922	0.0833
84941	0.0769
84969	0.0714
84983	0.154
85030	0.0556
85032	0.0556
85033	0.0556
85557	0.125
85662	0.0769
85663	0.0769
85667	0.0833
85702	0.0833
85707	0.0909
85737	0.1
85758	0.0909
85782	0.0909
85814	0.1
85815	0.1
85817	0.1
86157	0.0909
86203	0.125
86238	0.167
86306	0.0833
86854	0.182
86856	0.182
86894	0.0909
87002	0.2
87004	0.2
87005	0.2
87093	0.0909
87094	0.0909
87095	0.0909
87138	0.0769
87243	0.0769
87244	0.0714
87245	0.0714
87246	0.0714
87397	0.133
87398	0.133
87548	0.333
87934	0.1
87992	0.154
88432	0.0625
88438	0.0667
88439	0.0667
88444	0.0667
88447	0.0769
88448	0.0588
88490	0.0667
88544	0.0769
88588	0.125
88659	0.0667
88688	0.0625
90655	0.0833
90704	0.0769
90761	0.0769
90783	0.0714
90792	0.0769
92593	0.125
92595	0.111
92596	0.111
92597	0.111
92687	0.25
92688	0.25
92689	0.25
92690	0.286
92692	0.25
92878	0.143
92881	0.125
92883	0.125
92884	0.143
93026	0.167
93027	0.167
93524	0.143
93587	0.0909
93603	0.1
93768	0.25
93904	0.111
93907	0.125
95515	0.0909
95596	0.0588
95597	0.0588
95598	0.0588
95746	0.0769
95785	0.0769
96305	0.2
96551	0.143
96840	0.0769
97054	0.0909
97065	0.0769
97529	0.1
97630	0.143
97673	0.0833
97758	0.0625
97812	0.0714
97868	0.1
97994	0.111
97998	0.111
98248	0.0909
98399	0.0769
98954	0.111
98955	0.111
98958	0.0833
99092	0.125
99190	0.111
99903	0.111
99905	0.2
99925	0.0769
100054	0.133
100055	0.143
100079	0.0714
100119	0.0667
100619	0.125
100820	0.0833
100821	0.0833
100826	0.0769
100974	0.0769
100977	0.0833
100986	0.182
101143	0.111
101161	0.0909
101162	0.1
101391	0.0909
101397	0.0833
101527	0.167
102294	0.125
102311	0.0909
102459	0.1
102461	0.1
102462	0.1
102683	0.125
103298	0.1
104319	0.1
104708	0.111
104733	0.111
105291	0.0556
105316	0.0588
105317	0.0588
105724	0.125
106140	0.1
106142	0.1
106143	0.111
106239	0.0833
106293	0.1
106294	0.1
106297	0.125
106302	0.111
106307	0.125
106311	0.111
106480	0.167
106481	0.167
106629	0.2
106879	0.0667
106900	0.0909
107509	0.167
107859	0.111
108402	0.0556
108563	0.0909
108572	0.111
108943	0.0625
108957	0.0769
109009	0.154
109140	0.0556
109160	0.0625
109196	0.0625
109284	0.1
109549	0.0769
110012	0.111
110673	0.0588
110934	0.111
110935	0.111
110938	0.111
110941	0.111
111082	0.167
111087	0.167
111342	0.125
111393	0.0909
111443	0.1
111536	0.0833
111537	0.0714
111540	0.0667
111541	0.0714
111542	0.0667
111547	0.0667
111608	0.0667
111614	0.0714
111686	0.0833
111687	0.0714
112024	0.0769
112562	0.125
112564	0.1
112705	0.167
112706	0.143
112708	0.125
112709	0.143
113145	0.143
113295	0.111
113466	0.0625
113616	0.0909
113618	0.1
113621	0.0909
113659	0.0769
113723	0.0909
113724	0.0769
113725	0.0769
113728	0.0769
113766	0.0667
113769	0.0625
113871	0.0667
113874	0.0714
113911	0.1
114019	0.143
114142	0.0769
114188	0.0833
114223	0.0667
114224	0.0667
114581	0.125
114605	0.167
115000	0.167
115068	0.111
115113	0.0833
115257	0.111
115544	0.333
115604	0.111
115687	0.111
116525	0.111
116526	0.111
116527	0.111
116543	0.111
116650	0.0667
116655	0.0667
116656	0.0667
116658	0.0667
116659	0.0667
116674	0.0769
116677	0.0769
116693	0.0909
116694	0.0909
116695	0.0909
117525	0.0667
117613	0.0588
117634	0.0667
117891	0.154
117892	0.167
117988	0.0909
118041	0.5
118042	0.5
118739	0.125
119199	0.111
119200	0.0556
120192	0.182
120673	0.125
121350	0.125
121407	0.167
121473	0.111
121493	0.125
121945	0.2
122419	0.1
122420	0.1
122566	0.125
122634	0.143
124318	0.0588
124319	0.0588
124350	0.167
124473	0.0625
124526	0.0556
124622	0.0667
124623	0.143
124674	0.0625
124676	0.0556
124741	0.111
125186	0.25
125449	0.2
125450	0.2
125451	0.2
125599	0.111
125600	0.111
125601	0.1
126101	0.1
126103	0.111
126106	0.125
126107	0.125
126197	0.0667
126200	0.0667
126347	0.111
126485	0.118
126660	0.0556
126695	0.143
126723	0.125
127002	0.0556
127139	0.0833
127141	0.0833
127285	0.0833
127286	0.0909
127288	0.0833
127289	0.0833
127290	0.0833
127298	0.0909
127548	0.0588
127582	0.0588
127600	0.0909
127701	0.111
127716	0.0833
127733	0.0833
127744	0.0769
127755	0.0769
127785	0.0667
127792	0.0625
127835	0.0769
128624	0.1
128625	0.2
128668	0.222
128986	0.143
129051	0.143
129190	0.0714
129881	0.1
130017	0.111
130092	0.0833
130234	0.125
130457	0.167
130494	0.0625
130989	0.333
131321	0.0667
131488	0.2
131550	0.25
131564	0.2
131595	0.167
131625	0.0909
131626	0.1
131775	0.143
131776	0.143
132171	0.143
132172	0.143
132173	0.143
132175	0.143
132178	0.143
132323	0.0588
132329	0.0588
132400	0.0714
132507	0.1
132657	0.25
132716	0.111
132989	0.2
133139	0.0833
133297	0.111
133894	0.0833
133895	0.0909
134041	0.167
134656	0.0909
134657	0.0909
134658	0.0909
134661	0.0833
134693	0.0833
134807	0.167
134809	0.2
135289	0.1
135417	0.167
135470	0.2
135485	0.2
135494	0.2
135537	0.111
135611	0.0909
135622	0.0833
135718	0.1
135781	0.0909
137107	0.0909
137108	0.0909
137109	0.0909
137110	0.0833
137111	0.0833
137113	0.0909
137162	0.0769
137192	0.0714
137258	0.0769
137260	0.0769
137261	0.0833
137262	0.0833
137398	0.0909
137543	0.0667
137548	0.0769
137550	0.0714
137690	0.0909
137691	0.0909
137692	0.0909
137825	0.1
138030	0.0625
138031	0.0667
138178	0.0625
138179	0.0625
138181	0.0667
138247	0.0667
138248	0.0625
138394	0.2
138400	0.2
139096	0.0714
139380	0.0833
139395	0.143
139505	0.143
139550	0.2
139561	0.2
139563	0.167
139564	0.167
139571	0.143
139719	0.0588
139799	0.0667
139980	0.133
140020	0.0667
140069	0.0769
140070	0.0769
140071	0.0909
140106	0.1
140257	0.125
141881	0.0909
142022	0.0769
142041	0.0909
142125	0.1
142191	0.111
142192	0.111
142222	0.0909
142253	0.1
142280	0.1
142320	0.111
142326	0.111
142337	0.143
142623	0.111
142675	0.0556
142774	0.0909
142834	0.0769
143444	0.5
143970	0.0769
143971	0.0714
144058	0.143
144120	0.111
144121	0.111
144279	0.0556
144290	0.0769
144426	0.0909
144427	0.0909
144429	0.0909
144582	0.2
144969	0.111
144971	0.125
144975	0.143
144976	0.125
145048	0.1
145120	0.125
145121	0.143
145122	0.125
145124	0.125
145345	0.111
145371	0.125
145485	0.125
145513	0.143
145514	0.125
145515	0.125
145516	0.125
145663	0.125
145664	0.125
145666	0.125
146146	0.25
146340	0.0588
146391	0.0769
146525	0.0625
146839	0.111
147913	0.0909
147921	0.0909
148192	0.0833
148581	0.0909
148582	0.0909
149191	0.0588
149217	0.0625
149349	0.143
149358	0.143
149532	0.111
149578	0.0909
149605	0.1
149730	0.1
149733	0.0909
149736	0.0909
149884	0.143
149885	0.143
149886	0.143
149918	0.125
149920	0.273
149921	0.0909
149923	0.0769
149925	0.0769
149927	0.0833
149984	0.0588
150070	0.0833
150071	0.167
150075	0.1
150076	0.1
150667	0.125
150980	0.0588
150981	0.0588
150983	0.0625
150984	0.0625
150986	0.0625
150988	0.0625
151108	0.0909
151259	0.0588
151381	0.125
151396	0.111
151428	0.0833
151441	0.1
151515	0.0833
151620	0.0833
151811	0.0909
151813	0.1
151929	0.0714
151965	0.1
152796	0.0833
153122	0.0588
153221	0.0667
153244	0.0714
153378	0.125
153583	0.125
153804	0.333
154088	0.25
154116	0.125
154380	0.0833
154577	0.333
154579	0.25
154727	0.111
154955	0.118
155103	0.0769
155104	0.0769
155253	0.0714
155255	0.0714
155256	0.0714
155614	0.118
155678	0.0769
155741	0.0769
155750	0.0769
155830	0.1
155979	0.1
155980	0.0909
155981	0.0909
156517	0.111
156697	0.125
156698	0.125
156736	0.125
156737	0.125
156739	0.125
156846	0.333
156847	0.333
156850	0.333
156887	0.5
156888	0.5
157992	0.0667
158701	0.0769
158703	0.0769
158849	0.1
158938	0.111
159354	0.111
159499	0.143
159648	0.0909
159649	0.0909
159650	0.0909
159819	0.111
159820	0.125
159822	0.125
159823	0.167
159825	0.222
159826	0.111
159974	0.286
159976	0.167
159981	0.286
160157	0.125
160682	0.0588
160717	0.0625
160720	0.0625
160745	0.0769
160839	0.125
160887	0.125
160960	0.167
161034	0.167
161035	0.167
161038	0.143
161187	0.0769
161188	0.0769
161189	0.0769
161382	0.0769
161394	0.0714
161396	0.0714
161398	0.0714
161408	0.0667
161544	0.167
161547	0.167
161549	0.2
161999	0.0588
162000	0.0588
162148	0.0714
162149	0.0667
162150	0.0667
162169	0.0833
162227	0.214
162228	0.214
162365	0.111
162437	0.0833
162587	0.0909
162667	0.125
162866	0.25
162871	0.25
162872	0.25
162875	0.25
162876	0.25
163018	0.2
163324	0.2
163325	0.2
163326	0.167
163327	0.2
163332	0.143
163335	0.143
163477	0.25
163480	0.2
163481	0.333
163843	0.2
163996	0.143
163997	0.143
164146	0.5
164147	0.5
164408	0.0833
164556	0.0833
164559	0.1
164622	0.1
164624	0.1
164625	0.1
164774	0.0714
165336	0.222
165891	0.1
165892	0.111
165897	0.0833
165898	0.0833
165899	0.0833
165987	0.0667
166002	0.0714
166041	0.0909
166042	0.0909
166047	0.1
166049	0.1
166125	0.1
166127	0.1
166203	0.167
167540	0.0909
167628	0.1
167633	0.0769
167634	0.0909
167775	0.0667
167779	0.0769
167783	0.0714
167784	0.0714
168908	0.0909
168925	0.0909
169429	0.111
169450	0.143
169465	0.125
169495	0.125
169550	0.0667
169559	0.0833
169612	0.0833
169638	0.0909
169965	0.111
170056	0.0769
171018	0.0769
171137	0.0588
171241	0.0667
171602	0.1
171876	0.0625
171878	0.0588
173398	0.0909
173547	0.143
173548	0.125
173563	0.2
173566	0.2
173567	0.25
173570	0.25
173571	0.25
173870	0.143
173907	0.111
174020	0.167
174209	0.5
174361	0.0909
174556	0.0833
174961	0.0588
175186	0.0625
175215	0.125
175216	0.143
175335	0.1
175564	0.0909
175566	0.0769
175567	0.0769
175626	0.143
175645	0.125
175714	0.143
175716	0.143
175718	0.143
175719	0.143
175861	0.125
176205	0.0667
176504	0.333
176627	0.25
176652	0.143
176738	0.1
176757	0.0833
176777	0.0909
176811	0.0833
176961	0.143
177048	0.0769
177120	0.0909
177136	0.0909
177138	0.0769
177139	0.0769
177235	0.0588
177286	0.0714
177289	0.0667
177325	0.0714
177395	0.364
177501	0.125
177522	0.143
177721	0.143
178346	0.154
178363	0.0714
178364	0.0769
178366	0.0769
178512	0.2
178514	0.2
179885	0.111
180826	0.333
180850	0.222
180854	0.222
181501	0.143
181502	0.125
181503	0.125
181652	0.1
181653	0.1
181654	0.1
182073	0.111
182287	0.2
182301	0.25
184320	0.0714
184369	0.0625
184428	0.0667
184533	0.111
184586	0.1
184607	0.143
184787	0.167
184867	0.154
184896	0.133
184911	0.0625
185508	0.0588
185804	0.143
185976	0.0909
186037	0.111
186057	0.111
186104	0.167
186245	0.167
187056	0.0909
187082	0.0667
187361	0.0909
187445	0.0714
187446	0.0714
187641	0.0625
187642	0.0588
187643	0.0588
187779	0.125
187790	0.0667
187839	0.0909
188143	0.111
188601	0.0769
188607	0.0909
188609	0.1
188752	0.111
188754	0.111
188756	0.111
188758	0.111
188820	0.111
189095	0.143
189148	0.333
189201	0.167
189717	0.1
189770	0.1
190396	0.167
190616	0.333
191158	0.143
191753	0.0909
192939	0.0909
193101	0.3
193103	0.3
193105	0.333
193106	0.333
193254	0.231
193456	0.0769
193501	0.0588
193507	0.143
193518	0.0667
193561	0.0833
193570	0.0833
193614	0.0714
194303	0.0667
194835	0.0588
194837	0.0588
194838	0.0588
194840	0.0667
194972	0.0714
194978	0.0769
194986	0.0769
195057	0.111
195134	0.143
195153	0.111
197275	0.0909
197276	0.1
197425	0.0909
198168	0.111
198174	0.111
198230	0.25
198320	0.167
198322	0.167
198324	0.167
198402	0.222
198544	0.222
198703	0.286
198847	0.2
198860	0.273
198946	0.0833
199162	0.0556
199831	0.0909
199833	0.0909
199836	0.0909
199837	0.1
199981	0.111
199983	0.111
199985	0.125
200638	0.5
200771	0.2
200996	0.167
201239	0.25
202263	0.167
202741	0.0667
202836	0.0556
203731	0.0714
203749	0.0769
204113	0.0769
204383	0.111
204866	0.0588
204891	0.0769
206349	0.167
206428	0.167
206474	0.2
206633	0.111
207000	0.143
207206	0.0625
207207	0.0625
207227	0.0667
207297	0.0588
207571	0.0714
207589	0.0714
207620	0.0667
207934	0.0909
208012	0.0588
208015	0.0625
208553	0.2
208669	0.2
208885	0.364
208956	0.167
209242	0.111
209955	0.0625
210212	0.111
210213	0.125
210214	0.111
210215	0.2
210222	0.0714
210296	0.0909
210299	0.0833
210300	0.1
210362	0.0833
210364	0.1
210365	0.111
210366	0.1
210367	0.1
210821	0.111
210835	0.0909
210885	0.0909
211235	0.0625
211471	0.0909
211905	0.286
211907	0.286
211909	0.333
211910	0.286
212032	0.154
212055	0.154
212057	0.154
212058	0.154
212385	0.0667
212434	0.0556
212458	0.0556
212595	0.0588
212746	0.0909
213048	0.0909
213156	0.143
213688	0.111
213830	0.111
214034	0.25
214122	0.125
214234	0.2
214753	0.0714
214756	0.154
214759	0.0833
214827	0.1
214902	0.0714
215027	0.0769
215209	0.143
215512	0.154
215662	0.111
215700	0.0667
216710	0.0714
216768	0.0769
216822	0.167
216823	0.143
216824	0.143
216825	0.143
216945	0.0769
216971	0.0769
216977	0.0833
217008	0.0667
217127	0.0667
217284	0.0833
217332	0.0833
217738	0.1
217770	0.111
217775	0.1
217809	0.0769
217810	0.0769
217972	0.0769
217974	0.0625
218124	0.143
218125	0.143
218184	0.111
218185	0.111
218187	0.111
218189	0.111
218192	0.1
218318	0.0588
218319	0.0556
218321	0.0556
218339	0.0588
218446	0.0588
218469	0.0667
218472	0.0714
218902	0.0625
218903	0.0625
218904	0.0714
218905	0.0625
219052	0.125
219053	0.125
220514	0.4
221117	0.1
221185	0.0909
221207	0.154
221429	0.1
221595	0.0556
221596	0.0556
221597	0.0556
221746	0.0714
221868	0.0714
