site_id	JMother
108	0.25
112	0.25
120	0.143
121	0.143
122	0.143
261	0.111
265	0.125
270	0.167
272	0.167
274	0.167
283	0.167
289	0.143
326	0.143
733	0.143
804	0.143
871	0.125
1288	0.0909
1290	0.1
1395	0.125
1434	0.143
1438	0.143
1865	0.143
1928	0.111
2316	0.0769
2522	0.0833
2530	0.0909
2546	0.0833
2560	0.0833
2579	0.154
2582	0.154
2592	0.0833
2657	0.154
2675	0.111
2678	0.111
2681	0.0909
2696	0.125
2712	0.0833
2713	0.0909
2716	0.0909
2720	0.111
2723	0.1
2864	0.111
3034	0.0769
3358	0.25
3395	0.0909
3428	0.1
3455	0.222
3641	0.222
4567	0.0833
5945	0.125
6614	0.125
7353	0.111
7371	0.0833
7520	0.111
7522	0.111
7525	0.111
7526	0.111
7766	0.25
7822	0.143
8456	0.25
9149	0.0769
9164	0.0769
9238	0.1
9249	0.125
9260	0.333
9262	0.333
9465	0.2
9579	0.167
9618	0.167
9671	0.111
9719	0.111
9820	0.25
9822	0.2
9872	0.125
10179	0.333
10353	0.333
10501	0.25
10590	0.111
10959	0.0909
11562	0.2
12187	0.125
13128	0.125
13200	0.333
13202	0.333
13351	0.333
13352	0.333
13636	0.0909
13637	0.0833
13638	0.0833
13874	0.111
14132	0.2
14133	0.2
14576	0.143
14749	0.333
15728	0.222
15730	0.111
15849	0.0833
15850	0.0833
16958	0.125
17371	0.286
17396	0.0833
17397	0.0833
18443	0.111
18700	0.143
18701	0.143
19016	0.2
19024	0.2
19029	0.167
19059	0.25
19071	0.2
19095	0.25
19155	0.25
19158	0.333
19222	0.333
19687	0.1
19689	0.1
19691	0.1
19840	0.5
19860	0.5
21725	0.0909
22129	0.143
22130	0.143
22132	0.143
22198	0.143
22821	0.0833
22860	0.1
22906	0.0833
23201	0.0909
23292	0.0833
23331	0.1
23627	0.111
23628	0.111
23629	0.111
23777	0.111
24081	0.143
24099	0.125
24277	0.1
24294	0.111
24468	0.125
24618	0.1
24690	0.25
24691	0.333
24840	0.125
24841	0.111
24880	0.25
25602	0.0833
25895	0.25
