site_id	ASM_48	ASM_49
47	0	0.0833
80	0	0.037
81	0	0.0357
82	0	0.0357
120	0.0189	0
125	0.0357	0
154	0.0175	0
181	0.0182	0
208	0	0.0278
216	0.0204	0
259	0.0189	0
304	0.0172	0.0182
307	0.0357	0
308	0.0345	0
309	0.0161	0.0179
396	0.0294	0
446	0.0143	0.012
487	0.0286	0
488	0.0278	0
491	0	0.025
518	0	0.0345
519	0	0.0345
556	0.039	0
577	0.038	0
640	0	0.0299
668	0	0.0462
669	0	0.0476
783	0.0377	0
932	0	0.02
933	0.0317	0
1026	0.0392	0
1032	0	0.0183
1033	0	0.0187
1039	0	0.0171
1040	0	0.0172
1076	0.0392	0
1132	0	0.0192
1179	0.0169	0.0125
1182	0	0.027
1183	0	0.026
1187	0	0.0299
1189	0	0.0282
1240	0.0161	0.0133
1256	0	0.0294
1294	0	0.0263
1325	0.026	0
1382	0.0263	0
1485	0	0.0227
1488	0.0189	0
1489	0	0.0244
1491	0.0196	0
1492	0.0196	0
1501	0.0345	0
1504	0.0333	0
1507	0.0317	0
1562	0.0429	0.0217
1659	0	0.0278
1695	0	0.0263
1716	0.069	0
1720	0.069	0.0213
1835	0.0253	0
1864	0.0769	0
1867	0.0244	0
1869	0.0267	0
1871	0.0312	0
1872	0.029	0
1906	0	0.029
1944	0.0172	0.0156
1945	0.0169	0.0152
1946	0.0167	0.0149
1997	0	0.0294
2014	0.025	0
2046	0	0.0328
2049	0	0.0323
2050	0.0132	0.0333
2052	0	0.0317
2095	0.0137	0.0185
2096	0.0132	0.0185
2230	0.0274	0
2326	0.00943	0.012
2383	0	0.0267
2472	0.0253	0
2588	0	0.0286
3015	0	0.04
3181	0	0.0435
3183	0	0.0417
3184	0	0.0377
3359	0.0339	0
3361	0.0333	0
3363	0.0328	0
3366	0.0328	0
3507	0.0294	0
3590	0.0263	0
3591	0.0267	0
3592	0.0267	0
3626	0.0253	0
3668	0.0156	0.0172
3740	0.025	0.0164
3741	0.0256	0
3742	0.0263	0
3796	0.0149	0.0152
3813	0.026	0
3840	0.026	0.0571
3841	0.0267	0.0571
3936	0.0217	0
3962	0.0198	0
3964	0.0198	0
3965	0.0211	0
3966	0.0204	0
3990	0.0222	0.0494
3991	0.0233	0.039
4039	0.0098	0.0132
4068	0	0.0274
4074	0.0175	0
4081	0.0174	0
4082	0.0177	0
4095	0.00901	0.0135
4144	0	0.0282
4213	0.0102	0.0123
4225	0.0215	0
4226	0.0215	0
4228	0.0222	0
4230	0.022	0
4311	0.0122	0.0253
4538	0.0139	0.0119
4656	0.0278	0
4667	0	0.0238
4738	0.0244	0
4788	0.0225	0
4792	0.0337	0
4800	0.0206	0
4805	0.0206	0
4825	0.0233	0
4836	0.022	0
4838	0.0323	0
4934	0.037	0
4935	0.038	0
4937	0.037	0
4938	0.037	0
4960	0	0.0263
4979	0.0282	0
4986	0.027	0.0118
4987	0.0267	0.0116
5017	0.0278	0
5050	0.0256	0
5076	0	0.05
5198	0.0323	0
5201	0.0317	0
5213	0	0.0233
5331	0.0217	0.0137
5420	0.0426	0
5608	0	0.025
5667	0	0.0345
5688	0	0.0357
5749	0.0114	0.0156
5800	0	0.0312
5841	0	0.0303
5850	0.0101	0.0167
6153	0.0333	0
6154	0.0545	0
6241	0	0.0364
6306	0.0429	0
6307	0.0429	0
6338	0.0189	0
6339	0.0189	0
6351	0.0175	0
6352	0.0172	0
6354	0.0172	0
6468	0.0147	0.0159
6474	0.0303	0.0154
6599	0.0333	0
6600	0.0328	0
6618	0.0169	0.0164
6619	0.0169	0.0169
6621	0.0175	0.0172
6622	0.0172	0.0169
6624	0.0169	0.0167
6744	0.0137	0.0179
6745	0.0263	0
6747	0.0267	0
6801	0.0308	0
6803	0.0312	0
6804	0.0308	0
6805	0.0323	0
6812	0	0.0435
6862	0.0267	0
6864	0.04	0
6865	0.0267	0
6867	0.0241	0
6871	0.0208	0
6889	0.026	0
6956	0.0263	0
6957	0.0253	0
7001	0	0.0351
7090	0	0.029
7103	0.0109	0.0133
7122	0.0128	0.0147
7151	0	0.0308
7250	0	0.0294
7254	0.0122	0.0139
7255	0.0241	0
7265	0	0.0294
7357	0.0294	0
7388	0.027	0
7396	0.0435	0
7423	0.0312	0
7458	0	0.0385
7653	0.0517	0
7903	0.029	0
7944	0.0506	0
8195	0.0282	0
8262	0.029	0
8278	0.0312	0
8312	0.0339	0
8393	0.0267	0
8395	0.0256	0
8400	0.012	0.0122
8544	0.0247	0
8562	0.0149	0.025
8628	0	0.0312
8629	0	0.0323
8660	0.0175	0.0159
8662	0.0167	0.0161
8663	0.0172	0.0161
8673	0	0.0303
8677	0	0.0303
8809	0.0256	0
8811	0.0128	0.0159
8812	0.0247	0
8813	0.0123	0.0152
8863	0.0328	0
8958	0.0274	0
8959	0.0274	0
8960	0.0267	0
8996	0.0235	0
9125	0	0.0357
9178	0.0128	0.0345
9332	0.027	0
9657	0.0133	0.0143
9807	0.0104	0.0111
9811	0	0.0222
9943	0.0111	0.0119
9947	0.0103	0.0111
9955	0	0.037
9956	0	0.026
9961	0	0.0267
10095	0.0119	0.0426
10198	0.026	0.0112
10201	0	0.0274
10328	0	0.0274
10360	0.0208	0
10445	0.0247	0
10490	0	0.0253
10529	0.0109	0.0118
10544	0.0225	0
10595	0.0253	0
10640	0	0.0256
10652	0	0.026
10750	0	0.0421
10777	0	0.0211
10842	0	0.0274
10875	0.0123	0.0123
10898	0	0.0263
10983	0.0364	0
10984	0	0.0278
11026	0.0208	0.0152
11124	0	0.0526
11126	0	0.0484
11130	0	0.05
11132	0.0204	0.0484
11174	0.0204	0
11189	0	0.0333
11231	0	0.0227
11249	0.0455	0
11251	0.0462	0
11252	0.0469	0
11272	0	0.06
11274	0	0.06
11282	0.0238	0
11311	0	0.0317
11396	0.0337	0
11398	0.0349	0
11400	0.0361	0
11403	0.039	0
11423	0.0274	0
11426	0.0267	0
11427	0.0286	0
11432	0.0156	0.0147
11461	0	0.0274
11488	0.0312	0
11559	0	0.0294
11578	0.0247	0
11749	0.0172	0.0123
11807	0	0.0341
11849	0.0286	0
11891	0	0.0312
11959	0	0.0545
12070	0.0441	0
12071	0.0435	0
12072	0.0435	0
12168	0.0247	0
12169	0.0241	0
12170	0.0244	0
12214	0.04	0
12217	0.0417	0
12317	0.0308	0
12318	0.0294	0
12319	0.0299	0
12369	0	0.0263
12371	0	0.0256
12398	0.0278	0
12446	0	0.026
12494	0	0.0253
12553	0.0267	0
12587	0.0429	0
12589	0	0.027
12594	0.0448	0
12635	0.027	0
12638	0.0282	0
12739	0	0.0267
12743	0.0326	0
12747	0.0333	0
12760	0	0.0282
12793	0.0267	0
12796	0.027	0
12797	0.0278	0
12894	0	0.0345
12899	0	0.0323
12903	0.0256	0
12906	0.0238	0
12924	0	0.029
12925	0	0.0312
12943	0.022	0
12945	0.0225	0
12948	0.0233	0
12950	0.0256	0
12987	0.0465	0
13048	0.0282	0
13074	0	0.0225
13075	0	0.0235
13090	0.0364	0
13091	0.037	0
13094	0.0357	0
13096	0.0357	0
13112	0.0312	0
13120	0.0147	0.012
13140	0	0.025
13146	0	0.025
13181	0.0241	0.0119
13322	0.0259	0.00862
13324	0.0177	0.00885
13370	0.0227	0
13755	0.0225	0
13759	0.023	0
13761	0.023	0
13875	0.0323	0
14019	0.0119	0.0118
14210	0.0217	0
14241	0.0244	0
14356	0.0128	0.0116
14376	0	0.0282
14377	0	0.0233
14379	0.0308	0
14382	0.0312	0
14386	0.0339	0
14389	0.0345	0
14522	0	0.0213
14523	0	0.0211
14525	0	0.022
14528	0	0.0213
14537	0.027	0
14547	0	0.0222
14578	0	0.023
14579	0	0.0241
14580	0	0.0238
14583	0	0.023
14585	0	0.023
14586	0	0.0227
14628	0	0.039
14643	0.0202	0
14668	0.0215	0
14671	0.0215	0
14672	0	0.0225
14673	0	0.0222
14675	0	0.0227
14676	0	0.023
14697	0	0.0375
14698	0	0.0256
14726	0.0106	0.0118
14727	0	0.0235
14729	0	0.0238
14730	0	0.0233
14731	0	0.0233
14819	0.0328	0
14821	0.0328	0
14823	0.0317	0
14866	0.0656	0
14907	0	0.0241
14962	0	0.0233
15005	0.0128	0.00926
15011	0.0133	0.00943
15146	0.0282	0
15263	0	0.0194
15420	0	0.0303
15422	0	0.0303
15526	0	0.0278
15528	0	0.0274
15529	0	0.0267
15579	0	0.0183
15695	0	0.0214
15697	0.012	0.0145
15802	0.0233	0
15844	0	0.0385
15846	0	0.039
15884	0.0303	0
15886	0.0294	0
15948	0.0476	0
15955	0.0556	0
15991	0	0.0385
21838	0.25	0.75
21844	0.4	0.429
21845	0.167	0
21861	0	0.0526
21871	0	0.0303
21882	0	0.0286
21893	0	0.0222
21895	0.0244	0
21897	0.0227	0
21898	0	0.0217
21899	0	0.0217
21900	0	0.0217
21901	0.0233	0
21903	0.04	0.0444
21904	0.0351	0.0385
21905	0.0545	0.0392
21910	0	0.0282
22054	0.0227	0.0138
22133	0.0267	0
22149	0	0.016
22150	0	0.0163
22151	0	0.0165
22153	0	0.016
22157	0	0.0163
22304	0	0.0211
22305	0	0.023
22312	0.0308	0
22324	0.0333	0
22356	0.0182	0.0145
22385	0.0385	0
22387	0.0357	0
22413	0.0328	0
22535	0.0256	0
22536	0.0253	0
22537	0.0267	0
22563	0.0256	0
22775	0.0312	0
22820	0	0.0323
22952	0.0114	0.0101
22997	0	0.0241
23012	0	0.0222
23034	0	0.0235
23052	0	0.0238
23053	0	0.0235
23054	0	0.0241
23126	0.0167	0.0128
23129	0.0172	0.0125
23131	0.0175	0.0127
23169	0	0.0294
23170	0	0.019
23185	0	0.0198
23202	0	0.0215
23204	0	0.0208
23211	0	0.0213
23222	0	0.0215
23267	0.0149	0.0115
23286	0	0.025
23302	0	0.0238
23303	0	0.0244
23305	0	0.0253
23354	0	0.0222
23360	0	0.0225
23386	0.023	0
23450	0	0.0247
23604	0.0278	0
23710	0	0.0333
23711	0.0169	0.0317
23713	0.0159	0.029
23721	0.0143	0.0137
23723	0.0143	0.0132
23726	0.0143	0.0132
23859	0	0.0263
23862	0	0.0274
23897	0	0.0328
23945	0.0122	0.0164
24017	0.0278	0
24145	0	0.0299
24183	0	0.0312
24186	0	0.0317
24190	0	0.0317
24337	0	0.0215
24339	0	0.0208
24362	0	0.0225
24371	0	0.023
24419	0	0.0326
24422	0	0.0326
24423	0	0.0323
24563	0.0104	0.00971
24567	0	0.0227
24569	0	0.0341
24639	0.025	0.012
24663	0.012	0.0108
24804	0.0286	0
24874	0	0.0225
24875	0	0.023
24979	0.0308	0
24980	0.0294	0
25007	0.0317	0.0208
25011	0.0308	0
25047	0.039	0
25048	0.0385	0
25049	0.0385	0
25110	0.027	0
25117	0	0.0465
25119	0	0.023
25129	0.0411	0
25157	0.0303	0
25159	0.0299	0
25197	0.0469	0
25430	0.0244	0
25472	0	0.0213
25474	0.0128	0.0213
25475	0.0127	0.0211
25567	0	0.0215
25570	0	0.0215
25613	0	0.0274
25619	0	0.0267
25622	0	0.027
25623	0	0.0286
25625	0.012	0.0274
25626	0	0.0274
25662	0.027	0
25665	0.026	0
25702	0	0.0286
25718	0	0.029
25719	0	0.0312
25814	0	0.0175
25866	0	0.0194
25967	0	0.0267
25970	0	0.0267
25990	0.0143	0.0115
25992	0.0143	0.0119
26000	0	0.0217
26003	0	0.0227
26005	0.0123	0.022
26007	0	0.0225
26029	0	0.0278
26103	0.0267	0
26109	0.0133	0.0167
26138	0	0.0476
26141	0.0128	0.0164
26145	0.0145	0.0182
26173	0	0.0299
26226	0.0282	0
26243	0	0.0206
26247	0	0.0244
26248	0	0.0215
26330	0	0.0222
26379	0	0.0256
26397	0	0.0244
26401	0	0.0241
26457	0.0267	0
26485	0.0119	0.0122
26514	0.037	0
26517	0.0241	0
26530	0	0.0267
26531	0	0.0278
26533	0	0.0274
26697	0.027	0
26715	0.0105	0.0128
26782	0	0.0278
26894	0.039	0.0137
27022	0	0.0235
27091	0.0132	0.0137
27092	0	0.0278
27112	0	0.0247
27122	0	0.0263
27165	0.0253	0
27166	0.025	0
27167	0.025	0
27168	0.026	0
27169	0.0247	0
27172	0.0244	0
27174	0.0244	0
27229	0	0.0215
27232	0	0.0227
27236	0	0.0233
27237	0.0122	0.0115
27238	0.0118	0.0114
27242	0.011	0.00962
27314	0	0.0345
27316	0	0.0333
27319	0.0241	0
27323	0.0244	0
27346	0.0256	0
27358	0.0135	0.0116
27361	0.0132	0.0115
27379	0	0.0222
27393	0.027	0
27412	0.0263	0
27413	0	0.0381
27433	0	0.0177
27463	0	0.0246
27464	0	0.0238
27465	0	0.0254
27466	0	0.0242
27543	0.0235	0
27640	0.0128	0.0152
27681	0.0241	0
27690	0	0.0215
27696	0.0114	0.0206
27697	0.0208	0
27708	0.0215	0.011
27709	0.0213	0.0108
27711	0.0206	0.0106
27717	0.0202	0
27761	0.0215	0
27797	0	0.0244
27798	0	0.0241
27799	0	0.0256
27863	0	0.0222
28065	0	0.0217
28066	0	0.0217
28148	0.0139	0.0133
28213	0	0.0312
28214	0	0.0282
28216	0	0.0282
28218	0	0.0282
28257	0.0303	0
28279	0.0492	0.0141
28280	0.0469	0.0141
28283	0.05	0.0135
28352	0	0.0233
28374	0	0.025
28380	0.0115	0.0123
28425	0.027	0
28426	0.0395	0.0119
28427	0.0267	0
28430	0.0667	0.0122
28435	0.058	0.0116
28437	0.058	0.013
28509	0	0.0247
28641	0.0222	0.033
28642	0	0.0217
28643	0	0.0211
28655	0	0.0233
28656	0	0.0233
28657	0	0.0227
28659	0	0.0233
28749	0	0.0278
28791	0	0.0233
28793	0	0.0238
28897	0	0.0253
28898	0	0.025
28899	0	0.0263
28905	0.0303	0
29045	0	0.0328
29063	0	0.0317
29209	0.0154	0.0135
29229	0.0147	0.0133
29269	0	0.025
29309	0.027	0
29329	0.0115	0.0112
29334	0	0.0211
29341	0	0.0215
29352	0	0.0333
29353	0	0.0319
29382	0	0.0206
29414	0.0106	0.0103
29429	0.0204	0
29480	0.0105	0.0098
29501	0	0.0357
29504	0	0.0353
29505	0	0.0357
29506	0	0.037
29568	0.0227	0
29578	0.0244	0
29579	0.0247	0
29580	0.025	0
29735	0	0.0299
29742	0.0253	0
29747	0	0.0312
29865	0.0128	0.0172
29915	0.0263	0
29973	0.0263	0
30015	0.0299	0
30033	0	0.0317
30034	0	0.0323
30035	0	0.0317
30041	0.027	0
30044	0.0274	0
30130	0.029	0
30161	0	0.0323
30183	0	0.029
30185	0	0.029
30189	0.026	0
30195	0.0274	0
30316	0	0.0215
30327	0.0145	0.0105
30387	0.0141	0.0112
30469	0.0317	0
30505	0.0159	0.0278
30509	0.0164	0.0282
30648	0.0135	0.027
30652	0.0143	0.026
30653	0.0139	0.0253
30656	0.0135	0.0253
30823	0.0286	0
30859	0	0.0488
30864	0.0333	0
30972	0.0364	0
30973	0.0351	0
31000	0.058	0
31001	0.0597	0
31025	0.0133	0.0111
31026	0.0143	0.0112
31028	0.027	0
31041	0	0.0208
31049	0.0244	0
31050	0.0247	0
31055	0.075	0
31078	0.022	0.008
31147	0.0513	0
31149	0.0375	0
31150	0.0488	0
31163	0	0.0183
31182	0.0114	0.00909
31193	0.023	0
31197	0.0235	0
31200	0.0225	0
31221	0	0.0196
31224	0.0204	0
31412	0.0345	0
31592	0	0.0202
31651	0.0351	0
31691	0.027	0
31701	0.0133	0.0104
31722	0.0303	0
31741	0.0145	0.0105
31766	0.0274	0
31871	0	0.022
32037	0.0323	0
32147	0.0267	0
32149	0.0247	0
32153	0.0241	0
32154	0.0233	0.0123
32298	0.0367	0
32299	0.0364	0
32301	0.0354	0
32326	0	0.0208
32424	0.0123	0.0115
32449	0.0244	0.0222
32474	0	0.0202
32476	0	0.0202
32607	0	0.0345
32685	0	0.02
32706	0	0.0198
32958	0	0.0171
32983	0.0122	0.0087
33007	0.0238	0
33139	0.037	0.0084
33140	0.0247	0.00862
33155	0.026	0
33231	0.0533	0
33234	0	0.0183
33237	0	0.019
33262	0.0215	0
33264	0	0.019
33296	0	0.0182
33300	0	0.0185
33307	0.0349	0
33310	0.0337	0
33311	0.0341	0
33324	0.025	0
33333	0.0123	0.0099
33398	0.0238	0
33399	0.0244	0
33457	0.039	0
33458	0.04	0
33465	0.04	0
33548	0.022	0
33549	0.0215	0
33715	0.013	0.0123
33727	0.0263	0
33733	0.038	0
33783	0.0114	0.0112
33790	0	0.0204
33791	0	0.0204
33792	0	0.0215
33793	0	0.0206
33795	0	0.0202
33796	0	0.0208
33859	0.0139	0.0103
33863	0.013	0.0098
33882	0.0429	0
33883	0.0435	0
33945	0	0.0354
34095	0.0317	0
34238	0.0294	0
34239	0.029	0.0104
34241	0.0294	0
34242	0.0274	0
34244	0.0274	0.0098
34271	0	0.0174
34365	0.0235	0.00935
34372	0.0241	0
34386	0.0244	0
34388	0	0.0185
34390	0.0235	0
34392	0	0.0183
34420	0	0.0341
34421	0	0.0222
34423	0	0.0225
34505	0	0.0198
34517	0	0.0208
