site_id	W116_D1	W116_D5	W60_D5	W42_D5	W40_D1	W115_D5	W117_D5	W58_D5	W59_D1	W60_D1	W58_D1	W41_D1	W41_D5	W40_D5	W59_D5	W117_D1	W115_D1
77	24	20	2	7	9	16	12	3	2	5	12	16	6	24	4	32	36
78	24	19	2	6	9	15	12	2	1	6	12	16	6	23	4	32	35
90	24	20	2	6	9	16	12	5	2	7	12	16	6	24	4	31	36
94	24	20	3	6	8	16	12	5	2	7	12	13	6	20	4	30	35
368	32	24	52	10	14	46	36	50	31	36	26	59	7	45	39	54	44
450	15	23	24	11	11	18	16	26	28	25	14	43	3	42	22	34	26
487	15	21	22	12	10	19	15	30	32	27	14	44	4	42	21	35	28
3063	38	40	61	19	21	56	34	51	40	42	27	67	20	37	60	76	57
3096	30	50	66	21	21	66	31	49	37	52	26	64	19	47	61	65	45
3111	31	51	61	23	22	66	28	44	33	50	26	70	20	46	60	68	38
3126	34	60	72	24	19	66	31	53	46	64	26	81	23	47	67	71	44
3183	32	42	96	20	16	47	21	81	60	72	21	53	17	33	84	46	29
3219	25	32	106	14	10	38	15	85	55	67	19	43	11	28	92	33	22
6002	7	5	7	3	2	4	6	5	2	5	17	5	2	5	5	11	9
6914	17	36	12	9	9	28	7	22	12	15	17	27	10	23	22	24	20
6917	17	39	16	12	11	31	9	23	14	17	17	32	10	24	25	24	22
6928	18	45	17	13	11	32	10	26	16	17	16	36	12	33	26	27	28
7046	34	59	34	25	29	65	35	70	32	35	17	64	24	59	51	63	43
7151	6	15	33	11	5	12	13	37	19	21	18	16	5	10	25	18	5
7256	5	1	21	4	2	4	1	13	13	12	26	3	1	2	17	1	3
7480	5	7	10	5	1	13	6	12	16	7	19	13	1	5	3	17	3
7637	3	3	21	2	4	10	10	24	25	19	18	8	1	11	7	10	10
7643	4	3	22	2	3	12	10	24	25	18	20	11	1	11	11	10	12
7668	9	8	34	3	5	18	11	33	28	26	22	13	1	13	13	18	14
8287	43	50	67	16	28	56	47	77	70	63	13	100	33	46	73	56	61
8344	29	57	66	22	29	66	56	91	56	52	21	100	23	45	90	74	70
8351	31	64	67	19	26	72	55	96	55	57	22	107	28	48	81	74	80
8713	55	80	31	18	23	66	56	24	22	26	2	103	19	69	24	99	89
8773	43	46	9	15	25	66	40	6	8	11	3	79	26	52	4	86	69
8824	36	25	43	16	16	43	24	45	49	35	8	47	15	33	48	61	42
8833	33	23	47	14	14	37	23	50	54	41	8	40	15	28	51	56	32
8835	33	25	48	13	15	38	23	50	57	40	8	40	15	27	53	54	34
8872	17	15	81	9	10	26	13	94	79	72	10	22	9	12	88	29	22
10965	14	16	83	4	14	13	20	84	50	76	10	27	5	15	84	11	15
10968	15	16	83	4	14	13	20	86	52	74	10	27	5	15	82	11	15
12841	31	66	85	30	37	47	46	81	56	50	13	94	18	65	67	92	74
13283	8	3	6	6	2	8	3	7	12	1	1	5	2	4	8	7	10
13983	14	10	17	7	5	8	6	8	14	16	12	26	2	11	11	17	7
14163	26	29	42	19	12	41	24	19	17	8	3	29	13	36	33	42	30
14407	38	36	73	22	16	40	31	94	46	66	14	69	15	40	86	67	50
14499	15	14	50	17	12	19	9	47	45	42	13	41	6	20	64	35	30
14536	11	16	46	16	8	16	8	40	44	46	19	43	7	18	60	32	26
14545	9	19	47	13	9	15	7	37	44	45	19	40	7	18	62	33	25
14569	13	24	43	12	8	12	6	42	43	43	16	34	7	16	55	27	23
14581	14	24	47	12	8	13	7	45	44	47	18	34	6	16	55	28	20
15073	46	37	84	33	17	44	35	61	60	35	15	73	27	51	68	57	60
15295	29	53	42	18	20	58	35	50	25	23	6	62	8	24	26	51	43
15726	25	30	96	14	22	45	27	96	50	41	19	56	8	35	70	35	56
15765	17	15	79	12	15	28	12	84	38	41	15	21	7	27	58	28	33
15768	18	16	81	11	14	29	14	90	37	44	16	23	7	27	62	30	29
15771	15	13	66	10	9	28	10	76	31	38	11	22	7	23	55	26	27
15772	15	15	68	10	9	28	14	72	29	37	11	24	7	25	55	26	26
15774	15	14	65	10	9	27	14	73	31	37	11	24	8	25	58	27	26
15777	16	14	62	10	9	26	14	70	31	36	11	25	8	25	56	27	24
15843	17	17	49	10	15	32	27	67	27	32	12	37	7	30	53	32	24
15906	13	14	29	4	10	14	18	29	13	14	13	35	4	10	28	27	11
16185	4	8	27	1	3	11	4	58	28	17	24	7	4	2	52	13	10
16203	3	9	32	3	3	9	5	58	28	17	22	7	1	4	55	9	10
16212	7	11	39	3	3	10	5	66	37	25	23	13	1	5	60	11	13
16215	8	14	43	2	3	11	6	68	38	25	22	12	2	6	61	10	14
16272	23	37	64	12	17	39	19	87	46	40	23	37	4	25	86	36	35
16422	18	19	69	10	5	19	15	43	29	47	18	22	7	13	50	31	27
16615	4	6	4	1	2	8	2	1	1	6	14	8	1	7	4	15	7
16673	4	9	5	3	1	8	3	1	1	2	12	13	1	7	10	15	9
16722	3	13	17	6	3	11	5	3	7	1	10	19	6	11	19	25	17
16880	7	13	25	8	3	21	10	27	5	3	18	18	7	11	26	15	24
20795	3	4	15	1	10	9	2	4	10	12	21	12	1	5	14	12	7
20861	5	6	16	1	8	9	6	11	19	12	15	28	2	7	23	16	17
20912	11	11	25	5	7	18	12	27	17	15	9	41	9	10	29	15	30
20924	14	20	26	5	6	22	12	28	16	15	9	42	9	17	29	21	31
21041	33	34	40	13	16	39	24	49	19	24	7	63	13	50	48	56	55
21063	35	36	33	14	17	46	23	31	15	17	6	66	10	52	38	57	59
21065	34	32	29	14	17	43	23	33	15	18	4	69	10	53	38	58	58
21090	32	35	27	15	18	47	26	25	15	18	5	76	11	46	34	52	64
21094	33	36	27	16	19	48	26	25	14	16	4	80	11	45	33	54	65
21109	33	38	22	15	23	51	25	23	12	13	4	74	11	47	24	54	65
21110	32	38	22	15	24	50	26	21	11	12	4	77	10	48	23	54	65
21113	28	36	19	14	24	50	24	22	11	12	3	77	10	45	23	53	63
21120	32	40	3	15	23	49	26	6	5	8	1	78	11	49	9	53	72
21122	31	37	3	15	24	48	26	7	4	8	1	76	11	49	6	52	69
21182	15	28	5	8	15	36	18	5	3	6	5	51	5	28	4	22	43
21201	12	21	5	7	14	20	11	5	3	6	5	31	2	19	4	19	25
21222	8	19	6	6	14	19	10	5	6	8	6	30	1	19	4	17	24
21273	6	13	7	6	4	11	7	5	10	8	12	19	1	13	7	9	13
22270	20	28	9	8	15	33	35	9	5	6	10	38	10	34	7	43	20
22272	20	25	8	8	16	35	35	9	3	6	10	37	10	34	9	42	19
22273	20	27	8	9	14	34	35	9	3	5	10	36	10	34	8	42	18
32502	17	20	8	5	13	14	20	7	1	3	5	28	6	19	3	19	35
32503	17	20	8	6	13	13	19	6	1	2	5	30	7	16	3	20	35
34259	10	9	9	2	3	7	2	10	4	3	18	14	1	4	5	12	5
34386	10	6	6	1	1	9	7	12	2	1	1	9	3	3	4	5	8
34391	12	12	10	2	4	17	10	16	4	6	2	14	3	5	7	11	16
34394	14	11	14	3	3	18	13	18	2	8	5	19	1	5	13	19	17
35289	13	11	17	10	6	14	10	11	10	8	18	34	13	15	5	26	12
35328	6	11	5	5	8	10	6	3	5	5	16	21	9	9	1	16	12
35376	14	20	9	6	10	26	6	9	5	10	18	39	9	26	1	28	22
35388	15	20	11	8	10	27	7	9	5	10	19	44	9	27	2	31	23
35493	14	20	22	5	4	24	18	10	3	8	19	26	15	28	8	21	16
35555	52	44	74	14	16	41	45	55	31	39	15	56	31	38	54	41	34
35693	22	15	110	6	10	20	15	87	50	76	18	22	13	14	83	24	20
35782	13	3	59	2	3	14	5	68	44	49	15	19	5	7	43	19	11
35794	16	7	55	4	6	18	9	64	44	47	13	27	5	11	41	21	12
37453	2	3	2	1	1	1	1	5	3	3	22	2	1	1	1	6	3
37514	3	2	2	1	1	1	1	2	3	5	21	5	2	1	1	3	4
37677	10	4	4	3	3	6	1	6	4	2	25	7	1	2	1	7	8
37710	9	3	12	6	4	7	4	6	11	7	22	11	4	7	6	12	10
37713	8	3	12	6	4	7	4	6	10	7	19	11	3	7	6	12	10
39394	42	51	67	12	19	52	36	55	43	36	11	65	20	30	64	74	68
39397	41	47	64	15	19	54	32	51	39	37	11	62	18	32	56	74	70
39398	43	48	71	16	18	55	38	55	40	37	12	65	20	37	61	77	73
40040	14	34	27	8	14	42	23	44	34	18	8	45	9	32	47	38	27
40052	11	25	18	4	11	33	18	23	21	9	2	32	7	20	24	29	12
40061	5	20	13	2	6	27	15	17	10	7	1	28	7	14	12	23	8
40880	41	58	84	38	21	70	47	73	65	48	22	81	17	51	101	85	78
40898	24	44	61	27	17	48	34	60	53	38	20	59	14	34	78	63	59
40907	24	36	58	23	16	48	30	57	51	40	18	56	10	27	73	59	51
40910	21	36	56	22	14	48	32	56	50	40	17	55	11	28	70	55	49
40928	12	28	64	13	11	34	16	72	51	46	17	39	6	23	75	32	32
40934	12	27	77	12	10	33	15	80	59	50	18	36	5	21	80	31	32
40960	6	13	96	6	5	17	3	97	63	59	18	13	3	5	103	8	12
41602	2	8	17	4	3	14	4	21	16	18	17	9	2	4	18	6	7
41617	6	10	21	4	6	14	6	27	18	21	19	13	4	8	21	13	9
41632	9	13	37	6	13	25	8	34	28	29	20	17	4	13	24	25	13
41775	9	16	43	10	10	32	11	57	38	29	12	14	5	11	45	20	20
41776	8	18	44	8	10	31	11	57	37	30	12	16	5	13	45	18	24
41803	5	13	26	3	3	16	5	42	25	20	8	8	2	3	36	9	12
41806	4	11	26	3	4	10	5	41	24	19	8	8	1	5	31	8	10
41833	3	11	18	4	5	10	9	22	17	7	5	8	2	6	16	9	11
41845	3	9	15	4	5	9	7	13	12	4	3	7	1	8	13	9	12
41869	4	7	9	4	4	3	6	6	7	3	4	5	2	6	5	6	8
41879	4	7	5	4	4	2	5	4	3	2	4	4	1	6	4	6	7
41880	4	6	5	4	4	2	6	1	1	2	4	5	2	7	4	6	7
43161	9	11	4	5	7	13	7	5	10	10	16	24	3	10	7	11	21
43420	11	17	5	11	6	20	11	3	3	4	6	25	8	10	4	19	18
43456	25	25	13	18	10	27	16	18	7	10	9	35	11	19	11	46	29
43462	25	26	13	18	10	33	15	23	12	16	11	40	11	19	16	47	29
43468	24	25	21	20	13	33	20	35	19	18	11	38	10	23	22	57	27
43480	29	32	32	19	13	41	23	44	27	19	12	44	14	33	38	64	29
43498	32	45	41	19	17	55	26	55	36	29	16	47	16	37	54	69	34
43752	33	33	36	27	10	33	28	35	30	25	8	42	12	37	39	45	47
44423	14	10	77	5	5	10	21	62	48	52	27	18	2	9	69	11	14
46226	26	10	29	3	10	18	10	25	13	26	13	24	2	10	22	21	12
46446	12	9	90	9	4	13	7	103	40	63	25	8	8	14	96	23	11
46457	9	7	85	3	4	11	3	86	40	59	25	5	7	13	98	14	10
46471	8	6	71	3	4	13	2	77	36	40	23	4	5	10	78	12	11
46472	8	6	65	3	4	13	3	72	36	41	24	4	5	10	81	11	11
47918	25	19	19	17	12	29	23	15	6	10	8	32	10	17	13	19	26
47940	16	8	9	8	9	20	14	4	2	6	12	17	6	13	1	12	14
48091	16	14	32	9	7	17	10	32	28	15	18	29	8	15	36	18	25
48098	17	14	32	9	8	17	10	30	28	18	17	28	7	15	34	18	25
48110	16	14	39	9	8	17	10	36	30	19	18	28	8	14	41	18	25
53284	53	51	85	37	24	86	41	75	54	55	15	83	17	59	67	76	72
53332	26	38	59	21	18	32	16	62	41	44	18	59	6	36	58	33	45
53335	27	37	62	20	18	30	16	60	40	43	17	57	6	36	58	35	44
53337	26	37	60	19	20	33	15	61	42	41	18	61	6	38	58	39	45
53350	26	35	62	17	21	30	14	66	47	40	15	59	7	35	56	38	36
53362	25	32	57	11	20	27	12	63	54	40	15	56	7	30	63	36	36
