site_id	SPIT_JP_VIROME_3
1002	4
1359	6
1360	6
1363	6
1394	6
1555	4
1562	4
1680	9
1741	8
1743	8
1755	6
1756	6
1757	5
1761	6
1771	4
1789	5
1823	8
1835	8
1898	8
1913	8
1964	7
1976	7
1983	9
1985	9
2003	8
2006	7
2009	6
2024	7
2039	7
2042	6
2087	6
2126	3
2228	2
2285	2
2288	2
2326	2
2330	2
2333	2
2414	2
2431	3
2432	4
2435	5
2474	7
2480	7
2507	7
2516	8
2519	8
2531	8
2537	8
2546	9
2564	8
2583	6
2584	6
2588	5
2610	6
2630	8
2639	9
2653	9
2657	10
2667	9
2688	9
2858	7
2861	6
2882	8
2891	8
2912	9
2921	10
2975	10
3156	9
3261	10
3264	8
3270	7
3275	8
3303	6
3312	5
3321	4
3357	4
3385	3
3386	3
3402	3
3412	4
3420	5
3429	5
3567	4
3570	6
3576	5
3606	7
3630	7
3674	9
3711	8
3723	9
3738	9
3783	8
3786	8
3805	9
3813	9
3817	9
3819	9
3822	8
3828	8
3834	8
3837	8
3841	9
3843	9
3861	10
3890	10
3900	10
3903	9
3908	9
3920	9
3921	9
3957	8
3981	8
3995	7
4004	6
4112	6
4173	7
4203	8
4215	8
4298	6
4337	3
4403	9
4418	8
4457	10
4488	10
4530	6
4553	3
4592	7
4613	7
4721	4
4733	6
4736	7
4748	6
4751	6
4758	6
4778	5
4835	10
4856	8
4865	9
4874	8
4886	7
4903	8
4925	10
5057	10
5075	10
5078	10
5090	7
5093	7
5096	7
5186	2
5189	2
5234	3
5237	3
5240	3
5297	2
5324	4
5386	7
5402	7
5468	5
5471	4
5486	4
5513	3
5759	3
5822	2
5837	3
5987	4
6026	6
6038	7
6044	7
6068	7
6078	9
6170	7
6173	7
6176	7
6230	8
6277	9
6320	10
6345	9
6429	10
6459	10
6470	9
6473	10
6475	9
6481	10
6492	10
6503	7
6504	6
6528	5
6533	4
6556	3
6557	3
6558	2
6564	2
6929	2
6971	4
7034	3
7043	3
7055	3
7100	2
7136	3
7140	3
7163	3
7175	3
7208	2
7210	2
7228	2
7235	2
7244	2
7328	3
7391	4
7431	7
7485	3
7551	3
7552	3
7620	3
7631	3
7634	3
7640	3
7742	4
7991	4
7998	4
8012	7
8015	8
8021	7
8045	8
8052	8
8097	7
8105	9
8108	9
8144	8
8153	8
8156	7
8163	5
8183	3
8264	4
8279	4
8294	3
8296	3
8300	3
8319	3
8327	3
8328	3
8360	4
8436	2
8450	2
8453	2
8500	2
8807	7
8819	7
8882	9
8896	6
8901	5
8916	6
8919	6
8924	6
8947	7
8955	7
9077	8
9125	6
9140	5
9146	6
9209	7
9239	9
9241	9
9242	9
9266	8
9275	7
9284	8
9320	8
9329	7
9332	8
9335	8
9341	8
9361	9
9367	8
9392	8
9434	6
9470	5
9482	4
9766	2
9767	2
9768	3
9770	3
9771	3
9772	3
9774	3
9791	3
10090	2
10176	9
10179	9
10435	7
10528	7
10537	7
10570	5
10584	6
10585	6
10587	5
10588	7
10675	8
10705	8
10736	8
10738	8
10837	9
10876	7
10915	8
10936	5
10939	5
10943	5
10948	5
10963	4
11020	2
11834	3
11890	2
13220	4
13221	3
13258	4
13277	4
13448	7
13460	8
13496	7
13508	7
13529	9
13544	5
13685	3
13697	3
13727	4
13802	9
13808	10
13874	9
13877	9
13928	5
13958	3
14195	2
14282	4
14318	7
14327	7
14426	7
14450	6
14460	6
14477	6
14492	6
14504	7
14510	6
14522	6
14537	6
14750	5
14756	5
14759	5
14834	5
14843	6
14906	6
14912	6
14915	5
14924	5
14927	5
14936	5
14939	5
14948	5
14957	4
15857	3
15859	3
15860	3
15870	4
15952	6
15954	6
15955	7
15956	7
15957	8
15958	8
16007	9
16008	9
16044	9
16147	6
16159	5
16231	6
16282	4
16370	4
16390	3
16402	4
16457	5
16477	5
16489	5
16516	4
16519	5
16561	3
16576	4
16588	4
16600	8
16648	7
16652	8
16654	8
16744	3
16870	4
16939	6
16969	8
17007	8
17029	8
17059	8
17071	5
17086	5
17113	4
17143	3
17362	2
17377	2
17388	2
17395	2
17396	2
17494	4
17497	5
17500	5
17501	5
17508	6
17518	7
17527	7
17539	7
17545	7
17548	7
17554	7
17557	7
17560	7
17569	6
17578	6
17611	6
17623	7
17658	4
17692	5
17758	5
17776	4
17797	4
17806	4
17809	4
17917	3
17932	3
18010	6
18019	6
18040	5
18064	3
18070	3
18079	3
18082	3
18099	4
18130	4
18175	2
18183	2
18217	2
18235	2
18241	2
18468	2
18522	4
18529	4
18573	5
18615	6
18624	6
18657	6
18666	7
18783	9
18813	6
18832	6
18843	6
18858	6
18867	6
18876	5
18879	6
18882	5
18888	6
18890	6
18891	6
18894	5
18897	4
18918	3
18966	2
18987	2
19011	2
19230	5
19233	5
19239	5
19257	4
19259	4
19276	3
19431	6
19437	7
19470	10
19475	8
19476	8
19584	10
19602	9
19603	9
19610	9
19611	9
19635	8
19665	3
19995	3
20010	3
20142	5
20210	5
20217	5
20238	2
20241	3
20361	2
20364	3
20372	3
20388	4
20397	5
20398	6
20418	6
20436	6
20442	6
20460	6
20475	5
20498	4
20517	3
20619	2
20637	2
20649	2
20679	2
20706	2
20709	2
20715	2
20742	2
20745	2
20757	2
20763	2
20766	2
20769	2
20790	2
20796	2
20901	4
20904	4
20910	3
20922	3
20955	3
20991	2
21000	2
21033	2
21347	4
21370	4
21381	4
21548	6
21550	6
21557	7
21650	8
21843	10
21852	9
21870	8
21873	10
21894	8
21900	7
21903	9
21909	9
21940	7
22029	4
22055	3
22076	3
22088	4
22115	4
22175	5
22193	7
22220	6
22232	6
22238	6
22265	5
22283	8
22289	8
22292	9
22295	8
22301	8
22328	5
22337	4
22355	4
22378	5
22406	7
22433	5
22445	8
22451	8
22460	8
22475	8
22481	8
22487	8
22517	10
22643	8
22646	8
22739	5
22757	5
22760	5
22763	6
22796	5
22814	5
22880	4
22931	4
22991	2
23030	4
23036	4
23053	4
23054	5
23063	8
23072	8
23096	9
23185	9
23237	8
23254	8
23260	8
23283	9
23284	10
23290	10
23310	9
23314	9
23455	10
23458	10
23464	10
23473	6
23476	6
23524	4
23602	2
23713	3
23728	3
23731	3
23761	4
23782	3
23784	3
23812	7
23818	7
23836	7
23872	7
23891	10
23893	10
23944	9
24022	8
24064	6
24067	7
24085	7
24091	7
24100	6
24103	5
24109	5
24115	5
24133	5
24142	5
24145	4
24217	3
24223	3
24385	2
24388	2
24403	4
24415	4
24427	6
24436	6
24471	7
24519	5
24601	3
24652	4
24664	6
24691	7
24709	8
24717	8
24721	7
24742	9
24743	10
24746	9
24909	10
24927	10
24969	4
24977	4
24980	3
24989	3
24992	3
25023	9
25041	8
25085	9
25115	9
25136	10
25143	8
25146	8
25152	8
25176	5
25179	5
25653	2
25662	2
25677	2
25683	2
25698	2
25770	2
25824	4
25899	5
25917	5
25932	5
25954	3
27359	2
28013	3
28017	3
28018	3
30277	2
30280	2
30286	2
30337	3
30368	3
30400	4
30436	7
30482	7
30535	8
30606	2
30610	3
30634	3
30646	5
30649	5
30652	5
30658	5
30667	5
30694	4
30706	3
30721	4
30754	5
30766	4
30769	4
30774	5
30775	5
