sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W116_D1	4637887	3270392	0.705146977492	28.4743504754	1232914	638656
W116_D5	4637887	3383185	0.729466888693	45.8794201322	2074415	1067731
W60_D5	4637887	3439245	0.741554289701	55.0636668804	2499726	1299443
W42_D5	4637887	3233257	0.697140098497	21.3241489928	915400	473443
W40_D1	4637887	3257498	0.702366832137	20.3983612576	870133	457771
W115_D5	4637887	3402410	0.733612095336	52.6302365088	2372138	1230968
W117_D5	4637887	3351680	0.72267392457	36.7524017806	1643746	847038
W58_D5	4637887	3405609	0.734301849096	51.9607647267	2339109	1213381
W59_D1	4637887	3412398	0.735765662251	40.5291742054	1785241	952030
W60_D1	4637887	3411410	0.735552634206	39.7136169502	1742908	932071
W58_D1	4637887	3920438	0.84530692533	14.15790302	442087	383219
W41_D1	4637887	3441343	0.742006650874	57.9586763075	2614363	1373730
W41_D5	4637887	3188071	0.687397299675	16.9967158824	721410	371712
W40_D5	4637887	3365116	0.725570933488	42.7395596467	1893537	986973
W59_D5	4637887	3415524	0.736439676085	53.0000600201	2379758	1241618
W117_D1	4637887	3391358	0.731229113603	50.4955764033	2262070	1175123
W115_D1	4637887	3362815	0.725074802383	45.2965589841	2016745	1045053
