site_id	ZYMO_Standard
97	0.1
104	0.1
106	0.0769
107	0.0667
109	0.0714
140	0.0476
153	0.0526
257	0.0667
258	0.0625
259	0.0625
267	0.0714
717	0.1
787	0.0714
871	0.0588
938	0.118
1464	0.0625
1755	0.0769
1756	0.0667
1757	0.0714
1760	0.0769
1766	0.0714
1880	0.0714
1881	0.0714
1889	0.0625
1890	0.0625
1908	0.0714
1911	0.0769
1912	0.0833
1946	0.0588
2046	0.0833
2530	0.143
2534	0.125
2537	0.125
2539	0.143
2572	0.125
2620	0.1
2639	0.111
2722	0.111
2763	0.125
2764	0.125
2765	0.0667
2766	0.111
2769	0.125
2880	0.05
2909	0.182
2911	0.0833
2912	0.167
2917	0.2
2932	0.125
3103	0.125
3220	0.0909
3667	0.167
4106	0.111
4288	0.0625
4289	0.0625
4306	0.0588
4348	0.0833
4439	0.0909
4440	0.0909
4441	0.0909
4759	0.0909
5018	0.0714
5206	0.125
5340	0.25
5662	0.167
5701	0.0833
5837	0.125
6058	0.167
6440	0.2
6528	0.111
6889	0.1
7052	0.0769
7057	0.0833
7165	0.167
7313	0.0556
7314	0.0556
7345	0.0769
7356	0.0833
7362	0.1
7364	0.1
7365	0.1
7370	0.1
7375	0.0909
7508	0.1
7509	0.1
7510	0.1
7516	0.111
7799	0.0455
7883	0.0625
8175	0.182
8189	0.0769
8324	0.167
8325	0.167
8655	0.1
9107	0.111
9238	0.0667
9242	0.0667
9385	0.0909
9387	0.0909
9388	0.0833
9389	0.0769
9391	0.0769
9720	0.125
10090	0.333
10338	0.0714
10410	0.0588
10588	0.0909
11029	0.1
11081	0.0909
11816	0.111
11848	0.111
11968	0.25
12609	0.0833
12756	0.0667
12757	0.0667
12758	0.0714
12941	0.0714
13593	0.2
13733	0.0833
13880	0.167
13881	0.125
13882	0.125
14235	0.25
14236	0.25
14241	0.143
14382	0.0588
14383	0.0625
14390	0.0909
14391	0.0769
14567	0.0714
14753	0.0714
14754	0.0714
14756	0.0714
14905	0.143
14907	0.125
14909	0.125
14962	0.143
15099	0.2
15173	0.111
15178	0.125
15227	0.125
15496	0.111
15504	0.0909
15537	0.1
15630	0.1
15652	0.125
15695	0.1
15706	0.111
15716	0.125
15717	0.111
15790	0.25
15816	0.2
15817	0.2
15818	0.143
15819	0.143
15967	0.111
15969	0.111
15971	0.111
16633	0.0833
16664	0.0526
16814	0.0625
16832	0.0526
16903	0.0625
16923	0.0476
17000	0.0909
17003	0.143
17129	0.1
17135	0.1
17159	0.125
17299	0.0909
17308	0.0833
17310	0.0833
17317	0.0714
17320	0.0769
17323	0.0833
17351	0.0769
17359	0.0714
17460	0.111
17461	0.0909
17462	0.0909
17464	0.1
18126	0.1
18141	0.0714
18143	0.0769
18151	0.0769
18163	0.0833
18270	0.0769
18426	0.0588
18443	0.0588
18446	0.0588
18724	0.0909
19218	0.0667
19390	0.1
19391	0.0909
19540	0.0625
19542	0.0588
20119	0.0909
20120	0.0909
20121	0.0909
20126	0.1
20257	0.111
20269	0.167
20270	0.167
20974	0.2
20976	0.2
21123	0.0909
21124	0.0909
21127	0.111
21269	0.143
21270	0.143
21271	0.143
21420	0.125
21435	0.2
22561	0.125
22562	0.133
22563	0.125
22564	0.118
22696	0.0909
22709	0.0952
22714	0.0476
22754	0.0455
22757	0.05
22761	0.05
22763	0.0476
22764	0.0476
22841	0.143
22844	0.0714
22846	0.0667
22847	0.0667
22936	0.1
23084	0.0714
23087	0.0833
23088	0.0769
23090	0.0769
23127	0.0769
23129	0.0833
23130	0.0769
23133	0.0769
23163	0.0833
23199	0.0909
23213	0.0833
23214	0.0714
23217	0.143
23355	0.0769
23365	0.3
23366	0.3
23422	0.222
23423	0.222
23424	0.222
23492	0.0833
23572	0.2
23573	0.2
23959	0.4
24100	0.0909
24106	0.182
24107	0.167
24148	0.0909
24291	0.1
24294	0.0909
24297	0.0909
24508	0.05
24510	0.05
24511	0.0556
24555	0.0625
24556	0.0588
24559	0.0625
24560	0.0625
24562	0.0667
24641	0.0526
24658	0.0625
24659	0.0625
24660	0.0667
24661	0.0667
24666	0.0667
24706	0.0667
24710	0.0667
24741	0.0833
24748	0.1
24779	0.111
24780	0.1
24796	0.0909
24820	0.0714
24821	0.0667
24925	0.0556
24927	0.0556
24929	0.0556
24949	0.0588
24971	0.0769
25221	0.0769
25430	0.0667
25431	0.0667
25436	0.0625
25482	0.0625
25521	0.0909
25706	0.167
25960	0.0714
26081	0.0909
26084	0.0909
26085	0.1
26542	0.167
26544	0.167
26697	0.125
26910	0.0714
26995	0.0588
27002	0.0625
27172	0.0833
27173	0.0714
27223	0.0909
27320	0.111
27322	0.111
27391	0.222
27604	0.167
28110	0.0667
28547	0.0625
28550	0.0625
28551	0.0667
28553	0.0667
28554	0.0667
28555	0.0667
28556	0.0667
28667	0.0625
28670	0.0556
28696	0.0667
28698	0.0667
28699	0.0714
28700	0.0667
28701	0.0714
28703	0.0667
28704	0.0667
28815	0.0769
28816	0.0769
28818	0.0769
28977	0.125
28982	0.0833
29060	0.0556
29063	0.0588
29146	0.0769
29173	0.0625
29175	0.0625
29179	0.0667
29324	0.111
29325	0.1
29326	0.1
29329	0.111
29370	0.167
29662	0.2
29812	0.111
29954	0.111
29959	0.125
30300	0.143
30697	0.1
30808	0.111
30810	0.0909
30813	0.111
31059	0.0769
31150	0.0769
31499	0.125
31847	0.333
32433	0.0833
32825	0.111
32828	0.0769
32835	0.0769
32974	0.0909
32975	0.1
32976	0.125
32979	0.125
32981	0.125
32982	0.125
32984	0.125
33130	0.125
33135	0.111
33139	0.0833
33537	0.0833
33891	0.0625
33963	0.0556
33975	0.05
34273	0.1
34708	0.143
35045	0.125
35121	0.1
35123	0.1
35213	0.0588
35228	0.0769
35272	0.0769
35273	0.0769
35275	0.0769
35300	0.222
35394	0.222
35396	0.222
35397	0.25
35398	0.2
35417	0.1
35764	0.1
35765	0.1
35766	0.0833
35771	0.182
35772	0.0833
35774	0.182
36027	0.133
36210	0.143
36567	0.0714
36572	0.0714
36647	0.0909
37349	0.0476
37389	0.0588
37949	0.333
38328	0.0769
38476	0.2
38477	0.25
39115	0.0769
39123	0.0667
39140	0.0625
39314	0.222
39386	0.0714
39503	0.0625
39504	0.0588
39506	0.0588
39509	0.0588
39576	0.0909
39578	0.0909
39579	0.0909
39719	0.0769
39720	0.0714
39721	0.0714
39724	0.154
39725	0.0769
39727	0.0769
39728	0.0833
39962	0.111
40150	0.2
40151	0.25
40152	0.2
40155	0.2
40296	0.0625
40298	0.0588
40302	0.0588
40305	0.0588
40568	0.111
40612	0.0667
40724	0.1
40726	0.0909
40785	0.111
40816	0.0769
40829	0.0769
40832	0.0833
40840	0.0769
40843	0.0714
40848	0.0769
40852	0.0667
40872	0.0714
40873	0.0769
40876	0.0714
40893	0.0588
41056	0.111
41091	0.0625
41136	0.0769
41176	0.0667
41206	0.0833
41221	0.125
41409	0.1
41487	0.0625
41934	0.167
42453	0.182
43280	0.222
43282	0.222
43791	0.167
43933	0.2
43935	0.182
43938	0.182
43998	0.0769
44000	0.0769
44001	0.0769
44002	0.0769
44080	0.333
44081	0.3
44088	0.222
44089	0.222
44090	0.222
44149	0.25
44150	0.2
44163	0.25
44502	0.25
44862	0.0769
44883	0.0556
45561	0.167
45565	0.2
45765	0.125
45789	0.111
45792	0.1
45810	0.111
45872	0.0588
45911	0.0588
45941	0.143
46038	0.125
46098	0.111
46099	0.1
46124	0.111
46183	0.111
46187	0.125
46501	0.1
46503	0.111
46505	0.1
46507	0.111
46510	0.1
46512	0.111
46514	0.111
46515	0.125
46840	0.111
47141	0.167
47249	0.0588
47736	0.0588
47774	0.0476
47781	0.0556
47848	0.0952
48057	0.125
48095	0.1
48096	0.0909
48100	0.2
48541	0.0833
48870	0.143
48874	0.111
48880	0.111
49027	0.0714
49029	0.0667
49030	0.0667
49141	0.1
49535	0.0769
50237	0.167
50370	0.1
50379	0.0833
50431	0.0909
50439	0.0909
50775	0.167
50797	0.125
50907	0.0833
50938	0.0526
50978	0.0625
51035	0.0588
51105	0.0667
51107	0.0769
51110	0.0769
51154	0.182
51253	0.143
51254	0.143
51255	0.125
51256	0.111
51257	0.111
51259	0.111
51673	0.0833
51814	0.143
51818	0.143
51934	0.1
52507	0.125
52509	0.125
52511	0.125
52657	0.0909
52659	0.0769
52679	0.0833
52739	0.0769
52751	0.0769
52753	0.133
52754	0.143
52756	0.143
52758	0.133
52771	0.0625
52787	0.0556
52820	0.0769
52890	0.0556
52912	0.133
53115	0.2
53486	0.4
53519	0.333
53520	0.333
53522	0.333
53523	0.333
53669	0.182
53671	0.167
53672	0.167
53673	0.167
53793	0.0625
53795	0.0625
53810	0.0667
53861	0.0769
54141	0.125
54494	0.0833
54784	0.125
54841	0.0909
55033	0.0667
55034	0.0667
55035	0.0714
55119	0.143
55136	0.0833
55183	0.0769
55184	0.0769
55185	0.0667
55541	0.0909
55584	0.154
56306	0.0714
56487	0.125
56550	0.0714
56613	0.0625
56615	0.0526
56708	0.0833
56740	0.0667
56764	0.0833
56765	0.0833
57730	0.0909
57732	0.0909
57735	0.0909
57749	0.0909
57880	0.1
57881	0.1
57883	0.1
58033	0.143
58051	0.125
60079	0.125
60083	0.111
60189	0.0909
60436	0.0909
60438	0.0909
60439	0.0909
60583	0.143
60585	0.143
60588	0.143
60589	0.143
60902	0.0909
60998	0.0833
61000	0.0833
61126	0.125
61145	0.125
61148	0.167
61151	0.167
61159	0.2
61208	0.143
61410	0.111
61412	0.111
61444	0.1
61445	0.1
61456	0.1
61518	0.0625
61560	0.0714
61562	0.0714
61582	0.0833
61587	0.0909
61606	0.0769
61721	0.125
62097	0.125
62150	0.1
62326	0.25
