site_id	JMother
629	0.25
632	0.25
777	0.125
907	0.2
913	0.2
928	0.167
934	0.143
958	0.143
970	0.125
988	0.167
1011	0.154
1033	0.0833
1099	0.222
1108	0.0909
1111	0.0909
1114	0.0909
1150	0.125
1153	0.375
1166	0.25
1234	0.429
1255	0.2
1261	0.4
1267	0.25
1284	0.111
1294	0.125
1312	0.143
1393	0.182
1411	0.1
1412	0.125
1486	0.5
1532	0.2
1561	0.25
1562	0.25
1631	0.25
1635	0.2
1763	0.143
1764	0.143
1767	0.143
1773	0.143
1775	0.143
1779	0.167
1782	0.167
1783	0.167
1914	0.143
1915	0.125
1917	0.143
1972	0.2
2029	0.5
2060	0.375
2160	0.222
2197	0.4
2212	0.25
2239	0.429
2245	0.286
2257	0.111
2266	0.25
2332	0.167
2333	0.2
2334	0.2
2341	0.375
2368	0.429
2380	0.375
2421	0.333
2484	0.0714
2488	0.143
2506	0.214
2596	0.0667
2638	0.5
2710	0.25
2723	0.5
2785	0.333
2803	0.5
2809	0.4
2824	0.2
2825	0.167
2975	0.0833
3100	0.2
3118	0.143
3137	0.0714
3200	0.0909
3210	0.167
3229	0.0909
3303	0.167
3526	0.333
3589	0.25
3646	0.25
3670	0.2
3747	0.286
3790	0.0769
3817	0.0769
3818	0.0769
3819	0.0909
3883	0.4
3891	0.5
3892	0.5
3895	0.5
3907	0.5
3913	0.5
3967	0.5
4063	0.333
4069	0.25
4085	0.25
4114	0.25
4139	0.5
4153	0.25
4378	0.2
4456	0.143
4640	0.143
4698	0.167
4707	0.167
4710	0.167
5203	0.111
5257	0.143
5273	0.125
5274	0.143
5276	0.125
5373	0.333
5397	0.333
5420	0.0909
5425	0.0909
5486	0.143
5492	0.429
5645	0.167
5646	0.286
5727	0.333
5748	0.429
5773	0.25
5792	0.286
5801	0.333
5973	0.25
6156	0.5
6212	0.125
6216	0.143
6221	0.25
6233	0.444
6319	0.444
6322	0.4
6329	0.333
6337	0.25
6339	0.25
6411	0.2
6481	0.1
6500	0.1
6523	0.1
6588	0.0909
6589	0.111
6655	0.25
6724	0.167
6783	0.333
6820	0.167
6885	0.167
6998	0.5
7029	0.2
7089	0.4
7101	0.4
7663	0.5
7684	0.5
7686	0.2
7705	0.286
7735	0.125
7835	0.143
7836	0.143
7837	0.143
7884	0.429
7906	0.5
7918	0.2
7921	0.2
7927	0.4
7933	0.2
7948	0.2
7969	0.2
7978	0.5
7984	0.5
7990	0.4
8026	0.333
8029	0.333
8044	0.5
8089	0.4
8255	0.0769
8256	0.0769
8257	0.0769
8290	0.0833
8305	0.182
8383	0.167
8407	0.1
8423	0.333
8482	0.1
8554	0.125
8617	0.429
8701	0.5
9048	0.0909
9074	0.0909
9152	0.375
9188	0.125
9221	0.333
9242	0.375
9248	0.25
9329	0.0909
9332	0.0909
9344	0.0909
9353	0.231
9362	0.0833
9401	0.143
9449	0.0714
9464	0.0769
9494	0.4
9503	0.4
9536	0.4
9560	0.2
9591	0.167
9629	0.2
9631	0.25
9635	0.2
9656	0.2
9809	0.2
9815	0.2
9893	0.25
9905	0.5
9935	0.5
9950	0.5
9971	0.5
9974	0.5
10106	0.444
10157	0.111
10201	0.2
10292	0.25
10316	0.3
10340	0.182
10364	0.2
10379	0.2
10454	0.167
10466	0.167
10469	0.2
10502	0.167
10511	0.167
10617	0.143
10742	0.125
10745	0.125
10802	0.167
10823	0.143
10859	0.2
10871	0.182
10969	0.0714
10995	0.4
11225	0.1
11333	0.1
11389	0.1
11454	0.0833
11577	0.444
11578	0.111
11583	0.111
11727	0.125
11729	0.125
11731	0.125
11732	0.125
11748	0.4
11787	0.429
11973	0.286
11976	0.167
11979	0.2
11984	0.167
12162	0.125
12180	0.0833
12254	0.0714
12285	0.0714
12288	0.0769
12291	0.0714
12311	0.0667
12339	0.231
12356	0.0833
12359	0.0833
12375	0.364
12450	0.4
12459	0.364
12493	0.0667
12558	0.467
12851	0.25
12866	0.1
12978	0.333
12981	0.2
13008	0.3
13043	0.222
13071	0.2
13086	0.25
13104	0.182
13182	0.143
13185	0.143
13233	0.5
13239	0.5
13242	0.5
13263	0.4
13269	0.25
13272	0.25
13275	0.4
13278	0.25
13293	0.429
13299	0.429
13302	0.429
13317	0.429
13326	0.429
13377	0.111
13386	0.111
13443	0.429
13451	0.429
13461	0.417
13476	0.182
13497	0.364
13500	0.273
13507	0.333
13512	0.333
13515	0.333
13518	0.333
13635	0.5
13901	0.125
14012	0.5
14015	0.5
14018	0.5
14024	0.417
14046	0.0769
14076	0.1
14078	0.5
14094	0.0909
14125	0.111
14132	0.1
14141	0.111
14180	0.111
14249	0.143
14252	0.143
14282	0.25
14288	0.25
14321	0.5
14329	0.5
14331	0.5
14363	0.25
14411	0.4
14429	0.4
14433	0.167
14462	0.4
14471	0.143
14474	0.429
14477	0.429
14481	0.167
14483	0.2
14651	0.333
14654	0.111
14695	0.222
14714	0.1
14729	0.333
14792	0.167
14807	0.333
14873	0.5
14876	0.5
14915	0.25
14927	0.25
15026	0.333
15068	0.167
15114	0.5
15198	0.2
15246	0.2
15334	0.5
15400	0.5
15409	0.5
15504	0.111
15536	0.455
15585	0.1
15608	0.167
15699	0.2
15952	0.25
15953	0.25
15954	0.25
16019	0.2
16102	0.125
16104	0.125
16140	0.429
16194	0.2
16203	0.2
16233	0.167
16411	0.4
16414	0.25
16450	0.5
16486	0.25
16539	0.5
16571	0.333
16651	0.5
16668	0.5
16724	0.5
17031	0.5
17684	0.2
17707	0.333
17772	0.5
17857	0.333
17872	0.333
18162	0.333
18164	0.333
18183	0.5
18202	0.333
18204	0.333
18281	0.25
18333	0.333
18351	0.286
18352	0.143
18353	0.143
18354	0.143
18597	0.25
18598	0.25
18599	0.25
18602	0.25
18750	0.333
18751	0.333
18882	0.5
18918	0.333
19029	0.375
19062	0.444
19083	0.182
19086	0.154
19101	0.222
19113	0.2
19167	0.231
19168	0.0769
19306	0.462
19354	0.4
19396	0.2
19564	0.429
19579	0.5
19633	0.333
19651	0.167
19746	0.143
19878	0.143
19895	0.333
20045	0.429
20079	0.111
20138	0.143
20233	0.0769
20401	0.0667
20423	0.462
20626	0.143
20840	0.143
21048	0.333
21113	0.25
21151	0.25
21158	0.25
21455	0.167
21458	0.167
21494	0.111
21545	0.111
21606	0.143
21610	0.167
21828	0.5
22035	0.286
22038	0.2
22041	0.4
22096	0.167
22149	0.1
22336	0.25
22338	0.25
22482	0.167
22520	0.2
22593	0.4
22647	0.167
22698	0.286
22726	0.167
22728	0.333
22746	0.2
22776	0.4
22884	0.25
22911	0.2
23163	0.167
23178	0.167
23208	0.2
23555	0.5
23597	0.5
23658	0.25
23737	0.0667
23744	0.0714
23822	0.4
23823	0.333
23832	0.333
24121	0.1
24123	0.1
24186	0.0909
24201	0.125
24233	0.1
24240	0.364
24249	0.375
24294	0.333
24316	0.111
24318	0.444
24345	0.375
24408	0.111
24434	0.125
24444	0.5
24450	0.111
24463	0.143
24464	0.125
24510	0.111
24578	0.429
24614	0.5
24615	0.333
24616	0.167
24636	0.143
24687	0.111
