site_id	W106_D5	W52_D1	W129_D5	W53_D1	W127_D5	W128_D5	W54_D5	W54_D1	W52_D5	W53_D5
77650	1	16	9	24	6	3	5	10	5	7
77652	1	18	9	25	6	3	4	12	5	7
77655	1	17	8	24	6	3	5	12	6	8
77656	1	19	8	26	5	3	5	12	6	8
77657	1	20	8	27	7	5	5	12	6	8
80794	15	137	49	113	39	32	43	58	37	45
81373	11	171	35	96	29	39	45	67	40	54
81374	10	174	39	96	30	39	44	69	42	54
82238	18	29	14	20	35	46	51	27	71	57
83269	7	78	19	64	21	14	25	34	31	32
85547	17	125	52	112	42	35	64	72	49	54
92559	15	37	18	37	40	53	51	19	62	77
92562	16	39	16	34	41	55	55	19	61	77
92563	16	39	16	37	39	56	49	18	61	78
92708	7	50	26	28	52	77	61	30	72	62
92709	7	55	27	29	51	79	67	32	70	62
92711	7	55	27	33	50	78	66	32	72	62
92756	10	63	34	41	51	69	62	31	73	51
92757	10	64	32	42	49	68	63	31	72	51
92905	15	3	6	2	29	43	47	2	58	45
92907	15	3	3	2	29	44	48	2	58	47
94104	9	27	17	26	34	45	44	24	45	49
94435	12	24	15	21	56	39	35	12	41	41
94835	8	1	1	1	34	53	49	1	50	58
94836	7	1	1	2	34	53	51	1	52	58
95092	11	20	22	20	33	36	59	11	65	36
99713	8	77	25	36	47	43	47	28	43	46
100817	15	25	8	16	24	36	50	19	51	47
100818	15	24	9	16	21	36	48	19	49	46
100819	15	23	8	16	22	34	49	19	48	46
100970	6	12	1	11	34	38	57	2	51	48
100972	5	12	1	11	31	34	56	2	48	47
102015	21	10	13	11	47	49	67	11	68	71
102601	18	12	4	20	57	62	55	10	51	54
103567	8	46	13	20	62	60	47	23	52	66
108573	3	27	9	14	12	5	6	11	11	18
108576	2	26	7	13	12	4	5	10	9	18
108581	1	16	6	11	9	4	3	7	7	12
108583	1	16	4	10	9	4	3	6	7	12
108586	1	14	5	10	8	4	3	6	7	11
108587	1	15	4	10	7	4	3	6	7	11
108636	6	64	16	24	17	10	24	19	19	19
108638	6	68	17	27	18	11	27	24	21	20
109147	4	42	22	25	12	11	16	26	18	16
109148	4	45	21	25	12	11	16	28	19	18
109152	2	33	18	26	8	11	13	21	12	12
109155	2	25	18	23	9	11	14	21	12	14
109158	1	22	15	18	9	9	14	14	8	12
109159	1	21	15	19	9	9	14	14	6	11
109223	6	44	10	32	14	14	24	25	18	22
109224	6	44	10	30	13	16	24	26	18	22
114826	14	170	78	116	35	54	64	87	63	65
114975	13	192	80	144	62	54	43	86	69	47
118090	5	81	30	64	15	19	28	46	25	35
118123	3	63	20	40	6	12	19	36	17	19
118124	3	62	21	42	6	12	19	35	17	18
118137	1	31	14	19	2	8	12	17	14	9
118139	2	33	14	18	2	8	11	18	15	9
118151	1	19	12	17	1	5	5	10	12	7
118258	9	73	12	50	10	15	16	15	17	16
118450	1	36	5	18	6	4	6	8	8	8
119252	14	108	46	65	42	44	23	55	32	58
119927	10	49	15	54	30	32	46	33	37	39
125010	14	15	1	14	28	39	33	6	20	28
125536	15	49	22	41	25	52	34	12	49	63
125684	10	2	2	3	29	35	49	2	21	48
125685	11	2	2	3	30	36	50	2	22	46
125687	14	2	2	3	34	36	51	2	27	49
126281	9	45	13	33	33	58	33	22	26	51
126283	9	47	13	34	32	62	35	23	29	48
133354	12	62	29	48	41	52	54	22	43	35
133487	3	10	4	8	13	16	14	3	16	13
133499	2	4	1	6	8	11	10	2	14	7
133801	18	16	2	7	49	45	56	13	32	33
135098	9	12	13	4	42	46	58	6	35	44
137107	5	79	38	69	37	30	43	57	34	30
137109	7	79	39	70	38	31	43	53	33	31
137736	6	42	50	36	37	49	49	37	52	36
138547	8	69	44	67	30	36	30	32	20	33
139416	5	64	35	60	52	46	51	30	65	67
139759	11	28	10	33	54	70	47	22	48	73
139760	11	27	10	32	51	70	45	20	47	70
139908	12	43	8	31	35	33	45	21	58	47
139909	13	48	8	34	35	34	49	22	60	47
139913	11	45	9	36	34	34	49	22	56	45
143138	16	115	45	74	38	31	40	54	31	41
143797	17	106	67	108	40	47	59	66	36	60
145513	3	46	12	21	19	15	11	19	20	18
145517	3	48	15	22	20	16	12	24	20	19
145523	4	44	15	19	16	11	18	18	18	17
146038	4	31	16	14	18	24	24	18	21	25
146042	3	28	14	14	16	22	23	15	20	22
146079	2	20	8	8	9	21	16	13	10	15
146092	1	15	6	6	5	9	11	12	8	10
146094	1	14	6	6	5	10	11	13	9	10
146113	1	11	5	7	3	8	9	11	7	8
146117	1	6	3	7	3	5	5	12	4	8
146120	1	7	4	6	4	3	5	11	4	5
146247	4	38	19	32	19	25	28	19	31	32
146788	14	100	55	78	30	48	29	42	28	39
146789	14	104	54	79	30	53	28	43	28	39
147433	4	5	2	2	54	54	54	2	49	71
148240	12	9	5	3	32	43	47	6	50	61
148616	8	22	9	9	37	36	45	6	48	48
149332	5	12	9	12	45	85	45	3	45	67
149471	10	24	14	15	52	48	42	3	49	36
149523	10	13	9	11	45	49	34	2	42	39
149617	11	3	2	5	39	51	47	2	55	51
149619	14	4	2	10	39	53	48	2	56	54
149621	14	4	2	11	39	53	48	2	55	54
149630	16	8	2	11	40	48	49	2	56	49
149718	16	8	2	12	29	47	46	2	49	57
150920	6	16	33	12	41	37	31	10	45	54
151386	14	13	26	20	43	59	30	10	45	41
152137	6	17	6	3	27	33	24	19	29	28
152139	5	15	6	3	27	31	21	17	26	26
152142	6	15	6	3	20	26	18	15	27	24
152143	6	16	6	4	19	25	17	15	27	24
152145	6	14	6	4	20	25	17	15	27	24
152147	5	14	5	2	19	22	16	13	23	23
152178	2	2	2	1	8	8	5	7	11	10
152180	2	1	1	1	8	8	4	7	8	10
152856	7	14	4	6	40	34	56	5	49	47
152858	6	14	5	6	44	43	64	5	55	55
153606	7	30	21	24	36	70	51	22	58	75
154236	9	35	31	35	39	49	34	27	55	55
154708	6	53	17	33	33	61	45	22	53	43
155091	14	87	58	68	36	43	41	54	42	48
155805	4	118	45	73	28	56	36	56	54	54
155955	9	120	44	73	34	37	44	49	40	34
156680	10	70	25	42	34	54	30	30	44	46
157432	12	115	52	65	40	41	57	63	47	59
157434	11	115	54	66	40	42	57	64	48	61
158124	3	24	17	15	6	10	15	7	5	14
158125	3	25	17	15	6	11	15	6	6	14
158127	3	23	17	15	9	15	17	7	7	18
158130	3	23	16	13	10	15	17	6	6	20
158132	2	14	15	6	8	15	12	5	5	18
160061	9	36	11	23	41	62	38	14	48	71
160478	11	31	7	30	49	49	32	14	40	53
161617	11	83	29	46	26	72	55	39	60	46
161854	10	20	7	11	6	11	10	2	6	12
161882	4	9	5	6	4	4	7	2	4	6
161883	4	9	5	5	4	4	7	2	4	6
161884	4	7	5	4	4	4	6	2	3	6
161887	2	3	1	4	4	1	4	2	3	6
161989	6	8	13	1	25	44	28	2	37	27
161990	6	8	13	1	23	46	30	2	35	26
164430	6	68	24	63	32	43	42	37	58	65
165158	22	146	55	60	70	59	54	43	54	64
166086	8	102	55	55	17	51	39	54	31	50
166167	11	108	44	50	36	48	55	44	40	42
167340	10	84	26	51	28	30	46	48	35	37
170175	8	101	48	76	39	52	36	36	38	52
170373	5	114	51	53	26	41	41	49	46	32
174276	2	21	12	25	14	24	15	14	10	26
174280	1	20	11	19	13	21	14	11	10	25
174282	2	20	10	19	12	19	13	10	9	26
174284	2	20	9	16	12	20	13	10	11	25
174298	1	15	9	15	9	16	8	7	8	16
174301	1	14	8	14	6	13	6	7	6	15
174302	1	15	8	14	6	13	6	7	6	15
174339	1	25	2	7	2	3	5	8	7	7
174361	1	42	14	20	13	19	13	18	24	14
175130	11	100	53	93	48	62	56	63	45	45
176302	5	63	24	62	29	33	25	43	38	35
176347	1	18	12	20	6	11	11	19	15	13
177972	11	98	48	86	28	38	33	53	36	40
178394	11	60	49	47	58	64	66	30	50	44
179252	14	93	63	61	48	72	52	53	56	61
179402	2	22	12	14	11	15	21	6	18	24
179403	2	21	7	13	10	14	21	6	17	21
179404	2	20	6	13	10	15	21	6	17	21
179405	2	21	6	13	11	15	21	6	17	20
179480	3	6	5	10	14	14	7	4	6	9
179481	3	6	5	10	14	15	7	4	6	9
179483	3	7	5	14	13	16	7	6	6	10
179485	3	7	5	14	14	19	7	7	6	10
179486	3	6	5	13	13	16	7	7	6	10
179487	3	8	5	13	14	19	7	7	8	10
179524	9	18	13	23	28	26	14	14	25	19
180592	4	112	43	67	17	66	34	46	52	56
182135	10	29	6	29	28	50	26	17	35	41
182335	13	36	11	19	23	39	20	16	30	60
182448	6	12	6	6	23	36	28	7	33	53
182573	4	14	7	8	15	28	32	3	18	23
182574	4	16	9	8	15	28	32	3	19	24
182575	4	16	9	8	14	30	29	4	19	23
183796	13	90	28	53	18	27	29	44	33	42
187305	5	97	40	77	24	39	55	55	40	45
187306	5	102	43	79	24	39	62	59	41	45
188550	11	22	10	17	38	64	61	7	51	69
189701	10	61	34	76	35	41	45	26	44	50
189750	8	41	30	61	26	41	44	22	54	45
189751	8	39	29	58	29	42	44	21	51	44
189768	4	25	22	37	29	37	42	16	36	35
190145	6	12	8	14	29	39	39	10	53	48
190162	7	14	4	16	29	42	41	13	52	51
190843	6	3	10	1	7	9	9	5	7	10
190845	5	3	8	2	7	9	8	5	8	9
190847	9	3	10	2	9	12	9	7	8	11
190849	9	3	10	2	9	12	8	7	10	11
190874	13	4	15	1	12	24	15	9	16	20
190990	15	23	36	25	37	67	41	22	46	62
190991	10	20	32	25	37	64	41	22	46	61
190993	8	20	33	27	37	61	44	22	47	62
190995	9	20	33	26	37	64	46	22	47	62
191915	6	41	18	23	42	60	55	22	48	61
194131	4	32	19	32	32	44	58	17	27	33
195652	24	111	64	73	31	66	56	42	38	46
196298	9	38	4	12	54	94	65	9	59	28
196585	8	34	18	21	57	64	59	18	49	44
197926	1	9	1	12	11	15	14	2	15	12
197927	1	9	1	12	11	15	14	2	15	12
200318	3	51	19	21	13	15	14	20	11	10
200342	3	30	14	13	9	9	9	14	6	8
207794	4	117	33	76	32	28	48	57	38	57
208837	7	6	1	1	18	20	31	1	17	20
208838	7	6	1	1	18	22	34	1	17	20
209140	6	9	2	13	21	36	29	8	28	46
209290	13	14	5	12	33	43	40	12	46	41
212373	16	132	50	86	41	71	56	60	59	66
217238	8	144	52	100	58	65	54	63	66	51
217749	12	34	20	18	45	44	60	23	67	75
218551	13	94	21	57	48	50	77	33	65	62
219307	14	12	5	13	43	60	62	9	37	38
220681	13	24	17	25	53	70	44	12	48	72
222316	5	8	5	1	36	25	41	8	31	31
224499	12	34	11	10	39	38	44	10	31	46
226531	11	7	1	4	42	59	59	3	62	66
232940	6	44	12	35	10	15	12	24	17	20
232965	1	17	6	7	4	4	5	13	5	4
232983	1	8	2	3	2	3	3	9	4	2
232984	1	8	2	3	2	3	3	9	4	2
232985	1	8	4	3	2	3	3	9	4	2
232986	1	6	3	3	2	3	3	9	3	2
233186	4	19	14	13	6	11	13	19	9	13
234292	6	103	30	59	35	45	48	64	42	35
234954	3	37	14	26	9	15	17	12	14	14
234955	2	40	13	26	10	15	18	14	14	15
235085	3	37	29	20	20	39	42	13	27	36
236771	1	16	7	13	11	7	4	13	11	9
236772	1	16	7	13	11	6	3	13	12	10
236773	1	15	7	13	11	7	4	13	12	10
236800	2	29	3	6	9	6	9	15	6	6
236801	2	30	3	6	9	6	9	15	6	6
236805	5	35	4	7	9	6	11	16	6	7
236806	5	34	4	7	10	6	10	17	6	7
236849	8	54	10	19	17	13	13	30	16	13
236850	8	53	10	19	17	11	11	31	16	13
236851	8	54	10	20	17	13	12	31	17	13
236874	11	78	15	24	27	17	18	42	22	16
240122	8	37	4	28	40	55	64	29	44	53
243003	4	67	16	52	43	43	40	24	33	39
243558	10	58	27	47	31	20	26	32	42	26
243708	8	68	18	48	42	39	31	26	42	39
243709	9	72	18	46	41	39	33	27	41	43
243819	12	41	5	27	40	26	46	12	53	45
243853	10	31	8	30	32	19	43	11	49	38
244283	3	32	7	15	9	2	4	11	2	15
245187	14	98	41	88	45	40	56	36	44	58
245688	7	32	23	24	27	53	68	37	43	51
245765	11	68	42	39	40	58	52	52	33	56
246246	7	84	35	52	21	30	33	37	26	41
246402	8	101	37	67	24	27	27	32	46	43
247195	1	89	35	57	20	35	29	42	36	35
248099	14	81	33	63	32	48	32	39	49	48
248831	11	110	56	54	32	33	35	44	41	45
251743	7	100	40	67	26	48	51	57	37	54
252074	7	107	44	83	41	58	43	55	40	36
252211	3	64	21	35	30	33	30	19	36	29
252259	2	34	8	21	14	18	11	14	21	9
252284	2	20	4	12	6	10	5	10	10	7
252328	2	22	8	4	7	10	8	6	8	9
