site_id	JMother
629	4
632	4
777	8
907	5
913	5
928	6
934	7
958	7
970	8
988	6
1011	13
1033	12
1099	9
1108	11
1111	11
1114	11
1150	8
1153	8
1166	4
1234	7
1255	5
1261	5
1267	8
1284	9
1294	8
1312	7
1393	11
1411	10
1412	8
1486	8
1532	5
1561	4
1562	4
1631	4
1635	5
1763	7
1764	7
1767	7
1773	7
1775	7
1779	6
1782	6
1783	6
1914	7
1915	8
1917	7
1972	5
2029	6
2060	8
2160	9
2197	10
2212	8
2239	7
2245	7
2257	9
2266	8
2332	6
2333	5
2334	5
2341	8
2368	7
2380	8
2421	9
2484	14
2488	14
2506	14
2596	15
2638	12
2710	4
2723	4
2785	3
2803	4
2809	5
2824	5
2825	6
2975	12
3100	15
3118	14
3137	14
3200	11
3210	12
3229	11
3303	6
3526	3
3589	4
3646	4
3670	5
3747	14
3790	13
3817	13
3818	13
3819	11
3883	5
3891	4
3892	4
3895	4
3907	4
3913	4
3967	2
4063	3
4069	4
4085	4
4114	4
4139	2
4153	4
4378	10
4456	7
4640	7
4698	6
4707	6
4710	6
5203	9
5257	7
5273	8
5274	7
5276	8
5373	9
5397	9
5420	11
5425	11
5486	7
5492	7
5645	6
5646	7
5727	6
5748	7
5773	8
5792	7
5801	6
5973	4
6156	2
6212	8
6216	7
6221	8
6233	9
6319	9
6322	10
6329	9
6337	8
6339	8
6411	10
6481	10
6500	10
6523	10
6588	11
6589	9
6655	8
6724	6
6783	3
6820	6
6885	6
6998	2
7029	5
7089	5
7101	5
7663	4
7684	4
7686	5
7705	7
7735	8
7835	7
7836	7
7837	7
7884	7
7906	6
7918	5
7921	5
7927	5
7933	5
7948	5
7969	5
7978	4
7984	4
7990	5
8026	3
8029	3
8044	4
8089	5
8255	13
8256	13
8257	13
8290	12
8305	11
8383	12
8407	10
8423	9
8482	10
8554	8
8617	7
8701	2
9048	11
9074	11
9152	8
9188	8
9221	9
9242	8
9248	8
9329	11
9332	11
9344	11
9353	13
9362	12
9401	14
9449	14
9464	13
9494	5
9503	5
9536	5
9560	5
9591	6
9629	5
9631	4
9635	5
9656	5
9809	5
9815	5
9893	4
9905	2
9935	4
9950	4
9971	6
9974	6
10106	9
10157	9
10201	10
10292	12
10316	10
10340	11
10364	5
10379	5
10454	6
10466	6
10469	5
10502	6
10511	6
10617	7
10742	8
10745	8
10802	12
10823	14
10859	10
10871	11
10969	14
10995	10
11225	10
11333	10
11389	10
11454	12
11577	9
11578	9
11583	9
11727	8
11729	8
11731	8
11732	8
11748	5
11787	7
11973	7
11976	6
11979	5
11984	6
12162	8
12180	12
12254	14
12285	14
12288	13
12291	14
12311	15
12339	13
12356	12
12359	12
12375	11
12450	15
12459	11
12493	15
12558	15
12851	12
12866	10
12978	6
12981	5
13008	10
13043	9
13071	10
13086	8
13104	11
13182	7
13185	7
13233	6
13239	6
13242	6
13263	5
13269	4
13272	4
13275	5
13278	4
13293	7
13299	7
13302	7
13317	7
13326	7
13377	9
13386	9
13443	7
13451	7
13461	12
13476	11
13497	11
13500	11
13507	12
13512	12
13515	12
13518	12
13635	12
13901	8
14012	14
14015	14
14018	14
14024	12
14046	13
14076	10
14078	10
14094	11
14125	9
14132	10
14141	9
14180	9
14249	7
14252	7
14282	4
14288	4
14321	2
14329	2
14331	2
14363	4
14411	5
14429	5
14433	6
14462	5
14471	7
14474	7
14477	7
14481	6
14483	5
14651	9
14654	9
14695	9
14714	10
14729	9
14792	6
14807	3
14873	2
14876	2
14915	4
14927	4
15026	6
15068	6
15114	4
15198	5
15246	5
15334	2
15400	2
15409	2
15504	9
15536	11
15585	10
15608	6
15699	5
15952	4
15953	4
15954	4
16019	10
16102	8
16104	8
16140	7
16194	5
16203	5
16233	6
16411	5
16414	4
16450	6
16486	4
16539	2
16571	3
16651	2
16668	2
16724	2
17031	2
17684	5
17707	6
17772	6
17857	6
17872	6
18162	3
18164	3
18183	2
18202	3
18204	3
18281	4
18333	6
18351	7
18352	7
18353	7
18354	7
18597	4
18598	4
18599	4
18602	4
18750	3
18751	3
18882	2
18918	3
19029	8
19062	9
19083	11
19086	13
19101	9
19113	10
19167	13
19168	13
19306	13
19354	5
19396	5
19564	7
19579	8
19633	6
19651	6
19746	7
19878	7
19895	12
20045	7
20079	9
20138	7
20233	13
20401	15
20423	13
20626	7
20840	7
21048	3
21113	4
21151	4
21158	4
21455	6
21458	6
21494	9
21545	9
21606	7
21610	6
21828	8
22035	7
22038	5
22041	5
22096	12
22149	10
22336	4
22338	4
22482	6
22520	5
22593	5
22647	6
22698	7
22726	6
22728	6
22746	5
22776	5
22884	4
22911	5
23163	6
23178	6
23208	5
23555	2
23597	2
23658	4
23737	15
23744	14
23822	5
23823	6
23832	6
24121	10
24123	10
24186	11
24201	8
24233	10
24240	11
24249	8
24294	6
24316	9
24318	9
24345	8
24408	9
24434	8
24444	8
24450	9
24463	7
24464	8
24510	9
24578	7
24614	6
24615	6
24616	6
24636	7
24687	9
24690	9
24726	8
24739	8
24898	8
