site_id	ZYMO_Standard
97	10
104	10
106	13
107	15
109	14
140	21
153	19
257	15
258	16
259	16
267	14
717	10
787	14
871	17
938	17
1464	16
1755	13
1756	15
1757	14
1760	13
1766	14
1880	14
1881	14
1889	16
1890	16
1908	14
1911	13
1912	12
1946	17
2046	12
2530	7
2534	8
2537	8
2539	7
2572	8
2620	10
2639	9
2722	9
2763	16
2764	16
2765	15
2766	18
2769	16
2880	20
2909	11
2911	12
2912	12
2917	10
2932	8
3103	16
3220	11
3667	6
4106	9
4288	16
4289	16
4306	17
4348	12
4439	11
4440	11
4441	11
4759	11
5018	14
5206	8
5340	4
5662	12
5701	12
5837	8
6058	6
6440	5
6528	9
6889	10
7052	13
7057	12
7165	6
7313	18
7314	18
7345	13
7356	12
7362	10
7364	10
7365	10
7370	10
7375	11
7508	10
7509	10
7510	10
7516	9
7799	22
7883	16
8175	11
8189	13
8324	12
8325	12
8655	10
9107	9
9238	15
9242	15
9385	11
9387	11
9388	12
9389	13
9391	13
9720	8
10090	3
10338	14
10410	17
10588	11
11029	10
11081	11
11816	9
11848	9
11968	4
12609	12
12756	15
12757	15
12758	14
12941	14
13593	10
13733	12
13880	6
13881	8
13882	8
14235	4
14236	4
14241	7
14382	17
14383	16
14390	11
14391	13
14567	14
14753	14
14754	14
14756	14
14905	7
14907	8
14909	8
14962	7
15099	5
15173	9
15178	8
15227	8
15496	9
15504	11
15537	10
15630	10
15652	8
15695	10
15706	9
15716	8
15717	9
15790	4
15816	5
15817	5
15818	7
15819	7
15967	9
15969	9
15971	9
16633	12
16664	19
16814	16
16832	19
16903	16
16923	21
17000	11
17003	14
17129	10
17135	10
17159	8
17299	11
17308	12
17310	12
17317	14
17320	13
17323	12
17351	13
17359	14
17460	9
17461	11
17462	11
17464	10
18126	10
18141	14
18143	13
18151	13
18163	12
18270	13
18426	17
18443	17
18446	17
18724	11
19218	15
19390	10
19391	11
19540	16
19542	17
20119	11
20120	11
20121	11
20126	10
20257	9
20269	6
20270	6
20974	5
20976	5
21123	11
21124	11
21127	9
21269	7
21270	7
21271	7
21420	8
21435	5
22561	16
22562	15
22563	16
22564	17
22696	22
22709	21
22714	21
22754	22
22757	20
22761	20
22763	21
22764	21
22841	14
22844	14
22846	15
22847	15
22936	10
23084	14
23087	12
23088	13
23090	13
23127	13
23129	12
23130	13
23133	13
23163	12
23199	11
23213	12
23214	14
23217	14
23355	13
23365	10
23366	10
23422	9
23423	9
23424	9
23492	12
23572	10
23573	10
23959	5
24100	11
24106	11
24107	12
24148	11
24291	10
24294	11
24297	11
24508	20
24510	20
24511	18
24555	16
24556	17
24559	16
24560	16
24562	15
24641	19
24658	16
24659	16
24660	15
24661	15
24666	15
24706	15
24710	15
24741	12
24748	10
24779	9
24780	10
24796	11
24820	14
24821	15
24925	18
24927	18
24929	18
24949	17
24971	13
25221	13
25430	15
25431	15
25436	16
25482	16
25521	11
25706	6
25960	14
26081	11
26084	11
26085	10
26542	6
26544	6
26697	8
26910	14
26995	17
27002	16
27172	12
27173	14
27223	11
27320	9
27322	9
27391	9
27604	6
28110	15
28547	16
28550	16
28551	15
28553	15
28554	15
28555	15
28556	15
28667	16
28670	18
28696	15
28698	15
28699	14
28700	15
28701	14
28703	15
28704	15
28815	13
28816	13
28818	13
28977	8
28982	12
29060	18
29063	17
29146	13
29173	16
29175	16
29179	15
29324	9
29325	10
29326	10
29329	9
29370	6
29662	5
29812	9
29954	9
29959	8
30300	7
30697	10
30808	9
30810	11
30813	9
31059	13
31150	13
31499	8
31847	6
32433	12
32825	9
32828	13
32835	13
32974	11
32975	10
32976	8
32979	8
32981	8
32982	8
32984	8
33130	8
33135	9
33139	12
33537	12
33891	16
33963	18
33975	20
34273	10
34708	7
35045	8
35121	10
35123	10
35213	17
35228	13
35272	13
35273	13
35275	13
35300	9
35394	9
35396	9
