site_id	JKid	ZYMO_Standard
46	0	1
49	0.2	1
50	0.167	0
52	0	1
54	0.167	0
55	0.167	0
64	0	0.333
73	0	1
141	0.0625	0
198	0.0588	0
199	0.0588	0
200	0.0625	0
203	0.0588	0
255	0.0667	0
290	0.0714	0
291	0.0714	0
292	0.0714	0
293	0.0714	0
321	0.167	0
330	1	0
363	0	1
436	0	1
504	1	0
516	1	0
612	1	0
621	0	0.0714
693	1	0
702	1	0
705	1	0
735	1	0
753	1	0
769	1	0
795	0	0.0833
811	0	0.0833
815	0	0.0909
860	0.1	0
902	0	1
911	0	1
961	0	0.0833
962	0	0.0833
963	0	0.0833
983	0	1
1040	0	0.0625
1043	1	0
1160	0	0.0909
1274	0	1
1309	0	0.143
1319	0	1
1431	0	0.0833
1493	0	0.133
1539	1	0
1544	0	0.0588
1558	0.0667	0
1590	0	1
1626	0	0.0909
1656	0.0714	1
1662	0	0.143
1716	0.0625	1
1760	0.0714	0
1815	0	1
1830	0.0556	1
1872	0.0769	1
1907	0	0.111
1911	0.0833	0
1968	0.133	1
2124	0	0.25
2126	0	0.25
2193	0	1
2199	0	1
2208	0	1
2211	0	1
2259	0	0.167
2272	0	0.0833
2304	0	1
2322	0	1
2338	0.0833	0
2388	0	1
2393	0.0526	0
2496	1	0
2510	1	0
2513	0.0909	0
2547	0.0667	0
2548	0.0667	0
2549	0.0667	0
2553	0	1
2588	0	0.143
2660	0.0769	0
2668	0	0.222
2673	0	1
2702	0.0909	0
2810	0.125	0
2931	1	0
3023	0	0.125
3031	0.143	0
3051	0	1
3063	0	1
3069	0	1
3117	0	1
3126	0	1
3127	0	0.2
3135	0	1
3210	0	1
3222	0	1
3439	0.0909	0
3447	0	1
3516	1	0
3600	1	0
3616	1	0
3630	1	0
3648	1	0
3674	0.111	0
3713	0	0.0833
3744	1	0
3771	0.111	0
3832	0.0909	0
3860	0.0714	0
3863	0	0.0667
3864	0	0.0714
3903	1	0
3944	0.0625	0
3957	0	0.0625
