site_id	JKid
420	39
431	44
448	50
471	65
489	66
500	68
506	56
508	63
538	52
569	53
614	46
705	45
726	42
729	45
730	43
773	40
877	42
932	39
933	39
983	56
985	57
986	57
997	56
1014	53
1024	54
1048	48
1080	49
1221	33
1247	32
1259	33
1266	33
1279	38
1282	36
1293	39
1352	43
1399	38
1400	38
1426	41
1427	39
1429	41
1442	52
1538	47
1546	47
1567	48
1575	42
1589	29
1626	34
1649	38
1674	34
1713	34
1715	34
1745	41
1765	41
1773	41
1776	40
1802	47
1860	49
1930	45
1940	42
2036	37
2114	42
2161	39
2232	50
2309	56
2310	56
2429	36
2466	41
2467	42
2545	51
2591	41
2728	44
2743	47
2744	45
2747	46
2748	47
2751	47
2753	47
2769	44
2794	49
2795	47
2798	49
2814	38
2933	36
2943	35
2987	29
3039	35
3061	37
3063	34
3129	26
3130	26
3131	27
3132	26
3147	32
3155	30
3172	33
3203	24
3205	27
3207	28
3209	28
3212	27
3229	29
3231	30
3276	31
3356	23
3359	24
3360	27
3361	27
3362	26
3651	37
3660	36
3772	26
3806	32
3816	34
3935	39
3958	44
3959	44
4056	34
4065	45
4066	45
4104	43
4107	42
4108	43
4109	43
4129	38
4172	37
4265	50
4266	50
4279	50
4321	56
4409	45
4415	44
4416	44
4417	43
4418	44
4440	57
4449	61
4452	61
4466	48
4468	48
4493	54
4494	56
4527	64
4534	65
4550	64
4643	37
4645	35
4651	34
4751	26
4806	30
4939	25
4977	44
4986	45
5062	46
5064	48
5150	52
5196	59
5197	61
5208	55
5209	55
5211	59
5212	58
5215	53
5240	59
5254	40
5263	47
5292	54
5302	53
5304	53
5307	52
5315	48
5339	50
5340	47
5341	49
5342	50
5344	47
5345	48
5348	48
5383	53
5392	52
5395	52
5396	54
5397	52
5402	54
5537	51
5541	48
5546	47
5547	47
5548	47
5551	44
5573	37
5591	38
5607	39
5678	38
5722	41
5724	47
5754	53
5833	60
5876	60
5878	57
5916	41
5933	48
5935	47
5937	48
5943	50
6010	43
6079	36
6080	37
6082	38
6085	41
6197	34
6290	31
6308	35
6340	35
6381	36
6385	34
6387	33
6397	29
6444	31
6447	30
6458	26
6459	26
6483	32
6496	29
6514	26
6515	26
6516	25
6517	29
6529	30
6531	29
6533	31
6558	29
6618	27
6641	24
6649	22
6653	24
6655	24
6663	28
6664	26
6704	27
6760	34
6770	34
6835	37
6855	40
6918	32
7028	38
7031	37
7104	46
7110	42
7132	44
7163	45
7227	46
7228	47
7256	50
7307	49
7312	54
7313	51
7330	49
7375	41
7376	42
7379	40
7475	41
7477	39
7531	45
7551	49
7554	50
7555	50
7581	56
7590	55
7653	54
7701	48
7704	48
7730	53
7739	56
7740	57
7786	50
7814	60
7815	58
7816	63
7821	65
7829	67
7830	70
7831	73
7840	78
7850	78
7856	77
7867	74
7868	73
7895	57
7898	55
7901	54
7972	39
7973	45
7975	47
7977	42
7979	41
7980	41
8041	43
8050	42
8282	45
8313	35
8360	29
8399	35
8400	34
8408	33
8414	36
8422	37
8424	37
8512	42
8521	45
8540	46
8552	49
8584	50
8586	50
8618	40
8654	50
8656	48
8657	50
8658	51
8662	48
8685	47
8738	46
8743	51
8768	44
8805	45
8809	44
8811	46
8835	46
8858	36
8859	37
8863	39
8876	38
8899	39
8903	39
8920	38
8922	38
8924	38
8925	39
8932	43
8948	44
8952	44
8961	49
9002	45
9003	47
9005	47
9006	49
9043	62
9045	60
9069	54
9072	56
9099	59
9108	51
9206	52
9246	38
9310	46
9320	52
9348	57
9352	58
9377	58
9407	65
9421	63
9423	68
9424	67
9429	65
9471	63
9472	62
9483	70
9484	69
9514	53
9539	56
9547	49
9557	55
9561	49
9567	49
9568	50
9573	49
9574	47
9578	47
9614	45
9618	45
9620	46
9623	44
9626	44
9704	42
9707	46
9708	46
9711	44
9712	47
9713	48
9715	49
9716	50
9849	46
9855	46
9857	46
9917	45
9972	35
10002	42
10005	41
10015	46
10020	47
10042	54
10043	54
10048	52
10113	56
10119	58
10131	55
10173	40
10191	29
10192	29
10195	28
10323	27
10324	27
10325	26
10353	29
10445	38
10480	49
10484	50
10487	51
10491	49
10525	56
10526	59
10575	59
10631	60
10633	56
10645	63
10672	56
10673	52
10674	51
10676	53
10677	54
10793	48
10797	52
10799	51
10828	42
10852	49
10857	47
10873	39
10897	44
10903	45
11048	51
11049	51
11050	51
11061	47
11086	53
11104	52
11117	51
11166	47
11214	67
11243	63
11267	57
11277	60
11310	49
11351	57
11364	61
11371	58
11428	55
11430	54
11504	53
11578	42
11630	48
11683	62
11694	59
11702	62
11703	61
11707	61
11720	56
11778	56
11780	51
11807	65
11909	67
11995	48
12020	52
12022	52
12046	56
12059	56
12074	57
12169	61
12286	52
12287	52
12301	47
12308	49
12310	53
12312	54
12313	60
12314	62
12316	63
12317	63
12357	52
12363	54
12408	49
12431	52
12436	47
12437	47
12438	46
12443	44
12455	57
12480	42
12528	43
12578	39
12604	42
12648	53
12666	58
12685	47
12690	47
12706	43
12732	48
12751	41
12753	41
12778	43
12779	43
12781	41
12817	42
12828	42
12892	43
12923	40
12928	40
12932	40
12966	29
12981	34
13063	41
13074	40
13082	41
13083	40
13111	37
13124	36
13125	37
13128	39
13139	29
13182	43
13190	41
13191	40
13281	44
13295	46
13334	36
13337	37
13389	34
13443	49
13509	54
13511	55
13612	61
13641	81
13643	84
13644	82
13645	84
13646	78
13656	86
13661	85
13662	86
13688	73
13778	53
13789	56
13792	59
13793	59
13839	52
13841	56
13842	59
13850	64
13882	72
13892	67
13912	67
13925	66
13932	61
13935	57
13959	55
13978	47
13981	50
13983	48
13985	49
13986	51
13987	50
14033	34
14063	47
14084	44
14085	46
14086	47
14133	45
14145	48
14198	53
14203	57
14204	47
14208	45
14219	50
14236	59
14250	62
14260	63
14277	64
14281	70
14293	65
14335	67
14362	65
14370	66
14375	64
14411	55
14471	61
14485	58
14504	49
14510	55
14512	57
14514	60
14516	57
14540	56
14566	63
14585	67
14591	64
14608	64
14619	65
14625	64
14703	65
14718	59
14728	57
14729	57
14764	56
14773	54
14791	49
14800	51
14825	55
14831	54
14836	51
14846	42
14893	38
14914	48
14922	51
14926	55
14978	61
15019	54
15027	55
15029	55
15032	51
15042	59
15106	40
15109	40
15172	53
15175	57
15179	51
15181	56
15252	51
15258	51
15259	52
15261	52
15322	46
15351	53
15352	54
15354	51
15418	41
15425	43
15426	45
15427	43
15476	48
15485	44
15501	42
15503	45
15504	44
15568	69
15570	66
15571	67
15576	66
15582	64
15610	73
15613	70
15628	69
15670	71
15671	74
15686	64
15691	69
15692	68
15757	57
15765	54
15766	55
15767	55
15773	56
15783	57
15801	64
15836	60
15837	60
15838	61
15948	79
15956	81
