site_id	SPIT_JP_VIROME_3
1002	0.25
1359	0.5
1360	0.5
1363	0.167
1394	0.333
1555	0.5
1562	0.5
1680	0.222
1741	0.25
1743	0.25
1755	0.167
1756	0.167
1757	0.2
1761	0.167
1771	0.25
1789	0.2
1823	0.125
1835	0.25
1898	0.375
1913	0.5
1964	0.143
1976	0.143
1983	0.111
1985	0.333
2003	0.5
2006	0.286
2009	0.333
2024	0.286
2039	0.429
2042	0.5
2087	0.5
2126	0.333
2228	0.5
2285	0.5
2288	0.5
2326	0.5
2330	0.5
2333	0.5
2414	0.5
2431	0.333
2432	0.25
2435	0.2
2474	0.286
2480	0.286
2507	0.286
2516	0.125
2519	0.5
2531	0.25
2537	0.25
2546	0.333
2564	0.25
2583	0.167
2584	0.167
2588	0.2
2610	0.333
2630	0.375
2639	0.333
2653	0.111
2657	0.3
2667	0.111
2688	0.222
2858	0.286
2861	0.5
2882	0.375
2891	0.25
2912	0.222
2921	0.2
2975	0.2
3156	0.444
3261	0.3
3264	0.125
3270	0.286
3275	0.125
3303	0.167
3312	0.2
3321	0.5
3357	0.5
3385	0.333
3386	0.333
3402	0.333
3412	0.5
3420	0.4
3429	0.4
3567	0.25
3570	0.333
3576	0.4
3606	0.143
3630	0.143
3674	0.111
3711	0.25
3723	0.333
3738	0.222
3783	0.125
3786	0.375
3805	0.111
3813	0.222
3817	0.444
3819	0.333
3822	0.25
3828	0.25
3834	0.25
3837	0.25
3841	0.111
3843	0.111
3861	0.3
3890	0.2
3900	0.3
3903	0.444
3908	0.333
3920	0.111
3921	0.333
3957	0.125
3981	0.125
3995	0.143
4004	0.167
4112	0.167
4173	0.429
4203	0.375
4215	0.375
4298	0.333
4337	0.333
4403	0.333
4418	0.5
4457	0.1
4488	0.2
4530	0.333
4553	0.333
4592	0.429
4613	0.143
4721	0.5
4733	0.333
4736	0.429
4748	0.167
4751	0.167
4758	0.333
4778	0.2
4835	0.3
4856	0.25
4865	0.333
4874	0.25
4886	0.286
4903	0.125
4925	0.4
5057	0.1
5075	0.2
5078	0.3
5090	0.286
5093	0.286
5096	0.286
5186	0.5
5189	0.5
5234	0.333
5237	0.333
5240	0.333
5297	0.5
5324	0.25
5386	0.286
5402	0.429
5468	0.4
5471	0.25
5486	0.25
5513	0.333
5759	0.333
5822	0.5
5837	0.333
5987	0.5
6026	0.167
6038	0.429
6044	0.429
6068	0.286
6078	0.111
6170	0.286
6173	0.286
6176	0.286
6230	0.125
6277	0.111
6320	0.1
6345	0.111
6429	0.3
6459	0.3
6470	0.111
6473	0.4
6475	0.111
6481	0.2
6492	0.1
6503	0.286
6504	0.167
6528	0.2
6533	0.25
6556	0.333
6557	0.333
6558	0.5
6564	0.5
6929	0.5
6971	0.25
7034	0.333
