site_id	JKid
420	0.0256
431	0.0227
448	0.02
471	0.0308
489	0.0152
500	0.0294
506	0.0179
508	0.0159
538	0.0192
569	0.0189
614	0.0217
705	0.0444
726	0.0238
729	0.0222
730	0.0233
773	0.025
877	0.0238
932	0.0256
933	0.0256
983	0.0179
985	0.0175
986	0.0175
997	0.0179
1014	0.0189
1024	0.037
1048	0.0208
1080	0.0204
1221	0.0303
1247	0.0312
1259	0.0303
1266	0.0303
1279	0.0526
1282	0.0278
1293	0.0256
1352	0.0465
1399	0.0263
1400	0.0263
1426	0.0244
1427	0.0256
1429	0.0244
1442	0.0192
1538	0.0213
1546	0.0213
1567	0.0208
1575	0.0238
1589	0.0345
1626	0.0294
1649	0.0263
1674	0.0294
1713	0.0294
1715	0.0294
1745	0.0488
1765	0.0244
1773	0.0244
1776	0.025
1802	0.0213
1860	0.0204
1930	0.0222
1940	0.0238
2036	0.0541
2114	0.0238
2161	0.0256
2232	0.02
2309	0.0179
2310	0.0179
2429	0.0278
2466	0.0244
2467	0.0238
2545	0.0196
2591	0.0244
2728	0.0227
2743	0.0213
2744	0.0222
2747	0.0217
2748	0.0213
2751	0.0213
2753	0.0213
2769	0.0227
2794	0.0204
2795	0.0213
2798	0.0204
2814	0.0263
2933	0.0556
2943	0.0286
2987	0.0345
3039	0.0286
3061	0.027
3063	0.0294
3129	0.0385
3130	0.0385
3131	0.037
3132	0.0385
3147	0.0312
3155	0.0333
3172	0.0303
3203	0.0417
3205	0.037
3207	0.0357
3209	0.0357
3212	0.037
3229	0.0345
3231	0.0333
3276	0.0323
3356	0.0435
3359	0.0417
3360	0.037
3361	0.037
3362	0.0385
3651	0.0811
3660	0.0833
3772	0.0385
3806	0.0312
3816	0.0294
3935	0.0256
3958	0.0227
3959	0.0227
4056	0.0294
4065	0.0222
4066	0.0222
4104	0.0233
4107	0.0238
4108	0.0233
4109	0.0233
4129	0.0263
4172	0.027
4265	0.02
4266	0.02
4279	0.02
4321	0.0179
4409	0.0222
4415	0.0227
4416	0.0227
4417	0.0233
4418	0.0227
4440	0.0175
4449	0.0164
4452	0.0164
4466	0.0208
4468	0.0208
4493	0.0185
4494	0.0179
4527	0.0156
4534	0.0154
4550	0.0312
4643	0.027
4645	0.0286
4651	0.0294
4751	0.0385
4806	0.0333
4939	0.08
4977	0.0227
4986	0.0222
5062	0.0217
5064	0.0208
5150	0.0192
5196	0.0169
5197	0.0164
5208	0.0182
5209	0.0182
5211	0.0169
5212	0.0172
5215	0.0377
5240	0.0169
5254	0.025
5263	0.0213
5292	0.0185
5302	0.0189
5304	0.0189
5307	0.0192
5315	0.0208
5339	0.02
5340	0.0213
5341	0.0204
5342	0.02
5344	0.0213
5345	0.0208
5348	0.0208
5383	0.0189
5392	0.0192
5395	0.0192
5396	0.0185
5397	0.0192
5402	0.0185
5537	0.0196
5541	0.0208
5546	0.0213
5547	0.0213
5548	0.0213
5551	0.0227
5573	0.027
5591	0.0263
5607	0.0256
5678	0.0263
5722	0.0244
5724	0.0213
5754	0.0189
5833	0.0167
5876	0.0167
5878	0.0175
5916	0.0244
5933	0.0208
5935	0.0213
5937	0.0208
5943	0.02
6010	0.0233
6079	0.0278
6080	0.027
6082	0.0263
6085	0.0244
6197	0.0294
6290	0.0323
6308	0.0571
6340	0.0286
6381	0.0278
6385	0.0294
6387	0.0303
6397	0.0345
6444	0.0323
6447	0.0333
6458	0.0769
6459	0.0769
6483	0.0312
6496	0.0345
6514	0.0385
6515	0.0385
6516	0.04
6517	0.0345
6529	0.0333
6531	0.0345
6533	0.0323
6558	0.0345
6618	0.037
6641	0.0417
6649	0.0455
6653	0.0417
6655	0.0417
6663	0.0357
6664	0.0385
6704	0.037
6760	0.0294
6770	0.0294
6835	0.027
6855	0.025
6918	0.0312
7028	0.0263
7031	0.027
7104	0.0217
7110	0.0238
7132	0.0227
7163	0.0222
7227	0.0435
7228	0.0426
7256	0.02
7307	0.0408
7312	0.0185
7313	0.0196
7330	0.0204
7375	0.0488
7376	0.0476
7379	0.05
7475	0.0244
7477	0.0256
7531	0.0222
7551	0.0204
7554	0.02
7555	0.02
7581	0.0179
7590	0.0182
7653	0.0185
7701	0.0208
7704	0.0208
7730	0.0189
7739	0.0179
7740	0.0175
7786	0.02
7814	0.0333
7815	0.0172
7816	0.0159
7821	0.0308
7829	0.0149
7830	0.0143
7831	0.0137
7840	0.0128
7850	0.0256
7856	0.013
7867	0.0135
7868	0.0137
7895	0.0175
7898	0.0182
7901	0.0185
7972	0.0256
7973	0.0222
7975	0.0213
7977	0.0238
7979	0.0244
7980	0.0244
8041	0.0233
8050	0.0476
8282	0.0222
8313	0.0286
8360	0.0345
8399	0.0286
8400	0.0294
8408	0.0303
8414	0.0278
8422	0.027
8424	0.027
8512	0.0238
8521	0.0444
8540	0.0217
8552	0.0204
8584	0.02
8586	0.02
8618	0.025
8654	0.02
8656	0.0208
8657	0.02
8658	0.0196
8662	0.0208
8685	0.0213
8738	0.0217
8743	0.0196
8768	0.0227
8805	0.0222
8809	0.0227
8811	0.0217
8835	0.0217
8858	0.0278
8859	0.027
8863	0.0256
8876	0.0263
8899	0.0256
8903	0.0256
8920	0.0263
8922	0.0263
8924	0.0263
8925	0.0256
8932	0.0233
8948	0.0227
8952	0.0227
8961	0.0204
9002	0.0222
9003	0.0213
9005	0.0213
9006	0.0204
9043	0.0161
9045	0.0167
9069	0.0185
9072	0.0179
9099	0.0339
9108	0.0196
9206	0.0192
9246	0.0263
9310	0.0217
9320	0.0192
9348	0.0351
9352	0.0172
9377	0.0172
9407	0.0154
9421	0.0317
9423	0.0147
9424	0.0149
9429	0.0154
9471	0.0159
9472	0.0161
9483	0.0143
9484	0.0145
9514	0.0189
9539	0.0179
9547	0.0204
9557	0.0182
9561	0.0204
9567	0.0204
9568	0.02
9573	0.0204
9574	0.0213
9578	0.0213
9614	0.0222
9618	0.0222
9620	0.0217
9623	0.0227
9626	0.0227
9704	0.0238
9707	0.0217
9708	0.0217
9711	0.0227
9712	0.0426
9713	0.0208
9715	0.0204
9716	0.02
9849	0.0217
9855	0.0217
9857	0.0217
9917	0.0222
9972	0.0571
10002	0.0238
10005	0.0244
10015	0.0435
10020	0.0213
10042	0.0741
10043	0.0741
10048	0.0577
10113	0.0179
10119	0.0172
10131	0.0182
10173	0.025
10191	0.138
10192	0.138
10195	0.143
10323	0.037
10324	0.037
10325	0.0385
10353	0.0345
10445	0.0263
10480	0.0204
10484	0.02
10487	0.0392
10491	0.0204
10525	0.0179
10526	0.0169
10575	0.0169
10631	0.0167
10633	0.0357
10645	0.0159
10672	0.0179
10673	0.0192
10674	0.0196
10676	0.0189
10677	0.0185
10793	0.0208
10797	0.0192
10799	0.0196
10828	0.0238
10852	0.0204
10857	0.0213
10873	0.0256
10897	0.0227
10903	0.0222
11048	0.0196
11049	0.0196
11050	0.0196
11061	0.0213
11086	0.0189
11104	0.0192
11117	0.0392
11166	0.0213
11214	0.0149
11243	0.0159
11267	0.0175
11277	0.0167
11310	0.0204
11351	0.0175
11364	0.0492
11371	0.0172
11428	0.0182
11430	0.0185
11504	0.0189
11578	0.0238
11630	0.0208
11683	0.0161
11694	0.0169
11702	0.0161
11703	0.0164
11707	0.0164
11720	0.0179
11778	0.0179
11780	0.0196
11807	0.0154
11909	0.0149
11995	0.0208
12020	0.0192
12022	0.0385
