site_id	Mock_3	Mock_6	Mock_1	Mock_5
5040	15	10	11	15
5108	14	8	12	11
5112	12	8	14	11
5113	13	8	15	12
5117	11	7	14	11
5172	14	5	11	16
5175	15	5	12	17
5176	15	4	12	17
5177	15	5	12	17
5178	15	5	12	17
5179	15	5	12	16
5181	15	4	12	17
5182	15	4	12	17
5207	16	8	16	14
5294	16	11	15	9
5324	16	11	13	6
5325	16	11	11	8
5472	10	10	9	8
5474	10	10	9	8
5475	9	9	8	8
5480	9	6	9	7
5573	12	11	11	9
5605	11	11	8	8
5614	12	9	11	8
5633	13	13	12	7
5677	12	12	12	7
5678	12	12	12	8
5795	5	7	13	9
5807	5	8	12	9
5824	6	7	9	9
6439	11	3	11	11
6451	10	4	17	13
6481	7	2	17	10
6513	5	3	12	10
6514	5	3	12	10
6515	4	3	12	9
6523	5	3	12	7
6617	11	6	5	9
6635	16	8	4	10
6662	17	7	5	11
6664	17	7	5	13
6665	17	7	5	12
6757	13	6	7	11
6758	14	6	7	12
6759	14	6	7	12
6774	14	6	10	15
6819	13	8	7	17
6820	13	8	7	17
6823	11	7	7	20
6828	11	6	7	20
6847	11	7	7	19
6848	11	7	8	20
6853	10	7	7	19
6862	11	8	7	20
6873	10	9	9	20
6876	11	10	7	21
6877	11	10	8	21
6878	12	9	6	21
6882	12	9	8	19
6905	10	11	7	18
6908	12	11	10	18
6909	11	11	10	17
6911	13	11	10	18
6966	12	9	6	14
6968	13	8	6	13
6969	13	8	6	12
7026	9	6	5	5
7027	11	6	5	5
7028	9	6	4	5
7050	8	7	7	9
7066	8	7	8	8
7085	4	10	8	10
7090	7	10	9	9
7092	7	10	8	9
7093	7	10	9	9
7148	3	7	15	8
7168	4	8	17	9
7208	4	9	14	6
7233	3	9	14	6
7234	3	9	15	6
7237	4	8	17	6
7239	4	9	16	7
7353	9	15	10	11
7359	9	15	14	14
7360	9	15	14	14
7383	13	12	12	13
7396	11	13	11	11
7559	8	6	11	8
7698	11	8	11	11
7699	11	8	11	11
7845	17	13	7	8
7846	17	12	7	8
7848	17	12	7	8
7849	17	11	7	9
7870	10	12	10	11
7921	15	12	6	14
7938	15	8	7	12
7993	15	9	6	11
7994	15	9	5	11
7995	15	9	5	11
8432	2	6	6	4
8672	13	9	8	10
8674	12	10	7	10
8675	12	10	7	10
8703	12	7	5	13
8705	11	6	6	12
9072	16	8	15	18
9216	12	6	8	15
9218	12	7	9	17
9219	11	7	9	16
9221	11	7	9	15
9274	6	5	10	12
9313	7	5	10	10
9354	6	6	5	10
9365	6	6	4	9
9375	5	6	3	9
9389	4	5	3	11
9404	4	5	3	11
9489	4	9	7	11
9494	3	9	7	12
