site_id	SP8704_full
106	0.143
658	0.167
868	0.5
1478	0.308
1495	0.0714
1961	0.0769
2520	0.0476
2683	0.1
2723	0.0909
2726	0.0909
2872	0.0769
2874	0.0833
2879	0.0714
3222	0.0667
3334	0.0833
3356	0.0769
3420	0.0833
3444	0.0714
5946	0.0526
6044	0.143
6598	0.0556
6679	0.0952
6932	0.0625
6949	0.0556
7094	0.0714
7538	0.0556
8651	0.0625
8654	0.0667
8655	0.0625
8685	0.143
8801	0.0588
8805	0.118
9200	0.0625
9207	0.0625
9664	0.1
9698	0.1
9730	0.1
9815	0.143
9816	0.143
9817	0.167
9822	0.2
10672	0.25
12374	0.333
12377	0.25
12452	0.0714
12453	0.0714
12525	0.0625
12526	0.0625
12560	0.0909
12568	0.111
12569	0.111
12570	0.111
12599	0.1
12602	0.111
12712	0.0667
12714	0.0667
12715	0.0667
12756	0.0625
12887	0.0625
13989	0.1
14690	0.0909
15100	0.0625
15380	0.25
16447	0.0833
16635	0.0714
16849	0.143
17470	0.0625
17607	0.133
17608	0.133
17644	0.0476
17728	0.05
18234	0.05
18481	0.111
18540	0.154
18628	0.0588
18630	0.0588
18631	0.0588
18744	0.105
18759	0.0476
19943	0.125
19947	0.125
19948	0.143
20064	0.0588
20065	0.0714
20089	0.0625
20094	0.0667
20098	0.0625
20115	0.0588
20117	0.0588
20119	0.0588
20120	0.0588
20318	0.182
20411	0.2
20449	0.1
20540	0.0769
20541	0.0769
20600	0.0833
20636	0.111
20684	0.25
20699	0.167
20796	0.0833
20850	0.182
20917	0.0833
20958	0.0714
21176	0.0588
21227	0.0556
21744	0.0714
21824	0.05
21830	0.05
22098	0.143
22428	0.1
22457	0.0625
22465	0.0526
22482	0.05
22822	0.0625
22823	0.0667
22824	0.0714
22831	0.0625
22972	0.0909
22974	0.0909
23105	0.333
23245	0.0769
23256	0.0625
23261	0.0667
23267	0.0556
23268	0.0556
23417	0.0476
23492	0.0667
23748	0.05
23838	0.0476
23877	0.0556
24017	0.1
24019	0.0909
24034	0.0909
24233	0.05
24416	0.143
24458	0.143
24460	0.25
24584	0.05
24680	0.0714
24766	0.2
24767	0.2
24770	0.2
24845	0.143
24869	0.0556
24914	0.0476
25019	0.0714
25332	0.0833
25884	0.0909
26255	0.0667
26371	0.0714
26696	0.0588
26780	0.0714
26781	0.0714
26783	0.0714
26786	0.0714
26789	0.0769
26931	0.125
26932	0.125
26933	0.125
26935	0.125
26936	0.143
27052	0.118
27053	0.118
27054	0.118
27055	0.118
27201	0.154
27202	0.143
27204	0.143
27259	0.0769
27294	0.1
27341	0.0833
27411	0.0909
27442	0.182
27452	0.0909
27463	0.0769
27488	0.0909
27607	0.0476
27684	0.0625
27757	0.0833
27848	0.0625
27947	0.0476
28014	0.05
28030	0.0588
28057	0.0833
28058	0.0769
28060	0.0833
28062	0.0769
28064	0.0833
28065	0.0714
28067	0.0909
28298	0.222
28666	0.2
28668	0.25
28669	0.25
28970	0.1
29431	0.0769
29442	0.0588
29549	0.0556
29584	0.0526
29592	0.0476
29647	0.15
29650	0.15
29651	0.15
29653	0.143
29654	0.143
29856	0.0714
29923	0.0667
30074	0.0476
30210	0.2
30272	0.0909
30456	0.0714
30565	0.1
30677	0.125
30832	0.167
31226	0.111
31465	0.0769
31508	0.0588
31510	0.0556
31529	0.0667
32356	0.118
32357	0.0625
32411	0.1
32412	0.1
32561	0.0769
32563	0.0667
32564	0.0667
32565	0.0667
34923	0.0667
34938	0.0714
34947	0.0667
34988	0.0769
35348	0.0556
35350	0.0556
35566	0.19
36989	0.2
37062	0.25
37063	0.25
37212	0.182
37214	0.2
37372	0.2
37373	0.2
37520	0.1
37522	0.0909
37524	0.1
37527	0.0714
37914	0.2
39361	0.25
39796	0.0769
40046	0.111
40121	0.0769
40266	0.0833
40310	0.0714
40371	0.0625
40414	0.0714
40518	0.0667
40520	0.143
40521	0.0833
40522	0.0714
40628	0.0625
40675	0.0526
40900	0.143
41620	0.0769
41972	0.2
42116	0.167
42197	0.143
42346	0.167
42347	0.2
42717	0.1
42718	0.0909
42807	0.111
42839	0.1
42867	0.0909
42868	0.0833
42963	0.0556
43045	0.0588
43186	0.0667
43232	0.0909
43423	0.143
43482	0.0625
43498	0.0714
43526	0.1
