site_id	JMother
108	4
112	4
120	7
121	7
122	7
261	9
265	8
270	6
272	6
274	6
283	6
289	7
326	7
733	7
804	7
871	8
1288	11
1290	10
1395	8
1434	7
1438	7
1865	7
1928	9
2316	13
2522	12
2530	11
2546	12
2560	12
2579	13
2582	13
2592	12
2657	13
2675	9
2678	9
2681	11
2696	8
2712	12
2713	11
2716	11
2720	9
2723	10
2864	9
3034	13
3358	8
3395	11
3428	10
3455	9
3641	9
4567	12
5945	8
6614	8
7353	9
7371	12
7520	9
7522	9
7525	9
7526	9
7766	4
7822	7
8456	4
9149	13
9164	13
9238	10
9249	8
9260	6
9262	6
9465	5
9579	6
9618	6
9671	9
9719	9
9820	4
9822	5
9872	8
10179	3
10353	6
10501	8
10590	9
10959	11
11562	5
12187	8
13128	8
13200	3
13202	3
13351	3
13352	3
13636	11
13637	12
13638	12
13874	9
14132	10
14133	10
14576	7
14749	3
15728	9
15730	9
15849	12
15850	12
16958	8
17371	7
17396	12
17397	12
18443	9
18700	7
18701	7
19016	5
19024	5
19029	6
19059	4
19071	5
19095	4
19155	4
19158	3
19222	3
19687	10
19689	10
19691	10
19840	2
19860	4
21725	11
22129	7
22130	7
22132	7
22198	7
22821	12
22860	10
22906	12
23201	11
23292	12
23331	10
23627	9
23628	9
23629	9
23777	9
24081	7
24099	8
24277	10
24294	9
24468	8
24618	10
24690	4
24691	3
24840	8
24841	9
24880	8
25602	12
25895	4
25897	4
25969	5
25987	5
26008	5
26010	5
26030	5
26034	5
26035	5
26055	5
26976	7
27695	5
27738	13
27861	12
28011	5
28012	5
28208	8
28250	9
28286	8
28296	5
28318	6
28346	3
28392	3
28662	2
28689	2
28690	2
28692	2
28710	5
28750	5
28752	6
29059	6
29103	8
29562	11
29564	10
29565	10
29568	11
29754	12
29784	13
29805	10
29832	8
29838	8
29847	6
30214	5
30408	9
30490	7
31709	5
32289	11
32368	10
32493	3
32494	3
32496	3
32497	3
32498	3
32654	10
32660	11
32672	10
32681	9
32694	7
32696	7
32708	6
32735	7
32801	7
32830	8
32837	10
33257	9
33293	7
33407	12
33911	11
33924	10
33972	10
33974	12
33977	12
33978	12
34121	4
34125	2
34127	3
34128	3
34129	3
34206	6
34208	6
34316	13
34355	10
34356	9
34357	10
34358	10
34454	2
34457	2
36085	3
36211	5
36295	5
36473	4
36903	4
36904	4
37049	4
37052	4
37053	4
37237	5
37238	5
37387	6
37388	6
37823	8
37933	8
37982	7
38030	11
38034	11
38131	8
38132	8
38156	9
38157	9
38304	7
38305	7
38307	6
38949	10
39166	12
40647	12
40652	13
41037	5
41423	11
47487	2
47493	2
47554	3
47629	2
48517	3
48580	4
48631	4
58848	3
58851	3
59166	3
59511	2
59553	2
60893	5
60894	5
60895	5
60950	13
60951	13
61043	13
61044	13
61045	13
61069	7
61070	7
61122	5
61299	4
61338	2
61365	2
61366	2
61368	2
61380	2
61383	2
61536	3
61552	3
61558	3
61560	3
61593	5
61596	6
61597	6
61599	6
61600	6
61620	7
61640	8
61704	9
61706	8
61731	9
61747	8
61750	7
61773	7
61868	3
61879	4
61926	3
61929	3
61933	3
61968	7
61971	7
62023	7
62056	9
62117	9
62125	9
62145	9
62148	8
62160	8
62175	9
62180	7
62212	7
62241	5
62244	5
62245	5
62247	5
62251	3
62262	3
62268	3
62460	7
62463	7
62513	6
62531	6
62532	6
62548	6
62562	2
62568	2
62574	2
62579	2
62584	2
62917	2
62920	2
62956	2
62958	2
62980	2
63073	2
63097	4
63109	4
63112	4
63184	3
63485	6
63487	6
63494	6
63500	6
63502	6
63511	6
63514	6
63562	6
63574	9
63577	9
63613	10
63640	10
63652	13
63667	13
63805	13
63807	13
63808	12
63811	12
63823	10
63826	9
63829	10
63856	10
63868	2
63907	3
64024	8
64051	9
64090	7
83618	5
83763	9
83768	9
83769	9
83770	9
84189	6
84278	7
84339	9
84426	8
84427	8
84428	8
84635	4
84996	7
85299	10
85446	9
85854	10
85936	10
85951	9
86530	8
86579	9
86669	6
86677	7
86683	7
86689	7
86692	7
86698	8
86700	9
86713	11
86819	6
86820	6
86843	3
86844	4
86846	4
86968	6
87021	9
87024	10
87080	12
87378	6
87527	13
87581	9
88041	3
89499	6
90070	10
90327	8
91021	12
91875	9
91945	10
92141	7
92197	5
92265	4
92266	4
92267	4
92377	6
92462	5
92463	4
92464	4
92612	7
92613	8
92809	13
93056	5
93058	5
93448	11
93768	7
94046	9
94124	4
94464	7
94479	10
94498	11
94503	7
94521	7
94524	8
94537	6
94766	6
94782	5
94783	5
94792	6
94872	6
94896	4
94899	4
94913	5
94931	6
94932	6
94941	7
